account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
B2hBk3gFaa2fH4W,True,5,5,0,0,1.0,5,5,3,0,0.0,skasselakis,3,0.6,0,5,1640,2412,7087,2020-01-26T18:10:16+02:00,True,False,False,el,62.25
xeniakan21,True,24,24,0,2,1.0,5,24,21,8,0.3333,gverikks,2,0.0833,7,5,2669,2325,148991,2012-06-04T21:42:34+03:00,False,False,False,und,62.08
johnblandos,True,60,54,6,2,0.9,34,54,41,18,0.3333,omadaalithias,3,0.0556,10,15,1949,2953,156572,2013-11-18T11:12:20+02:00,True,False,False,,62.06
chkls,True,8,8,0,4,1.0,6,8,7,1,0.125,giannis_kalyvas,2,0.25,2,0,1579,756,78096,2011-03-26T22:01:55+02:00,True,False,False,el,61.88
GiotaPapapetrou,True,193,190,3,5,0.9845,179,190,99,17,0.0895,enikos_gr,20,0.1053,26,23,4689,3426,457713,2021-01-15T01:08:56+02:00,True,False,False,,61.85
JimyWis,True,6,6,0,0,1.0,4,6,6,2,0.3333,Ander_Bruckes,1,0.1667,0,2,656,1732,16188,2021-04-06T20:17:16+03:00,True,False,False,el,61.67
G4Heron,True,44,42,2,9,0.9545,40,42,36,7,0.1667,TassosIoannides,3,0.0714,3,4,10219,6914,294427,2015-03-11T23:03:35+02:00,False,False,False,el,61.62
fanis_rc,True,7,7,0,0,1.0,5,7,6,1,0.1429,tomanifesto,2,0.2857,2,3,2013,7155,284868,2023-02-23T17:38:30+02:00,True,False,False,en,61.25
2Harvard2,True,1,1,0,0,1.0,1,1,1,1,1.0,ellada24,1,1.0,0,0,573,1149,11020,2009-12-23T11:36:46+02:00,False,False,False,en,61.25
AndriotGreg,True,1,1,0,0,1.0,1,1,1,1,1.0,Agie2a,1,1.0,0,0,1270,1279,9362,2018-02-09T00:03:59+02:00,True,False,False,und,61.25
ChrisDarko39,True,1,1,0,0,1.0,1,1,1,1,1.0,Tiramolas_,1,1.0,1,0,3758,3934,15502,2011-05-11T12:14:11+03:00,False,False,False,el,61.25
pOURc3ero9j906K,True,1,1,0,0,1.0,1,1,1,1,1.0,GeorghyZhukov,1,1.0,0,0,3071,2302,5028,2021-08-11T13:13:52+03:00,True,False,False,,61.25
tavros5791,True,1,1,0,0,1.0,1,1,1,1,1.0,praktikiskepsi,1,1.0,1,0,2593,1161,81830,2010-03-08T23:02:31+02:00,False,False,False,el,61.25
MKioulafa,True,56,47,9,20,0.8393,34,47,29,16,0.3404,Technomagos,7,0.1489,21,22,3281,4971,189454,2019-07-28T17:35:51+03:00,True,False,False,und,60.97
CharilaosPapad1,True,5,5,0,2,1.0,2,5,5,2,0.4,silaserafim,1,0.2,0,0,358,385,12708,2021-12-05T18:41:01+02:00,True,False,False,el,60.5
AgelisDimitris,True,182,160,22,54,0.8791,77,160,82,43,0.2687,MsLouellaDeVil,9,0.0563,33,40,2170,2275,188950,2020-04-23T17:22:09+03:00,True,False,False,,60.36
matrixneo1979,True,5,5,0,0,1.0,5,5,4,0,0.0,BazingaGR,2,0.4,0,0,3282,1648,28983,2018-01-20T18:54:07+02:00,True,False,False,,60.25
tasoskar11,True,5,5,0,1,1.0,0,5,4,2,0.4,n_palaiopanou,2,0.4,5,5,221,313,2642,2011-01-25T13:59:27+02:00,False,False,False,qst,60.0
NikosMichael6,True,2,2,0,0,1.0,0,2,1,2,1.0,NikosMichael6,2,1.0,0,0,28909,4067,50618,2021-04-13T11:25:47+03:00,True,False,True,en,60.0
Anna_Moun,True,1,1,0,1,1.0,0,1,1,1,1.0,GeorghyZhukov,1,1.0,0,0,1436,1366,22315,2017-08-17T17:55:17+03:00,True,False,False,,60.0
Evitel_,True,1,1,0,0,1.0,0,1,1,1,1.0,failosK,1,1.0,0,0,2495,1278,49558,2011-02-23T23:38:38+02:00,False,False,True,el,60.0
Perdim1,True,1,1,0,0,1.0,0,1,1,1,1.0,omadaalithias,1,1.0,0,0,705,870,14535,2012-06-10T11:39:25+03:00,False,False,False,el,60.0
kimosampe,True,1,1,0,0,1.0,0,1,1,1,1.0,BenakisM,1,1.0,0,0,1032,1452,19780,2012-02-10T23:47:31+02:00,False,False,False,und,60.0
moonshinegr,True,1,1,0,1,1.0,0,1,1,1,1.0,GeorghyZhukov,1,1.0,0,0,544,399,24528,2015-05-05T18:11:24+03:00,True,False,False,und,60.0
Anastasia7882,True,10,10,0,1,1.0,5,10,9,1,0.1,AdonisGeorgiadi,2,0.2,4,1,854,868,48708,2022-09-29T08:07:34+03:00,True,False,False,en,59.75
aggelikiME25,True,107,102,5,6,0.9533,99,102,79,3,0.0294,ola_ekso,6,0.0588,70,11,5541,1941,303860,2016-04-14T22:58:59+03:00,True,False,False,el,59.39
HouseElisabeth_,True,6,6,0,0,1.0,6,6,6,0,0.0,Cursed41926,1,0.1667,3,0,488,1043,6160,2016-12-11T22:15:34+02:00,False,False,False,,59.17
ScroogeKifissia,True,40,36,4,10,0.9,36,36,26,2,0.0556,MaryMary_1,6,0.1667,2,4,22592,21857,55049,2021-09-15T15:14:24+03:00,True,False,False,el,59.0
klikr,True,37,32,5,6,0.8649,20,32,20,1,0.0312,Technomagos,10,0.3125,4,11,1098,1191,44673,2011-07-01T23:19:12+03:00,False,False,False,und,58.86
NonameTZ,True,13,13,0,4,1.0,2,13,12,4,0.3077,zneraida,2,0.1538,10,11,482,592,19882,2011-05-19T22:37:26+03:00,False,False,False,en,58.65
Leniw_Lenia,True,6,6,0,0,1.0,4,6,5,0,0.0,ntalaoura,2,0.3333,2,2,542,528,17385,2022-01-15T10:56:17+02:00,True,False,False,,58.33
margko73,True,5,5,0,0,1.0,5,5,5,0,0.0,tbickle1976,1,0.2,0,0,6165,1829,56272,2012-09-26T14:51:46+03:00,False,False,False,el,58.25
kokkoriss,True,8,8,0,0,1.0,3,8,7,1,0.125,olympiada,2,0.25,2,3,602,2757,33218,2012-04-29T10:28:41+03:00,True,False,False,,58.12
ZafiriaF,True,13,13,0,1,1.0,3,13,10,2,0.1538,qasireu,2,0.1538,0,0,11225,6682,62217,2011-09-01T12:43:30+03:00,True,False,False,el,57.59
Aristerotsolis,True,4,4,0,0,1.0,3,4,2,3,0.75,Aristerotsolis,3,0.75,3,2,665,1132,5942,2025-12-25T18:31:03+02:00,True,False,False,el,57.5
greek_paris_13,True,34,32,2,15,0.9412,17,32,24,4,0.125,HistoryCyprus,4,0.125,13,8,6882,2864,147497,2011-10-17T02:12:07+03:00,False,False,False,el,57.32
themagus2022,True,5,5,0,0,1.0,4,5,5,0,0.0,AHD_from_TX,1,0.2,7,0,242,482,17026,2022-08-23T18:10:12+03:00,True,True,False,,57.0
TheMadoula,True,40,37,3,7,0.925,14,37,25,13,0.3514,n_palaiopanou,6,0.1622,15,28,3079,3670,64237,2010-03-10T17:51:56+02:00,False,False,False,,56.77
SenzakiKamo,True,36,34,2,7,0.9444,14,34,29,12,0.3529,MsLouellaDeVil,3,0.0882,14,7,549,410,55345,2015-02-20T15:04:46+02:00,True,False,False,ja,56.73
Briassulis,True,130,97,33,52,0.7462,55,97,59,29,0.299,Briassulis,10,0.1031,29,52,1789,1147,266810,2021-01-14T10:36:35+02:00,True,False,False,el,56.63
Torquem21743459,True,5,5,0,2,1.0,2,5,4,0,0.0,n_palaiopanou,2,0.4,5,8,528,1417,15727,2018-06-19T23:40:49+03:00,True,False,False,el,56.5
MariaKagia4603,True,7,7,0,1,1.0,4,7,7,0,0.0,ChristinaA43891,1,0.1429,2,0,119,339,3145,2025-01-09T18:11:36+02:00,True,False,False,,56.43
Ah_riman,True,29,27,2,11,0.931,14,27,11,6,0.2222,Technomagos,8,0.2963,3,7,9195,8740,98042,2017-04-18T17:02:30+03:00,False,False,True,und,56.38
ZbejVty,True,17,16,1,1,0.9412,12,16,13,6,0.375,vythos70,4,0.25,5,9,4007,4986,151560,2021-09-23T22:50:34+03:00,True,False,False,el,56.07
QuercusLg,True,21,19,2,4,0.9048,16,19,15,3,0.1579,giorgoschris2,3,0.1579,3,2,1076,1194,142097,2022-07-18T12:10:29+03:00,True,False,False,el,55.62
BananaJoeReload,True,51,43,8,7,0.8431,35,43,37,0,0.0,olympiada,3,0.0698,4,7,6511,7363,358003,2017-07-20T07:39:24+03:00,True,False,False,,55.21
Chaos_kreator,True,2,2,0,0,1.0,0,2,2,2,1.0,hellaspecial,1,0.5,0,0,673,760,33825,2011-05-25T19:51:41+03:00,False,False,False,en,55.0
JtfYiannis,True,2,2,0,1,1.0,0,2,2,2,1.0,GeorghyZhukov,1,0.5,2,0,2382,3357,12381,2016-03-28T15:32:58+03:00,False,False,False,,55.0
RockRock222555,True,72,51,21,32,0.7083,30,51,38,14,0.2745,GeorghyZhukov,4,0.0784,13,12,1740,1852,67023,2021-03-17T18:37:02+02:00,True,False,False,el,54.69
Anthology2026,True,70,57,13,5,0.8143,48,57,53,2,0.0351,realMaalouf,2,0.0351,6,5,300,2431,333,2026-02-24T21:21:02+02:00,True,False,False,el,54.38
GeorgiadouL,True,7,7,0,3,1.0,1,7,6,0,0.0,panta_tif,2,0.2857,4,4,4622,3916,104126,2015-04-30T19:47:59+03:00,False,False,False,und,54.11
anasiropiastos,True,31,26,5,6,0.8387,16,26,10,1,0.0385,starbats_gr,9,0.3462,12,5,347,290,7481,2025-06-15T13:03:54+03:00,True,False,False,el,53.39
agapornis_mask,True,3,3,0,0,1.0,1,3,2,2,0.6667,tazmanolis,2,0.6667,2,4,187,462,6710,2012-07-21T22:38:48+03:00,True,False,False,el,52.92
le1li,True,18,17,1,1,0.9444,12,17,16,3,0.1765,SMparlia,2,0.1176,15,8,756,933,6287,2011-10-11T15:02:38+03:00,False,False,False,el,51.88
maus_miny,True,26,24,2,5,0.9231,8,24,11,11,0.4583,n_palaiopanou,6,0.25,9,21,4429,2093,64908,2022-03-04T15:42:49+02:00,True,False,False,el,51.68
Marios59885699,True,3,3,0,1,1.0,2,3,3,2,0.6667,greek_paris_13,1,0.3333,0,1,414,421,168647,2019-11-18T22:37:46+02:00,True,False,False,,50.83
nilsholgerson_,True,3,3,0,1,1.0,1,3,3,2,0.6667,ThanosTzimeros,1,0.3333,0,0,4886,4525,29520,2013-08-04T23:50:47+03:00,True,False,False,el,49.58
Local_Bureau,True,2,2,0,2,1.0,1,2,2,1,0.5,I_Skaltsiotis,1,0.5,0,0,9363,1293,136094,2015-08-17T21:33:54+03:00,False,False,False,el,48.75
ThanosKten,True,2,2,0,0,1.0,1,2,2,1,0.5,omadaalithias,1,0.5,0,0,673,637,6558,2025-01-03T10:30:51+02:00,True,False,True,el,48.75
frel_elias,True,16,14,2,5,0.875,12,14,14,2,0.1429,CelestaMs49332,1,0.0714,5,0,1143,1679,57635,2011-10-17T18:42:03+03:00,True,False,True,el,48.48
ThanosTzimeros,True,32,24,8,10,0.75,13,24,21,7,0.2917,__darcelX__,3,0.125,3,0,68548,1701,41419,2011-10-30T12:20:05+02:00,True,False,False,el,48.13
theatropoios,True,12,11,1,3,0.9167,11,11,10,0,0.0,ProtocolsWZion,2,0.1818,3,0,637,2098,23454,2024-01-11T19:39:49+02:00,True,False,False,en,47.65
ArgirNik,True,22,16,6,6,0.7273,11,16,10,6,0.375,omadaalithias,3,0.1875,6,5,829,516,156104,2011-09-19T16:56:41+03:00,True,False,False,el,46.71
Rena_Rethymno,False,21,18,3,12,0.8571,8,18,14,6,0.3333,HistoryCyprus,3,0.1667,8,8,,,,,,,,,46.66
IK25818385,True,11,9,2,0,0.8182,9,9,6,2,0.2222,Wolfman45042900,3,0.3333,15,1,1044,3296,10653,2021-03-02T13:36:20+02:00,True,False,False,el,46.55
AleaJactaEst101,True,1,1,0,0,1.0,1,1,1,0,0.0,ek_tou_kanapeos,1,1.0,1,0,5887,1727,46177,2017-09-17T15:14:05+03:00,True,False,False,el,46.25
AlexAlexroll,True,1,1,0,0,1.0,1,1,1,0,0.0,petros_GR,1,1.0,0,1,344,271,33435,2010-07-09T16:57:39+03:00,False,False,False,en,46.25
AsimakosGiannis,True,1,1,0,0,1.0,1,1,1,0,0.0,isaacrrr7,1,1.0,0,0,372,343,6242,2022-05-26T23:56:04+03:00,True,False,False,,46.25
Asmoudis13,True,1,1,0,0,1.0,1,1,1,0,0.0,not_buford,1,1.0,3,0,50,564,2132,2025-05-04T12:59:56+03:00,True,False,False,,46.25
DimitrisP69501,True,1,1,0,0,1.0,1,1,1,0,0.0,Johnnyhoston_2,1,1.0,0,0,39,240,829,2025-11-26T22:56:25+02:00,True,False,False,,46.25
Georgia146690,True,1,1,0,0,1.0,1,1,1,0,0.0,epigeiathea,1,1.0,1,0,72,79,1992,2025-09-02T03:20:04+03:00,True,False,False,,46.25
JanSobiesk1683V,True,1,1,0,0,1.0,1,1,1,0,0.0,_A_khalifa,1,1.0,0,0,904,2125,35130,2021-09-21T13:46:34+03:00,True,False,False,,46.25
Kabamaru__n,True,1,1,0,1,1.0,1,1,1,0,0.0,Akiratos_,1,1.0,0,0,11,4,486,2024-03-05T12:14:39+02:00,True,False,False,,46.25
Konstan18155165,True,1,1,0,0,1.0,1,1,1,0,0.0,apablaze,1,1.0,1,0,35,193,534,2025-03-08T21:30:09+02:00,True,False,False,,46.25
Kostas18748292,True,1,1,0,0,1.0,1,1,1,0,0.0,GGoudaras,1,1.0,0,0,604,811,19565,2020-08-28T09:18:44+03:00,True,False,False,,46.25
Lucy75218876,True,1,1,0,0,1.0,1,1,1,0,0.0,JemappelleEve,1,1.0,0,0,4071,1563,53152,2021-10-10T02:00:46+03:00,True,False,False,en,46.25
PiraeusStef,True,1,1,0,0,1.0,1,1,1,0,0.0,mariavellou,1,1.0,0,0,2056,2280,39756,2011-05-04T08:40:02+03:00,False,False,False,,46.25
Wonderlust_K,True,1,1,0,1,1.0,1,1,1,0,0.0,UkieDanya,1,1.0,0,0,432,496,15680,2011-12-08T14:30:23+02:00,True,False,False,en,46.25
Yiorgos4115671,True,1,1,0,0,1.0,1,1,1,0,0.0,Alpha_Wanted,1,1.0,0,1,308,1963,28445,2024-10-29T03:13:48+02:00,True,True,False,,46.25
akrato,True,1,1,0,0,1.0,1,1,1,0,0.0,Magician_Zastro,1,1.0,0,0,2455,3869,28236,2008-12-27T14:48:06+02:00,False,False,False,,46.25
akrokentrwos_2,True,1,1,0,0,1.0,1,1,1,0,0.0,Haberler,1,1.0,0,0,15197,1575,47277,2019-11-01T23:36:15+02:00,True,False,False,el,46.25
alexpretti1312,True,1,1,0,0,1.0,1,1,1,0,0.0,steph2monaco,1,1.0,0,3,176,292,1585,2026-01-27T11:22:24+02:00,True,False,False,el,46.25
chrisvwgolf,True,1,1,0,0,1.0,1,1,1,0,0.0,isaacrrr7,1,1.0,0,0,52,32,8630,2022-11-11T09:47:35+02:00,True,False,False,el,46.25
correll_caus,True,1,1,0,0,1.0,1,1,1,0,0.0,maybeshewill21,1,1.0,0,0,208,253,5914,2024-04-10T12:30:08+03:00,True,False,False,el,46.25
milinimaria,True,1,1,0,0,1.0,1,1,1,0,0.0,BasketNews_com,1,1.0,0,0,2756,1259,26706,2010-12-03T02:22:21+02:00,False,False,False,,46.25
mystical_hell,True,1,1,0,0,1.0,1,1,1,0,0.0,AnA_podo_radiki,1,1.0,0,0,82,120,2203,2023-12-03T21:19:55+02:00,True,False,False,,46.25
papa_vaso,True,1,1,0,0,1.0,1,1,1,0,0.0,Eman_8282,1,1.0,0,0,1319,1352,25290,2015-03-11T13:58:20+02:00,False,False,False,und,46.25
sokpap,True,1,1,0,0,1.0,1,1,1,0,0.0,Stam_Pittas,1,1.0,1,2,190,285,5537,2011-06-09T08:58:49+03:00,True,False,False,el,46.25
vagelis_ts,True,1,1,0,0,1.0,1,1,1,0,0.0,Votsarinho,1,1.0,0,0,54,179,1662,2021-08-07T22:12:56+03:00,True,False,False,,46.25
Theodoros674021,True,9,8,1,6,0.8889,6,8,6,2,0.25,panta_tif,3,0.375,0,2,605,507,29605,2023-11-07T23:59:37+02:00,True,False,False,el,46.11
anastassios2401,True,10,9,1,1,0.9,8,9,9,2,0.2222,jurgen_nauditt,1,0.1111,1,0,7547,5666,123305,2012-11-23T11:38:38+02:00,True,False,False,el,45.94
PITT1742510,True,3,3,0,1,1.0,2,3,3,1,0.3333,Krasaki_Tsou,1,0.3333,0,0,82,285,2190,2026-01-26T23:08:37+02:00,True,False,False,,45.83
georgekouts62,True,3,3,0,1,1.0,2,3,3,1,0.3333,4fABkkc5xTv2aek,1,0.3333,3,0,5020,5012,29092,2016-07-28T20:17:55+03:00,True,False,False,,45.83
K_Sav215,True,151,70,81,24,0.4636,57,70,53,17,0.2429,action24tv,4,0.0571,107,38,1155,1133,78130,2021-08-07T14:50:32+03:00,True,True,False,en,45.44
lafillemalgard1,True,20,17,3,7,0.85,9,17,11,1,0.0588,Technomagos,6,0.3529,0,3,3622,3305,73852,2012-03-10T23:26:31+02:00,False,False,False,en,45.41
g_m_theo,True,17,14,3,6,0.8235,4,14,10,8,0.5714,greek_paris_13,4,0.2857,1,2,6346,5666,60050,2015-01-28T16:06:18+02:00,True,False,False,el,45.25
Electra306,True,4,4,0,3,1.0,3,4,4,1,0.25,AxtarmasC,1,0.25,0,0,5208,2752,133169,2020-03-01T17:16:11+02:00,True,False,True,en,45.0
Realism_47,True,4,4,0,0,1.0,3,4,4,1,0.25,GeorghyZhukov,1,0.25,0,0,1237,4248,20301,2021-02-10T17:34:20+02:00,True,False,False,el,45.0
M_Efstathiou,True,1,1,0,0,1.0,0,1,1,0,0.0,apablaze,1,1.0,2,0,366,502,7350,2017-01-01T21:25:12+02:00,True,False,False,und,45.0
OratiosPoulos,True,1,1,0,0,1.0,0,1,1,0,0.0,panta_tif,1,1.0,0,0,4767,1233,55322,2021-07-31T12:59:25+03:00,True,False,False,el,45.0
Savaso1955,True,1,1,0,0,1.0,0,1,1,0,0.0,tzavelaniki,1,1.0,0,0,110,351,880,2023-08-17T06:01:21+03:00,True,False,False,el,45.0
TDrodopoulou,True,1,1,0,0,1.0,0,1,1,0,0.0,KatKatPt,1,1.0,0,0,206,145,5903,2023-02-19T15:06:04+02:00,True,False,False,el,45.0
TetraLogiki,True,1,1,0,0,1.0,0,1,1,0,0.0,AdonisGeorgiadi,1,1.0,0,0,3096,1811,30338,2018-12-07T10:33:13+02:00,True,False,False,el,45.0
communakios,True,1,1,0,0,1.0,0,1,1,0,0.0,eucopresident,1,1.0,0,1,4364,1119,52507,2021-12-22T16:43:22+02:00,True,False,False,el,45.0
desevmoi,True,1,1,0,0,1.0,0,1,1,0,0.0,MsLouellaDeVil,1,1.0,0,0,169,195,702,2023-04-17T22:17:26+03:00,True,False,False,,45.0
epaggelmatiassk,True,1,1,0,0,1.0,0,1,1,0,0.0,tomanifesto,1,1.0,0,0,3542,2542,108818,2018-03-12T23:03:30+02:00,True,False,False,el,45.0
leonidasHG,True,1,1,0,1,1.0,0,1,1,0,0.0,n_palaiopanou,1,1.0,2,3,1139,1620,28630,2011-10-21T13:41:35+03:00,True,False,False,,45.0
loudovikos14os,True,1,1,0,0,1.0,0,1,1,0,0.0,FootyHumour,1,1.0,0,0,447,343,22227,2015-06-30T19:46:57+03:00,True,False,False,el,45.0
Placebo_0,True,20,14,6,2,0.7,14,14,14,2,0.1429,DTsakoniti,1,0.0714,4,0,6474,3500,326902,2012-02-26T22:07:42+02:00,False,False,False,el,44.86
FrankiKostas,True,3,3,0,0,1.0,1,3,3,1,0.3333,AdonisGeorgiadi,1,0.3333,0,1,2673,2326,55178,2015-03-20T00:34:43+02:00,True,False,False,,44.58
L6sVita,True,3,3,0,0,1.0,2,3,2,0,0.0,AdonisGeorgiadi,2,0.6667,0,0,769,917,28736,2015-05-16T23:54:29+03:00,False,False,False,el,44.17
ledentiste2,True,15,11,4,3,0.7333,11,11,9,2,0.1818,ips1987,2,0.1818,11,1,2590,3329,37669,2020-06-23T14:08:57+03:00,True,False,False,el,43.96
Agie2a,True,33,19,14,11,0.5758,11,19,11,10,0.5263,__darcelX__,4,0.2105,9,11,4427,3346,82550,2022-03-01T14:03:05+02:00,True,False,True,en,43.9
aekzurich21,True,4,4,0,0,1.0,2,4,4,1,0.25,aekbcgr,1,0.25,5,0,264,846,16627,2023-06-24T12:33:54+03:00,True,False,False,en,43.75
aikarerina,True,2,1,1,0,0.5,1,1,1,1,1.0,aikarerina,1,1.0,1,0,2569,3101,26581,2020-12-13T16:00:29+02:00,True,False,False,el,43.75
KVagos42117,True,10,9,1,0,0.9,8,9,7,0,0.0,Tiana_Celine_23,2,0.2222,0,0,89,126,3552,2023-06-20T06:37:09+03:00,True,False,False,,43.72
zneraida,True,3,3,0,1,1.0,0,3,3,1,0.3333,n_palaiopanou,1,0.3333,4,3,4317,466,144679,2015-07-23T15:14:28+03:00,True,False,False,und,43.33
Volcom40893832,True,3,3,0,0,1.0,1,3,2,0,0.0,AdonisGeorgiadi,2,0.6667,0,4,835,837,13014,2019-03-28T15:16:11+02:00,True,False,False,el,42.92
DejaLogic,True,2,2,0,0,1.0,2,2,2,0,0.0,thanosdimadis,1,0.5,0,0,4612,3060,17627,2023-02-17T15:25:26+02:00,True,False,False,el,42.5
RGialama8386,True,2,2,0,1,1.0,2,2,2,0,0.0,tzon_t,1,0.5,0,0,96,390,1938,2025-05-08T23:35:58+03:00,True,False,False,art,42.5
doubamari,True,2,1,1,0,0.5,0,1,1,1,1.0,omadaalithias,1,1.0,0,0,6006,1647,197949,2011-09-11T11:30:55+03:00,False,False,False,el,42.5
jparthen,True,15,11,4,6,0.7333,9,11,8,2,0.1818,tzavelaniki,3,0.2727,0,6,553,476,46592,2009-09-26T01:32:12+03:00,False,False,False,en,42.37
evangelia_re,True,8,7,1,0,0.875,3,7,7,3,0.4286,DejaLogic,1,0.1429,2,2,5605,4617,15210,2009-09-25T12:19:48+03:00,True,False,False,el,42.23
EoLaerte,True,3,3,0,0,1.0,3,3,3,0,0.0,TheaMuse01,1,0.3333,1,1,497,772,7621,2021-11-24T16:42:04+02:00,True,False,False,,42.08
