account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
kimosampe,1,218,0.4375,189,4.3772,-2.3088,1.7193,60.0,1.0,0
akenaton37,1,218,0.4372,190,3.8544,-3.8787,-2.0806,0.0,0.0,0
Anastasia7882,2,89,0.4372,191,3.6062,2.0596,-0.2937,59.75,1.0,17
JimyWis,1,218,0.4371,192,4.0237,1.0504,-0.057,61.67,1.0,7
hermesjk,1,218,0.437,193,3.3523,-3.4646,-0.2818,0.0,0.0,0
bobidion,1,218,0.4368,194,3.3353,-2.1371,1.6642,20.0,0.25,0
Philipos1991486,1,218,0.4366,195,3.4606,-2.6808,-2.6565,25.0,0.5,0
Iliserp,1,218,0.4364,196,4.0575,-3.4295,0.3631,0.0,0.0,0
GP_74_,1,218,0.4364,197,1.9062,-1.8016,0.5524,35.83,0.6667,0
2Harvard2,1,218,0.4361,198,4.3421,-2.2466,1.4429,61.25,1.0,0
Fay82776914F,2,89,0.4359,199,2.4447,3.5941,-0.0522,66.96,1.0,34
AChamouza,1,218,0.4359,200,3.0954,-3.2183,-1.2987,0.0,0.0,0
EthanAnargyrous,1,218,0.4353,201,3.7487,0.9885,0.2027,41.66,0.8571,8
PITT1742510,1,218,0.4344,202,3.0118,-1.9701,-1.4632,45.83,1.0,0
HouseElisabeth_,1,218,0.4335,203,3.2348,-1.0834,0.2324,59.17,1.0,0
Captain_Sparos,1,218,0.4331,204,3.3046,-3.4154,0.0008,0.0,0.0,0
freemindspirits,1,218,0.4324,205,2.5711,-1.0829,1.5087,33.33,0.6667,0
FotisMagnisia,1,218,0.4324,206,3.4205,-3.1217,0.646,0.0,0.0,0
Wwwwww42362442,1,218,0.4318,207,3.3397,-2.8277,0.5962,0.0,0.0,0
agnwstos_x_,1,218,0.4315,208,2.9938,-2.1094,1.3977,18.25,0.2,0
leonidasHG,1,218,0.4314,209,2.8095,-2.0695,1.3058,45.0,1.0,0
MatrimC110073,1,218,0.4311,210,4.0258,-3.2958,0.286,0.0,0.0,0
2PAzkjh6oFRW77D,1,218,0.4309,211,3.389,-2.8018,0.92,0.0,0.0,0
pOURc3ero9j906K,1,218,0.4302,212,4.0723,-2.2132,1.6052,61.25,1.0,0
margko73,1,218,0.4295,213,3.2806,-1.2188,1.6091,58.25,1.0,0
Rinokeros2023,1,218,0.4292,214,3.5175,-3.6261,-1.9228,0.0,0.0,0
theatropoios,1,218,0.429,215,3.5526,-0.0171,0.2671,47.65,0.9167,0
kontologis,1,218,0.4275,216,3.6376,-3.2663,1.1978,0.0,0.0,0
chkls,1,218,0.427,217,3.3493,-0.0855,1.1122,61.88,1.0,0
consue_banana_,1,218,0.426,218,2.0827,-1.6497,0.5907,25.0,0.5,0
failosK,1,218,0.4256,219,3.3735,-2.2991,2.188,18.75,0.25,0
AlexAlexroll,1,218,0.4255,220,3.0651,-2.612,0.7111,46.25,1.0,0
Tasos3025749307,1,218,0.4252,221,3.2983,-3.7532,-1.648,0.0,0.0,0
AndriotGreg,1,218,0.4248,222,3.9813,-2.232,1.5161,61.25,1.0,0
bounty_hunter0x,1,218,0.4233,223,3.1715,-3.575,-1.4894,0.0,0.0,0
kikirik_nik,1,218,0.4227,224,3.5321,-3.5756,-0.06,0.0,0.0,0
packad__,1,218,0.4217,225,2.2243,-2.5019,-0.0588,27.5,0.5,0
Manolo_math,1,218,0.4208,226,2.8521,-2.3646,1.2042,28.75,0.5,0
Leniw_Lenia,1,218,0.4195,227,2.6684,-0.898,0.1317,58.33,1.0,0
melambus,1,218,0.4194,228,3.0798,-2.9931,0.4127,0.0,0.0,0
Dv500x,1,218,0.4187,229,2.5128,-2.4618,0.1088,20.0,0.25,0
Lalunaromantico,1,218,0.4184,230,2.0709,-0.9429,0.7613,31.83,0.6,0
aekzurich21,1,218,0.4184,231,2.5144,-1.2416,0.0587,43.75,1.0,0
isidoragiou1,1,218,0.4177,232,2.5959,-2.6713,0.394,28.75,0.5,0
TheSurigata,1,218,0.4167,233,2.9548,-3.3495,-0.462,0.0,0.0,0
KyrPantelis3,1,218,0.4165,234,2.9425,-0.6587,0.2755,41.36,0.9,0
MAVROJOHN,1,218,0.4163,235,2.387,-2.2239,-0.1155,17.5,0.2857,0
panagitsma78169,1,218,0.416,236,3.2314,-3.759,-1.63,0.0,0.0,0
seriousthreat98,1,218,0.4156,237,2.2744,-0.9877,-0.1994,35.5,0.8,0
prng2777,1,218,0.4155,238,3.3935,-3.4084,0.6486,0.0,0.0,0
CMentat,1,218,0.415,239,2.423,-1.2788,-0.3602,37.42,0.8333,0
