cluster_id,account_count,mean_coordination_score,mean_retweet_ratio,mean_network_weighted_degree,top_accounts
1,218,30.7397,0.5883,0.6376,michael_exc|Valiadistinct|LitsaXarou|VIVITV5|Tina5996|NickDanny99|B2hBk3gFaa2fH4W|chkls|JimyWis|2Harvard2
2,89,59.704,0.8998,76.3933,angelikitsakani|ABCHeckles|46spiros|chrysib11|economi94461498|Catps66|MasenkaMm230158|Myrtilo01|NikosVsdl8|angie22gr
