account_handle,role_label,role_confidence,is_member,signals,followers_count,friends_count,followers_friends_ratio,listed_count,description_language,description_length,is_blue_verified,default_profile,account_age_days,retweet_ratio,original_count,cohort_ids
IK25818385,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(9),1044,3296,0.3167,23,el,77,False,True,1871,0.8182,2,
InafiZinaf1,mixed_behavior,0.4,True,default_profile,557,173,3.2197,13,el,89,False,True,397,1.0,0,
JSweetGR,mixed_behavior,0.4,True,blue_verified|cohort_member(1),3254,2126,1.5306,41,en,102,True,False,6221,0.6923,4,1
K_Sav215,mixed_behavior,0.4,True,default_profile|default_profile_image|first_retweeter_count>=3(57)|cohort_member(1),1155,1133,1.0194,15,en,99,False,True,1713,0.4636,81,1
L6sVita,mixed_behavior,0.4,True,,769,917,0.8386,10,el,41,False,False,3988,1.0,0,
Lalunaromantico,mixed_behavior,0.4,True,default_profile,2036,1046,1.9465,20,,0,False,True,4126,0.6,2,
MKioulafa,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(34)|cohort_member(1),3281,4971,0.66,16,und,0,False,True,2454,0.8393,9,1
Marios59885699,mixed_behavior,0.4,True,default_profile,414,421,0.9834,1,,0,False,True,2341,1.0,0,
MenoEdo,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.93)|first_retweeter_count>=3(42)|cohort_member(1),2687,2008,1.3381,26,el,65,False,True,1845,0.9333,8,1
Nikos2501,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(3),500,127,3.937,9,,0,False,True,1568,1.0,0,
PITT1742510,mixed_behavior,0.4,True,default_profile,82,285,0.2877,1,,0,False,True,80,1.0,0,
Placebo_0,mixed_behavior,0.4,True,first_retweeter_count>=3(14),6474,3500,1.8497,43,el,157,False,False,5163,0.7,6,
Protostatis,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(3),2258,1313,1.7197,21,el,84,False,True,5309,1.0,0,
Ralia1Raily,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(3),588,634,0.9274,7,en,43,False,True,1704,1.0,0,
Realism_47,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(3),1237,4248,0.2912,10,el,21,False,True,1891,1.0,0,
Rena_Rethymno,mixed_behavior,0.4,False,retweet_ratio>=0.85(0.86)|first_retweeter_count>=3(8),,,,,,0,,,,0.8571,3,
RockRock222555,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(30)|cohort_member(1),1740,1852,0.9395,30,el,61,False,True,1856,0.7083,21,1
SagamoreMount,mixed_behavior,0.4,True,default_profile|cohort_member(1),133,425,0.3129,10,en,17,False,True,598,1.0,0,1
TheMadoula,mixed_behavior,0.4,True,retweet_ratio>=0.85(0.93)|first_retweeter_count>=3(14)|cohort_member(1),3079,3670,0.839,15,,5,False,False,5881,0.925,3,1
Torquem21743459,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original,528,1417,0.3726,11,el,91,False,True,2858,1.0,0,
Track11John,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.98)|first_retweeter_count>=3(143)|cohort_member(1),886,734,1.2071,20,el,112,False,True,1448,0.9777,5,1
Veltsi_Legacy,mixed_behavior,0.4,True,blue_verified|default_profile,1222,575,2.1252,33,el,46,True,True,940,0.4,6,
VforVolemenos,mixed_behavior,0.4,True,blue_verified|default_profile|zero_or_single_original|first_retweeter_count>=3(3),6702,6380,1.0505,33,el,105,True,True,1520,0.8333,1,
Volcom40893832,mixed_behavior,0.4,True,default_profile,835,837,0.9976,11,el,12,False,True,2576,1.0,0,
aekzurich21,mixed_behavior,0.4,True,default_profile,264,846,0.3121,3,en,160,False,True,1027,1.0,0,
agapornis_mask,mixed_behavior,0.4,True,default_profile,187,462,0.4048,6,el,70,False,True,5017,1.0,0,
aggelikiME25,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.95)|first_retweeter_count>=3(99),5541,1941,2.8547,41,el,18,False,True,3654,0.9533,5,
aprosarmostos_,mixed_behavior,0.4,True,default_profile,4339,3290,1.3188,28,el,140,False,True,3683,0.5,2,
consue_banana_,mixed_behavior,0.4,True,default_profile,3652,2365,1.5442,21,el,39,False,True,598,0.5,2,
dimitris7987,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(5),915,546,1.6758,30,,0,False,True,431,0.7778,2,
frel_elias,mixed_behavior,0.4,True,blue_verified|default_profile|retweet_ratio>=0.85(0.88)|first_retweeter_count>=3(12),1143,1679,0.6808,26,el,58,True,True,5295,0.875,2,
georgekouts62,mixed_behavior,0.4,True,default_profile,5020,5012,1.0016,20,,0,False,True,3549,1.0,0,
giannMak,mixed_behavior,0.4,True,retweet_ratio>=0.85(0.95)|first_retweeter_count>=3(30)|cohort_member(1),6808,6703,1.0157,30,el,77,False,False,4079,0.954,4,1
giorgosgreen,mixed_behavior,0.4,True,default_profile,1121,557,2.0126,13,en,24,False,True,2641,0.6667,1,
greek_paris_13,mixed_behavior,0.4,True,retweet_ratio>=0.85(0.94)|first_retweeter_count>=3(17)|cohort_member(1),6882,2864,2.4029,28,el,48,False,False,5296,0.9412,2,1
hatz_patty,mixed_behavior,0.4,True,retweet_ratio>=0.85(0.96)|first_retweeter_count>=3(56)|cohort_member(1),9013,6063,1.4866,39,el,99,False,False,5378,0.957,4,1
ippotech,mixed_behavior,0.4,True,,3979,4566,0.8714,20,en,67,False,False,5498,0.6,2,
johnblandos,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.90)|first_retweeter_count>=3(34)|cohort_member(1),1949,2953,0.66,14,,0,False,True,4532,0.9,6,1
klikr,mixed_behavior,0.4,True,retweet_ratio>=0.85(0.86)|first_retweeter_count>=3(20)|cohort_member(1),1098,1191,0.9219,14,und,0,False,False,5403,0.8649,5,1
lafillemalgard1,mixed_behavior,0.4,True,retweet_ratio>=0.85(0.85)|first_retweeter_count>=3(9)|cohort_member(1),3622,3305,1.0959,37,en,28,False,False,5150,0.85,3,1
ledentiste2,mixed_behavior,0.4,True,default_profile|first_retweeter_count>=3(11),2590,3329,0.778,18,el,86,False,True,2123,0.7333,4,
maus_miny,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.92)|first_retweeter_count>=3(8)|cohort_member(1),4429,2093,2.1161,33,el,70,False,True,1504,0.9231,2,1
nilsholgerson_,mixed_behavior,0.4,True,default_profile,4886,4525,1.0798,35,el,89,False,True,4638,1.0,0,
phtochos1,mixed_behavior,0.4,True,default_profile,11076,9207,1.203,9,el,139,False,True,1466,0.3333,4,
seriousthreat98,mixed_behavior,0.4,True,default_profile|zero_or_single_original|first_retweeter_count>=3(4),812,427,1.9016,15,,64,False,True,1191,0.8,1,
sinakatsarou,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.97)|first_retweeter_count>=3(56)|cohort_member(1),7702,1970,3.9096,19,,0,False,True,2668,0.9735,3,1
steliostso,mixed_behavior,0.4,True,,6022,5845,1.0303,29,el,35,False,False,5716,0.3333,4,
tasoskar11,mixed_behavior,0.4,True,retweet_ratio>=0.85(1.00)|zero_or_single_original,221,313,0.7061,5,qst,1,False,False,5560,1.0,0,
tazmanolis,mixed_behavior,0.4,True,blue_verified|default_profile|first_retweeter_count>=3(6),14601,6089,2.3979,37,en,20,True,True,2436,0.6667,3,
vel_theGreek,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.86)|zero_or_single_original,10188,4193,2.4298,48,el,144,False,True,2640,0.8571,1,
vythos70,mixed_behavior,0.4,True,default_profile|retweet_ratio>=0.85(0.95)|first_retweeter_count>=3(77)|cohort_member(1),10516,10473,1.0041,29,el,21,False,True,1963,0.955,5,1
zneraida,mixed_behavior,0.4,True,default_profile|cohort_member(1),4317,466,9.2639,34,und,0,False,True,3920,1.0,0,1
2Harvard2,unknown,0.2,True,,573,1149,0.4987,6,en,159,False,False,5958,1.0,0,
2eateras,unknown,0.2,True,default_profile,692,2062,0.3356,17,und,18,False,True,2636,0.5,1,
AleaJactaEst101,unknown,0.2,True,default_profile,5887,1727,3.4088,43,el,49,False,True,3133,1.0,0,
AlexAlexroll,unknown,0.2,True,,344,271,1.2694,10,en,43,False,False,5760,1.0,0,
AndriotGreg,unknown,0.2,True,default_profile,1270,1279,0.993,4,und,0,False,True,2989,1.0,0,
AnnaDiEpifanio1,unknown,0.2,True,default_profile,531,694,0.7651,4,el,34,False,True,2812,1.0,0,
Anna_Moun,unknown,0.2,True,default_profile,1436,1366,1.0512,10,,105,False,True,3164,1.0,0,
AsimakosGiannis,unknown,0.2,True,default_profile,372,343,1.0845,4,,0,False,True,1421,1.0,0,
Asmoudis13,unknown,0.2,True,default_profile,50,564,0.0887,6,,0,False,True,347,1.0,0,
Chaos_kreator,unknown,0.2,True,,673,760,0.8855,11,en,47,False,False,5440,1.0,0,
ChrisDarko39,unknown,0.2,True,,3758,3934,0.9553,33,el,70,False,False,5454,1.0,0,
DimitrisP69501,unknown,0.2,True,default_profile,39,240,0.1625,2,,0,False,True,141,1.0,0,
DoctorStrangeGr,unknown,0.2,True,default_profile,2591,493,5.2556,26,el,54,False,True,1410,0.0,1,
Drifter_1066,unknown,0.2,False,,,,,,,0,,,,0.0,1,
Evitel_,unknown,0.2,True,blue_verified,2495,1278,1.9523,22,el,69,True,False,5531,1.0,0,
FotisMagnisia,unknown,0.2,True,,2020,1216,1.6612,43,,59,False,False,5469,0.0,2,
Georgia146690,unknown,0.2,True,default_profile,72,79,0.9114,4,,0,False,True,227,1.0,0,
Guson653566,unknown,0.2,False,,,,,,,0,,,,0.0,1,
HFirstpriest,unknown,0.2,False,,,,,,,0,,,,0.0,1,
JanSobiesk1683V,unknown,0.2,True,default_profile,904,2125,0.4254,12,,0,False,True,1668,1.0,0,
JtfYiannis,unknown,0.2,True,,2382,3357,0.7096,11,,0,False,False,3671,1.0,0,
Kabamaru__n,unknown,0.2,True,default_profile,11,4,2.75,2,,0,False,True,772,1.0,0,
Klearxos8,unknown,0.2,True,default_profile,1246,2678,0.4653,8,el,63,False,True,1795,1.0,0,
Konstan18155165,unknown,0.2,True,default_profile,35,193,0.1813,3,,0,False,True,404,1.0,0,
Kostas18748292,unknown,0.2,True,default_profile,604,811,0.7448,4,,0,False,True,2058,1.0,0,
Local_Bureau,unknown,0.2,True,,9363,1293,7.2413,35,el,38,False,False,3895,1.0,0,
Lollos1242232,unknown,0.2,False,,,,,,,0,,,,0.0,1,
Lucy75218876,unknown,0.2,True,default_profile,4071,1563,2.6046,7,en,15,False,True,1650,1.0,0,
M_Efstathiou,unknown,0.2,True,default_profile,366,502,0.7291,10,und,0,False,True,3392,1.0,0,
Manolo_math,unknown,0.2,True,,1802,2290,0.7869,11,en,21,False,False,5248,0.5,1,
MarkRenieris,unknown,0.2,True,default_profile,403,439,0.918,11,,0,False,True,1159,0.0,1,
MatrimC110073,unknown,0.2,True,blue_verified|default_profile,959,1450,0.6614,21,el,47,True,True,1368,0.0,2,
OratiosPoulos,unknown,0.2,True,default_profile,4767,1233,3.8662,21,el,19,False,True,1720,1.0,0,
Perdim1,unknown,0.2,True,,705,870,0.8103,7,el,158,False,False,5058,1.0,0,
Pi8kiavlozampis,unknown,0.2,False,,,,,,,0,,,,0.0,1,
PiraeusStef,unknown,0.2,True,,2056,2280,0.9018,22,,90,False,False,5462,1.0,0,
RGialama8386,unknown,0.2,True,default_profile,96,390,0.2462,2,art,14,False,True,343,1.0,0,
Savaso1955,unknown,0.2,True,default_profile,110,351,0.3134,4,el,87,False,True,974,1.0,0,
TDrodopoulou,unknown,0.2,True,default_profile,206,145,1.4207,2,el,54,False,True,1152,1.0,0,
Tasos3025749307,unknown,0.2,True,default_profile,113,56,2.0179,16,,0,False,True,1088,0.0,1,
TetraLogiki,unknown,0.2,True,default_profile,3096,1811,1.7096,35,el,16,False,True,2687,1.0,0,
ThanosKten,unknown,0.2,True,blue_verified|default_profile,673,637,1.0565,21,el,104,True,True,468,1.0,0,
TheocharousH,unknown,0.2,False,,,,,,,0,,,,0.0,1,
VanaT66,unknown,0.2,True,default_profile,1596,1623,0.9834,12,en,152,False,True,2459,0.5,1,
Wonderlust_K,unknown,0.2,True,default_profile,432,496,0.871,9,en,32,False,True,5243,1.0,0,
Yiorgos4115671,unknown,0.2,True,default_profile|default_profile_image,308,1963,0.1569,4,,0,False,True,535,1.0,0,
__darcelX__,unknown,0.2,True,followers_friends_ratio>=25(26.3)|default_profile,9121,347,26.2853,42,,32,False,True,1686,0.0,2,
akrato,unknown,0.2,True,,2455,3869,0.6345,36,,11,False,False,6319,1.0,0,
alexpretti1312,unknown,0.2,True,default_profile,176,292,0.6027,6,el,29,False,True,79,1.0,0,
antonis_zen,unknown,0.2,True,default_profile,939,1334,0.7039,19,,0,False,True,1482,1.0,0,
bolltzmann,unknown,0.2,True,blue_verified,13397,5157,2.5978,29,,0,True,False,4472,0.5,1,
christoskostaki,unknown,0.2,False,,,,,,,0,,,,0.0,1,
chrisvwgolf,unknown,0.2,True,default_profile,52,32,1.625,10,el,141,False,True,1252,1.0,0,
communakios,unknown,0.2,True,default_profile,4364,1119,3.8999,36,el,95,False,True,1576,1.0,0,
correll_caus,unknown,0.2,True,default_profile,208,253,0.8221,4,el,140,False,True,736,1.0,0,
desevmoi,unknown,0.2,True,default_profile,169,195,0.8667,1,,0,False,True,1095,1.0,0,
el39984,unknown,0.2,True,default_profile,656,222,2.955,12,,0,False,True,258,0.0,1,
epaggelmatiassk,unknown,0.2,True,default_profile,3542,2542,1.3934,23,el,153,False,True,2957,1.0,0,
harakont,unknown,0.2,True,default_profile,330,426,0.7746,1,,0,False,True,1616,1.0,0,
kimosampe,unknown,0.2,True,,1032,1452,0.7107,5,und,0,False,False,5179,1.0,0,
kontologis,unknown,0.2,True,,6822,3645,1.8716,42,el,96,False,False,2840,0.0,1,
kostasp194,unknown,0.2,True,default_profile,3520,4117,0.855,13,,0,False,True,3419,0.5,1,
leonidasHG,unknown,0.2,True,default_profile,1139,1620,0.7031,16,,0,False,True,5291,1.0,0,
lordos_noble,unknown,0.2,True,default_profile,1318,983,1.3408,17,el,28,False,True,2190,0.5,1,
loudovikos14os,unknown,0.2,True,default_profile,447,343,1.3032,18,el,113,False,True,3943,1.0,0,
milinimaria,unknown,0.2,True,,2756,1259,2.189,17,,97,False,False,5614,1.0,0,
moonshinegr,unknown,0.2,True,default_profile,544,399,1.3634,14,und,0,False,True,3999,1.0,0,
myga_tse,unknown,0.2,False,,,,,,,0,,,,0.0,1,
mystical_hell,unknown,0.2,True,default_profile,82,120,0.6833,1,,13,False,True,865,1.0,0,
pOURc3ero9j906K,unknown,0.2,True,default_profile,3071,2302,1.3341,3,,0,False,True,1709,1.0,0,
papa_vaso,unknown,0.2,True,,1319,1352,0.9756,3,und,0,False,False,4054,1.0,0,
prng2777,unknown,0.2,True,,3265,2175,1.5011,20,el,17,False,False,3221,0.0,1,
sokpap,unknown,0.2,True,default_profile,190,285,0.6667,5,el,52,False,True,5426,1.0,0,
tavros5791,unknown,0.2,True,,2593,1161,2.2334,48,el,115,False,False,5883,1.0,0,
vagelis_ts,unknown,0.2,True,default_profile,54,179,0.3017,2,,0,False,True,1713,1.0,0,
vasgeo310,unknown,0.2,True,default_profile,575,1889,0.3044,28,en,80,False,True,5843,0.0,1,
