account_handle,first_retweeter_count,unique_targets_first,top_target_author,top_target_count,target_hhi,median_lag_to_second_retweet_sec,role_label,cohort_ids,component_id
GiotaPapapetrou,179,96,enikos_gr,20,0.0263,1956,retail_user,1,1
Track11John,143,49,Briassulis,62,0.1985,3136,mixed_behavior,1,1
46spiros,105,67,AnAthenianToLDN,6,0.0217,3580,amplifier_suspect,1,1
aggelikiME25,99,77,ola_ekso,6,0.0189,6495,mixed_behavior,,1
paliakaravana59,89,70,vythos70,4,0.0188,2591,amplifier_suspect,1,1
nickthegreek5,88,68,MOSSADil,6,0.0207,3566,media_business,1,1
AgelisDimitris,77,53,MsLouellaDeVil,5,0.0261,2946,mixed_behavior,1,1
vythos70,77,61,panta_tif,3,0.0197,5533,mixed_behavior,1,1
galex1908,63,46,ellada24,5,0.032,2998,amplifier_suspect,1,1
K_Sav215,57,46,action24tv,3,0.0249,3976,mixed_behavior,1,1
hatz_patty,56,28,vickyfnd,6,0.0523,2767,mixed_behavior,1,1
sinakatsarou,56,42,hatz_patty,5,0.0319,2362,mixed_behavior,1,1
Briassulis,55,38,Briassulis,10,0.0598,3475,mixed_behavior,1,1
Anthology2026,48,46,realMaalouf,2,0.0226,6469,retail_user,,1
angelikitsakani,42,34,AgelisDimitris,5,0.0397,3524,amplifier_suspect,1,1
chrysib11,42,38,K_Sav215,4,0.0317,2816,amplifier_suspect,1,1
MenoEdo,42,38,Natalia_yael4,3,0.0295,3639,mixed_behavior,1,1
G4Heron,40,34,TassosIoannides,3,0.0338,3031,media_business,,2
madonnamaniac,38,30,MDNASW1FT,6,0.0526,,amplifier_suspect,,
ScroogeKifissia,36,26,MaryMary_1,6,0.0602,,media_business,,
ABCHeckles,36,26,AnAthenianToLDN,4,0.0494,3680,amplifier_suspect,1,1
BananaJoeReload,35,32,olympiada,2,0.0335,1607,mixed_behavior,,1
MKioulafa,34,26,K_Sav215,4,0.0484,3116,mixed_behavior,1,1
johnblandos,34,28,action24tv,2,0.0398,3544,mixed_behavior,1,1
RockRock222555,30,24,isaacrrr7,3,0.0511,1678,mixed_behavior,1,1
giannMak,30,28,SMpliat,2,0.0378,3873,mixed_behavior,1,1
dinoskonstantin,29,22,RadioGenoa,3,0.0535,4752,amplifier_suspect,,1
MariaDecokeke,27,17,CatRescueAthens,5,0.0919,2128,media_business,1,1
MasenkaMm230158,27,20,KatKatPt,5,0.0727,2734,amplifier_suspect,1,1
Catps66,26,23,Monika29698435,2,0.0473,6154,amplifier_suspect,1,1
mpantazo,26,24,57lista,3,0.0473,2993,amplifier_suspect,1,1
NikosVsdl8,21,19,LauraLoomer,2,0.0567,534,amplifier_suspect,,1
michael_exc,21,19,Jvnior,2,0.0567,,amplifier_suspect,,
klikr,20,17,SkyNews,3,0.07,6422,mixed_behavior,1,1
Myrtilo01,19,14,ellada24,3,0.0914,1761,media_business,1,1
economi94461498,19,19,Arkady1975,1,0.0526,751,amplifier_suspect,1,1
angie22gr,18,13,Lalunaromantico,3,0.0926,4604,amplifier_suspect,1,1
greek_paris_13,17,12,HistoryCyprus,3,0.1073,4808,mixed_behavior,1,1
DonConsclavios,17,13,giannopoulos35,3,0.0934,6181,amplifier_suspect,1,1
anasiropiastos,16,6,starbats_gr,9,0.3594,,retail_user,1,1
QuercusLg,16,13,greatmanitou1,3,0.0938,4897,retail_user,,2
silaserafim,16,16,Onisenko,1,0.0625,2318,media_business,,1
Aaagiiisss,15,14,HomerPavlos,2,0.0756,2541,amplifier_suspect,1,1
Loxagos_Mark,15,14,acpanathinaikos,2,0.0756,3976,media_business,1,1
Xeniaxe19580370,15,14,Niw451,2,0.0756,5703,amplifier_suspect,1,1
Ah_riman,14,7,Technomagos,5,0.2347,1491,mixed_behavior,1,1
