cluster_id,account_count,mean_coordination_score,mean_retweet_ratio,mean_network_weighted_degree,top_accounts
1,243,32.8226,0.6155,1.572,madonnamaniac|michael_exc|Valiadistinct|silaserafim|LitsaXarou|VIVITV5|teo_ntaleki|xariszak2|cavodoro|Tina5996
2,64,63.1095,0.9181,102.4375,angelikitsakani|ABCHeckles|46spiros|chrysib11|economi94461498|Catps66|MasenkaMm230158|Myrtilo01|NikosVsdl8|angie22gr
