original_tweet_id,original_author_handle,origin_is_member,retweet_count,unique_retweeter_count,first_retweeter,first_retweeter_recurrence,time_to_k5_sec,time_to_k10_sec,time_to_k50_sec,burst_kurtosis,burst_peak_window_start_sec,burst_peak_window_count,same_client_share,dominant_client,amplifier_component_ids,amplifier_cohort_ids,amplifier_role_mix,propagation_score,spread_path_preview
2044844673395487139,ellada24,True,13,13,galex1908,63,3225,8292,,-1.3593,0,1,0.8462,Twitter for Android,1,1,amplifier_suspect:0.38; mixed_behavior:0.38; media_business:0.15; retail_user:0.08,40.4252,galex1908@+0s[c1/h1] -> K_Sav215@+245s[c1/h1] -> maus_miny@+1764s[c1/h1] -> SenzakiKamo@+1981s[c1/h1] -> sinakatsarou@+3225s[c1/h1]
2044427278302474414,AdonisGeorgiadi,False,11,11,Volcom40893832,1,6548,14742,,5.4671,0,1,0.4545,Twitter for Android,1,,mixed_behavior:0.45; amplifier_suspect:0.36; unknown:0.09; media_business:0.09,38.5344,Volcom40893832@+0s[c1/h0] -> hatz_patty@+2901s[c1/h0] -> 46spiros@+3984s[c1/h0] -> TetraLogiki@+5655s[c0/h0] -> MasenkaMm230158@+6548s[c1/h0]
2044819929099043260,n_palaiopanou,False,17,17,K_Sav215,57,3546,10473,,-0.7305,0,1,0.4706,Twitter for Android,1,1,mixed_behavior:0.59; amplifier_suspect:0.29; unknown:0.06; media_business:0.06,37.9289,K_Sav215@+0s[c1/h1] -> maus_miny@+155s[c1/h1] -> TheMadoula@+742s[c1/h1] -> tasoskar11@+2651s[c1/h1] -> Aristerotsolis@+3546s[c0/h1]
2044850898178838654,kyranakis,False,12,12,K_Sav215,57,4865,10220,,-0.5284,0,1,0.6667,Twitter for Android,1,1,mixed_behavior:0.42; amplifier_suspect:0.33; media_business:0.17; journalist_public_figure:0.08,37.6785,K_Sav215@+0s[c1/h1] -> maus_miny@+491s[c1/h1] -> MariaDecokeke@+3083s[c1/h1] -> MenoEdo@+3803s[c1/h1] -> angelikitsakani@+4865s[c1/h1]
2044485490175307840,Mirsini1946041,False,10,10,Agie2a,11,5489,94703,,4.9294,0,1,0.5,Twitter for Android,1,,mixed_behavior:0.50; amplifier_suspect:0.40; media_business:0.10,37.5772,Agie2a@+0s[c1/h0] -> angelikitsakani@+1323s[c1/h0] -> chrysib11@+2374s[c1/h0] -> mpantazo@+3767s[c1/h0] -> Briassulis@+5489s[c1/h0]
2044771502361317701,MsLouellaDeVil,False,12,12,galex1908,63,6829,12182,,-0.6314,0,1,0.5833,Twitter for Android,1,1,amplifier_suspect:0.50; mixed_behavior:0.25; media_business:0.17; unknown:0.08,36.6785,galex1908@+0s[c1/h1] -> lidakis_manos@+1291s[c1/h1] -> AgelisDimitris@+4886s[c1/h1] -> ptableart@+5701s[c1/h1] -> MenoEdo@+6829s[c1/h1]
2044850297869136242,panta_tif,False,11,11,GiotaPapapetrou,179,3272,8803,,-0.8135,0,1,0.5455,Twitter for Android,1,1,mixed_behavior:0.36; amplifier_suspect:0.27; retail_user:0.18; media_business:0.18,35.5836,GiotaPapapetrou@+0s[c1/h1] -> Nogate_T@+741s[c1/h1] -> MariaDecokeke@+1812s[c1/h1] -> anasiropiastos@+2180s[c1/h1] -> DDeppied@+3272s[c1/h1]
2044820255441052123,BenakisM,True,10,10,57lista,6,6687,15741,,-1.2777,0,1,0.6,Twitter for iPhone,1,1,mixed_behavior:0.50; amplifier_suspect:0.30; media_business:0.20,35.542,57lista@+0s[c1/h1] -> ArisBJJ@+1563s[c1/h1] -> ABCHeckles@+2615s[c1/h1] -> MKioulafa@+3241s[c1/h1] -> Catps66@+6687s[c1/h1]
2044837408923844696,Mirsini1946041,False,13,13,ABCHeckles,36,4042,8621,,-0.9749,0,1,0.3846,Twitter for iPhone,1,1,amplifier_suspect:0.46; mixed_behavior:0.46; media_business:0.08,34.8867,ABCHeckles@+0s[c1/h1] -> mpantazo@+838s[c1/h1] -> Briassulis@+3109s[c1/h1] -> Ah_riman@+3672s[c1/h1] -> AgelisDimitris@+4042s[c1/h1]
2044794863414128661,panta_tif,False,10,10,LosKarabou79397,1,11345,20556,,-0.6445,0,1,0.8,Twitter for Android,1,,amplifier_suspect:0.40; mixed_behavior:0.40; retail_user:0.10; media_business:0.10,33.7832,LosKarabou79397@+0s[c0/h0] -> Theodoros674021@+7128s[c1/h0] -> Ah_riman@+7532s[c1/h0] -> GeorgiadouL@+9593s[c1/h0] -> 46spiros@+11345s[c1/h0]
