cohort_id,member_handle,cohort_score,cohort_size
1,46spiros,53.4814,54
1,57lista,53.4814,54
1,ABCHeckles,53.4814,54
1,Aaagiiisss,53.4814,54
1,AgelisDimitris,53.4814,54
1,Ah_riman,53.4814,54
1,ArisBJJ,53.4814,54
1,BatorGr,53.4814,54
1,Briassulis,53.4814,54
1,Catps66,53.4814,54
1,DonConsclavios,53.4814,54
1,Fotinh5,53.4814,54
1,GiotaPapapetrou,53.4814,54
1,JSweetGR,53.4814,54
1,K_Sav215,53.4814,54
1,LGkvas,53.4814,54
1,Loxagos_Mark,53.4814,54
1,MKioulafa,53.4814,54
1,MariaDecokeke,53.4814,54
1,MasenkaMm230158,53.4814,54
1,MenoEdo,53.4814,54
1,Myrtilo01,53.4814,54
1,Nogate_T,53.4814,54
1,NonameTZ,53.4814,54
1,RockRock222555,53.4814,54
1,SagamoreMount,53.4814,54
1,SenzakiKamo,53.4814,54
1,ThanosTzimeros,53.4814,54
1,TheMadoula,53.4814,54
1,Track11John,53.4814,54
1,TsigkaEfi,53.4814,54
1,Xeniaxe19580370,53.4814,54
1,anasiropiastos,53.4814,54
1,angelikitsakani,53.4814,54
1,angie22gr,53.4814,54
1,chrysib11,53.4814,54
1,economi94461498,53.4814,54
1,g_m_theo,53.4814,54
1,galex1908,53.4814,54
1,giannMak,53.4814,54
1,greek_paris_13,53.4814,54
1,hatz_patty,53.4814,54
1,johnblandos,53.4814,54
1,klikr,53.4814,54
1,lafillemalgard1,53.4814,54
1,lidakis_manos,53.4814,54
1,maus_miny,53.4814,54
1,mpantazo,53.4814,54
1,nickthegreek5,53.4814,54
1,paliakaravana59,53.4814,54
1,ptableart,53.4814,54
1,sinakatsarou,53.4814,54
1,vythos70,53.4814,54
1,zneraida,53.4814,54
