account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
nickthegreek5,2,64,0.6444,1,7.8385,13.2191,-0.3636,64.38,0.9858,740
46spiros,2,64,0.6337,2,7.4968,13.0916,-1.7885,81.27,1.0,490
Track11John,2,64,0.6186,3,9.1588,13.4201,-1.6104,70.66,0.9777,223
GiotaPapapetrou,2,64,0.6032,4,9.0506,11.384,-0.6751,61.85,0.9845,73
Rena_Rethymno,2,64,0.5975,5,10.0912,2.4728,-7.7988,46.66,0.8571,31
K_Sav215,2,64,0.5771,6,9.3016,9.9173,-2.3976,45.44,0.4636,131
AgelisDimitris,2,64,0.5697,7,6.2949,11.958,-1.4575,60.36,0.8791,371
n_palaiopanou,1,243,0.5668,8,9.262,-4.7184,-7.6014,0.0,0.0,0
aggelikiME25,2,64,0.562,9,7.0948,6.1379,1.01,59.39,0.9533,2
ScroogeKifissia,1,243,0.5574,10,7.478,2.6656,2.6619,59.0,0.9,0
anasiropiastos,2,64,0.5555,11,4.7003,5.4324,-2.66,53.39,0.8387,25
Loxagos_Mark,2,64,0.5548,12,5.2397,6.7059,1.3632,73.33,1.0,82
G4Heron,2,64,0.5483,13,6.9163,3.6739,2.416,61.62,0.9545,2
Briassulis,2,64,0.5462,14,5.5697,10.837,-1.5265,56.63,0.7462,211
galex1908,2,64,0.5458,15,4.5043,9.3217,0.6671,77.8,1.0,114
paliakaravana59,2,64,0.5443,16,4.8012,9.3633,-1.2956,77.14,1.0,75
Myrtilo01,2,64,0.54,17,4.4908,6.8926,-1.1089,79.01,1.0,72
chrysib11,2,64,0.5398,18,4.709,10.802,-0.3838,81.18,1.0,279
ThanosTzimeros,2,64,0.5382,19,5.0129,5.7072,0.9808,48.13,0.75,19
Jan__Sobieski,1,243,0.5375,20,7.0874,1.3131,-0.2123,17.99,0.2045,2
Anthology2026,2,64,0.5366,21,6.8424,4.3089,-2.5118,54.38,0.8143,22
AnAthenianToLDN,1,243,0.5357,22,6.5706,2.4843,1.9078,36.98,0.65,9
Ah_riman,2,64,0.5347,23,4.4002,6.9188,0.414,56.38,0.931,90
zneraida,1,243,0.5327,24,5.8761,1.4863,0.068,43.33,1.0,5
giannMak,2,64,0.5326,25,4.0074,9.7659,-0.398,64.65,0.954,231
hatz_patty,2,64,0.5318,26,4.4834,10.2547,-0.0859,66.53,0.957,171
MariaDecokeke,2,64,0.5314,27,4.2054,9.0805,0.3279,64.18,0.9851,174
angelikitsakani,2,64,0.5309,28,4.5671,10.7171,-0.5882,83.02,1.0,318
Agie2a,2,64,0.5305,29,5.9126,4.4035,0.554,43.9,0.5758,32
vythos70,2,64,0.5303,30,4.7049,10.3167,-0.0574,62.53,0.955,123
DonConsclavios,2,64,0.5278,31,4.3195,6.4412,-1.6943,76.42,1.0,51
NikosMichael6,1,243,0.5278,32,6.2789,-2.0076,3.4572,60.0,1.0,0
g_m_theo,2,64,0.5273,33,4.9125,5.1429,0.8329,45.25,0.8235,37
JSweetGR,2,64,0.5271,34,6.608,2.9612,0.1943,29.92,0.6923,17
SagamoreMount,1,243,0.5267,35,5.8825,1.3558,-2.0957,38.75,1.0,7
madonnamaniac,1,243,0.524,36,7.2513,2.5157,1.1775,76.58,1.0,0
NodarasSpiros,1,243,0.5237,37,6.5804,0.9027,0.9866,14.13,0.1538,9
Xeniaxe19580370,2,64,0.523,38,5.7458,3.5775,-1.2428,69.7,1.0,10
silaserafim,1,243,0.523,39,6.6259,2.2915,2.4603,70.5,1.0,5
Mrpresidentgr,1,243,0.5223,40,18.3223,1.9744,1.7286,41.36,0.9,16
sinakatsarou,2,64,0.5208,41,4.2892,10.5393,-0.7396,65.53,0.9735,200
ArisBJJ,2,64,0.519,42,4.687,5.4037,-0.5151,41.98,0.7619,40
Apstolos14616,1,243,0.5171,43,9.1422,-4.0313,-2.398,0.0,0.0,0
DvsDvs60195368,1,243,0.5168,44,6.9646,-2.6277,0.6326,0.0,0.0,0
MenoEdo,2,64,0.5156,45,3.9537,10.0968,-1.0351,62.76,0.9333,264
SenzakiKamo,2,64,0.5138,46,3.5035,6.7874,-1.6604,56.73,0.9444,81
economi94461498,2,64,0.5134,47,4.2783,5.6308,-0.8486,81.02,1.0,13
mpantazo,2,64,0.5128,48,3.1564,8.8345,-0.8008,66.05,0.9815,156
klikr,2,64,0.5109,49,3.5951,6.7988,-0.9431,58.86,0.8649,56
Drifter_1066,1,243,0.5096,50,8.7095,-4.8925,-7.5197,0.0,0.0,0
EAdamopoulou,1,243,0.5095,51,6.3654,-2.2713,2.1703,33.75,0.25,0
tasoskar11,1,243,0.508,52,5.021,0.8407,-0.873,60.0,1.0,17
57lista,2,64,0.5069,53,5.1542,3.6912,-0.7487,37.74,0.5625,22
angie22gr,2,64,0.5034,54,3.9087,6.295,1.2086,78.64,1.0,30
TheocharousH,1,243,0.5022,55,8.6796,-4.8389,-7.5095,0.0,0.0,0
RockRock222555,2,64,0.5015,56,3.71,8.5813,-1.3864,54.69,0.7083,103
ArgirNik,2,64,0.5002,57,5.4514,3.8008,-0.3656,46.71,0.7273,38
TheMadoula,2,64,0.5001,58,3.0569,7.9504,-0.5657,56.77,0.925,124
BananaJoeReload,2,64,0.5,59,6.1599,3.7382,1.4976,55.21,0.8431,2
NonameTZ,2,64,0.4993,60,4.5895,5.0187,-1.3927,58.65,1.0,48
MasenkaMm230158,2,64,0.4979,61,3.0117,7.787,-1.5781,79.58,1.0,82
LitsaXarou,1,243,0.497,62,5.4965,0.0435,3.3163,68.75,1.0,0
lafillemalgard1,2,64,0.4964,63,4.4169,4.782,0.1085,45.41,0.85,31
MKioulafa,2,64,0.4963,64,3.2805,8.8443,-0.5592,60.97,0.8393,76
MoudilosV,1,243,0.4956,65,6.0699,-2.8982,0.5685,0.0,0.0,0
ZafiriaF,1,243,0.4952,66,6.0467,1.9405,2.121,57.59,1.0,28
steiger_st28082,1,243,0.4939,67,5.6697,1.8103,0.0695,37.67,0.7692,19
LGkvas,2,64,0.4936,68,4.1163,5.6687,-1.1846,62.99,1.0,54
jparthen,1,243,0.4934,69,5.8987,1.9238,0.5722,42.37,0.7333,8
Abovelaw13,1,243,0.4931,70,6.225,0.1797,-0.3843,26.8,0.4444,0
dinoskonstantin,2,64,0.493,71,5.8802,3.7899,1.0982,76.88,1.0,14
Aaagiiisss,2,64,0.4928,72,4.4042,5.0622,-0.4899,71.06,1.0,21
JtfYiannis,1,243,0.4914,73,4.969,-0.2926,1.059,55.0,1.0,6
ellada24,1,243,0.491,74,6.3463,-3.0564,1.192,0.0,0.0,0
ABCHeckles,2,64,0.4895,75,2.9727,8.2288,0.1855,82.45,1.0,104
ptableart,2,64,0.4893,76,4.6342,4.1912,-1.8651,65.0,1.0,27
xeniakan21,2,64,0.4891,77,5.4927,3.9445,0.6905,62.08,1.0,62
PitSpencer,2,64,0.4876,78,5.5996,3.3879,-0.0334,70.5,1.0,35
NikosVsdl8,2,64,0.4867,79,5.9898,3.3157,-0.3804,78.8,1.0,4
Catps66,2,64,0.4861,80,2.6499,7.8984,-1.1133,80.78,1.0,108
johnblandos,2,64,0.4859,81,2.7438,8.2065,-0.5796,62.06,0.9,104
greek_paris_13,2,64,0.4831,82,2.8546,6.8624,-0.0834,57.32,0.9412,49
amantomatimou,1,243,0.4821,83,5.6753,0.31,1.4416,32.66,0.55,0
GeorghyZhukov,1,243,0.4818,84,5.8751,-3.4567,2.0987,0.0,0.0,0
Valiadistinct,1,243,0.4809,85,5.0515,-0.6291,1.4646,71.25,1.0,0
maus_miny,2,64,0.4793,86,2.9114,6.9735,-0.7863,51.68,0.9231,106
StavrosKol9528,1,243,0.4788,87,5.427,-3.9913,-0.7919,0.0,0.0,0
doubamari,1,243,0.4786,88,5.4509,-2.4421,2.7833,42.5,0.5,0
QuercusLg,1,243,0.4769,89,5.2909,1.8005,0.3273,55.62,0.9048,2
TsigkaEfi,2,64,0.4766,90,3.4906,6.2785,-1.5328,68.04,1.0,65
michael_exc,1,243,0.4765,91,5.4936,0.7543,0.7823,75.95,1.0,0
le1li,1,243,0.4757,92,5.9075,2.339,-0.0593,51.88,0.9444,2
foivos_trikkis_,1,243,0.4756,93,5.1682,0.4561,0.0954,41.55,0.6667,0
Guson653566,1,243,0.4739,94,8.6904,-4.9684,-7.4785,0.0,0.0,0
HFirstpriest,1,243,0.4739,95,8.6904,-4.9684,-7.4785,0.0,0.0,0
Lollos1242232,1,243,0.4739,96,8.6904,-4.9684,-7.4785,0.0,0.0,0
Pi8kiavlozampis,1,243,0.4739,97,8.6904,-4.9684,-7.4785,0.0,0.0,0
christoskostaki,1,243,0.4739,98,8.6904,-4.9684,-7.4785,0.0,0.0,0
myga_tse,1,243,0.4739,99,8.6904,-4.9684,-7.4785,0.0,0.0,0
BatorGr,2,64,0.4736,100,3.5194,5.9028,-1.132,65.6,1.0,55
failosK,1,243,0.4736,101,4.7026,-2.8436,2.0431,18.75,0.25,0
Greekprn,1,243,0.4732,102,5.1895,-2.2805,1.7714,15.62,0.125,0
omadaalithias,1,243,0.4726,103,6.1263,-3.5902,1.2862,0.0,0.0,0
nikos_aggelakis,1,243,0.4724,104,4.6813,1.0924,-0.3555,33.08,0.6,6
Nogate_T,2,64,0.4721,105,3.9393,5.2595,0.3873,63.75,1.0,43
parodynews,1,243,0.4718,106,5.4396,0.8011,1.9204,34.09,0.6923,3
ZbejVty,1,243,0.4708,107,5.8786,2.6929,1.2912,56.07,0.9412,2
vel_theGreek,1,243,0.4707,108,4.6851,0.8706,1.4274,41.67,0.8571,8
dkDurcGYTIpZdKl,1,243,0.4703,109,4.4209,-0.0352,1.4434,32.08,0.75,6
Chaos_kreator,1,243,0.4701,110,4.7014,-1.1286,0.9227,55.0,1.0,2
unico11226,1,243,0.4696,111,5.0313,-0.7249,-0.6573,34.92,0.8333,2
MariaKagia4603,1,243,0.4679,112,4.6277,0.5476,-1.4801,56.43,1.0,6
xariszak2,1,243,0.4665,113,8.6531,1.5891,-0.7787,66.67,1.0,6
trescommeilfaut,1,243,0.4662,114,4.7748,-2.8723,0.5375,15.14,0.1111,0
nikglykos,1,243,0.4656,115,5.1321,-3.1339,2.0038,0.0,0.0,0
4lhc_athens,1,243,0.4648,116,4.8408,-2.5469,-1.0691,37.92,0.3333,0
Veltsi_Legacy,1,243,0.4635,117,4.4938,-0.1577,-0.2457,21.5,0.4,4
lidakis_manos,2,64,0.4635,118,3.5219,5.616,-1.4007,63.45,1.0,51
hellaspecial,1,243,0.4632,119,4.7601,-1.72,2.6005,30.83,0.6667,0
Theodoros674021,1,243,0.4627,120,5.2049,2.0431,-0.4851,46.11,0.8889,16
KVagos42117,1,243,0.4626,121,4.158,-0.9315,-0.9454,43.72,0.9,0
themagus2022,1,243,0.4626,122,8.001,-1.0855,-0.4783,57.0,1.0,0
AthanasiouCccp,1,243,0.4625,123,5.0514,0.2236,2.3596,32.74,0.5625,0
Fotinh5,2,64,0.4618,124,3.8069,5.5412,-0.2654,67.21,1.0,38
VforVolemenos,1,243,0.4617,125,4.9644,0.6465,1.3618,40.92,0.8333,2
agapornis_mask,1,243,0.4615,126,4.0259,-0.3257,0.0168,52.92,1.0,5
doumpalis,1,243,0.4611,127,8.1271,-3.8573,-1.446,0.0,0.0,0
Philipos1991486,1,243,0.461,128,4.3287,-2.8514,-2.8635,25.0,0.5,0
KosmidisStathis,1,243,0.461,129,4.7073,0.4362,2.1573,37.92,0.8333,6
aikarerina,1,243,0.4604,130,4.9215,-2.2027,2.1501,43.75,0.5,0
John_Fletcher70,1,243,0.4593,131,5.1943,-2.9638,0.5275,0.0,0.0,0
anarchistdonkey,1,243,0.4592,132,5.1778,0.0574,2.0944,37.92,0.7692,0
Placebo_0,1,243,0.4586,133,4.9981,0.6885,1.858,44.86,0.7,0
hellasspecial,1,243,0.4585,134,5.3079,-3.3983,1.6364,0.0,0.0,0
frel_elias,1,243,0.4574,135,5.163,0.5262,1.3566,48.48,0.875,0
Tiramolas_,1,243,0.4564,136,4.7835,-3.8081,-3.0952,0.0,0.0,0
tazmanolis,1,243,0.4564,137,5.1031,-0.1841,2.22,34.17,0.6667,0
olofwti_agapi,1,243,0.4554,138,5.0702,-3.285,-1.3976,0.0,0.0,0
harakont,1,243,0.4546,139,3.3692,-1.3165,-0.7128,40.0,1.0,6
InafiZinaf1,1,243,0.4544,140,3.8404,-1.2648,-1.3579,38.33,1.0,11
Fay82776914F,2,64,0.4542,141,5.3385,3.3254,0.2769,66.96,1.0,34
MariaKoki3,1,243,0.4538,142,3.9078,-0.253,0.2067,34.0,0.7143,4
