account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,cohort_count,cohort_max_size,cohort_max_cascade_count,role_retail_user,role_amplifier_suspect,role_media_business,role_journalist_public_figure,role_source_hub,first_retweeter_ratio,propagation_lead_count,coordination_score,analyst_label
Fay82776914F,14,14,0,4,1.0,9,14,13,4,0.2857,2,0.1429,2,1,1524,1419,49073,3503,1,0,0,113,12,34,3,11,6,0,0,0,0,1,0,0,0,0.0033,9,66.96,
xariszak2,12,12,0,0,1.0,8,12,10,4,0.3333,2,0.1667,1,2,237,309,16306,2352,1,1,0,113,3,6,1,1,2,0,0,0,0,1,0,0,0,0.003,8,66.67,
hatz_patty,93,89,4,35,0.957,56,89,34,43,0.4831,7,0.0787,7,21,9013,6063,285703,5378,0,0,0,113,38,171,18,82,21,1,54,177,0,0,0,0,0,0.0207,56,66.53,
cavodoro,11,11,0,1,1.0,5,11,10,6,0.5455,2,0.1818,3,3,805,1061,19563,5911,1,0,0,113,7,19,0,2,5,0,0,0,0,1,0,0,0,0.0019,5,66.25,
mpantazo,54,53,1,9,0.9815,26,53,45,21,0.3962,4,0.0755,15,14,2456,1355,179530,4328,0,0,0,113,33,156,12,63,17,1,54,177,0,1,0,0,0,0.0096,26,66.05,
Tina5996,9,9,0,0,1.0,5,9,9,5,0.5556,1,0.1111,1,1,160,186,12054,1392,1,0,0,113,3,9,0,1,4,0,0,0,0,1,0,0,0,0.0019,5,65.69,
BatorGr,25,25,0,1,1.0,8,25,23,8,0.32,2,0.08,14,11,1193,926,69792,1153,1,0,0,113,17,55,3,12,6,1,54,177,0,1,0,0,0,0.003,8,65.6,
sinakatsarou,113,110,3,25,0.9735,56,110,76,44,0.4,5,0.0455,14,35,7702,1970,214579,2668,1,0,0,113,38,200,23,97,21,1,54,177,0,0,0,0,0,0.0207,56,65.53,
ptableart,12,12,0,1,1.0,7,12,10,3,0.25,3,0.25,2,2,359,207,15940,651,1,0,0,113,11,27,3,9,4,1,54,177,0,1,0,0,0,0.0026,7,65.0,
giannMak,87,83,4,10,0.954,30,83,60,32,0.3855,4,0.0482,29,20,6808,6703,173958,4079,0,0,0,113,40,231,21,95,26,1,54,177,0,0,0,0,0,0.0111,30,64.65,
NickDanny99,12,12,0,3,1.0,11,12,12,0,0.0,1,0.0833,1,1,1719,1209,17401,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0041,11,64.58,
nickthegreek5,282,278,4,18,0.9858,88,278,147,83,0.2986,11,0.0396,52,78,6393,2507,385367,5463,0,0,0,113,88,740,60,282,44,1,54,177,0,0,1,0,0,0.0326,88,64.38,
MariaDecokeke,67,66,1,18,0.9851,27,66,38,16,0.2424,7,0.1061,10,13,6639,3292,293282,4030,1,0,0,113,40,174,17,94,12,1,54,177,0,0,1,0,0,0.01,27,64.18,
Nogate_T,15,15,0,4,1.0,7,15,13,3,0.2,3,0.2,2,2,9021,5397,98891,4080,1,0,0,113,15,43,4,14,6,1,54,177,0,1,0,0,0,0.0026,7,63.75,
lidakis_manos,21,21,0,5,1.0,6,21,20,7,0.3333,2,0.0952,10,5,742,673,29806,1347,1,0,0,113,16,51,2,18,7,1,54,177,0,1,0,0,0,0.0022,6,63.45,
LGkvas,23,23,0,0,1.0,5,23,19,9,0.3913,2,0.087,10,5,970,1364,8105,3335,1,0,0,113,16,54,5,20,14,1,54,177,0,1,0,0,0,0.0019,5,62.99,
MenoEdo,120,112,8,25,0.9333,42,112,84,34,0.3036,6,0.0536,18,11,2687,2008,178622,1845,1,0,0,113,48,264,12,75,29,1,54,177,0,0,0,0,0,0.0156,42,62.76,
vythos70,111,106,5,3,0.955,77,106,80,23,0.217,9,0.0849,24,52,10516,10473,391058,1963,1,0,0,113,28,123,11,45,18,1,54,177,0,0,0,0,0,0.0285,77,62.53,
B2hBk3gFaa2fH4W,5,5,0,0,1.0,5,5,3,0,0.0,3,0.6,0,5,1640,2412,7087,2272,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0019,5,62.25,
