account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,cohort_count,cohort_max_size,cohort_max_cascade_count,role_retail_user,role_amplifier_suspect,role_media_business,role_journalist_public_figure,role_source_hub,first_retweeter_ratio,propagation_lead_count,coordination_score,analyst_label
akrato,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,2455,3869,28236,6319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
akrokentrwos_2,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,15197,1575,47277,2358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0004,1,46.25,
alexpretti1312,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,3,176,292,1585,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
chrisvwgolf,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,52,32,8630,1252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
correll_caus,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,208,253,5914,736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
milinimaria,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,2756,1259,26706,5613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
mystical_hell,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,82,120,2203,865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
papa_vaso,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,1319,1352,25290,4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
sokpap,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,2,190,285,5537,5425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
vagelis_ts,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,54,179,1662,1713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Theodoros674021,9,8,1,6,0.8889,6,8,6,2,0.25,3,0.375,0,2,605,507,29605,891,1,0,0,113,7,16,1,7,4,0,0,0,0,1,0,0,0,0.0022,6,46.11,
anastassios2401,10,9,1,1,0.9,8,9,9,2,0.2222,1,0.1111,1,0,7547,5666,123305,4892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003,8,45.94,
PITT1742510,3,3,0,1,1.0,2,3,3,1,0.3333,1,0.3333,0,0,82,285,2190,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,45.83,
georgekouts62,3,3,0,1,1.0,2,3,3,1,0.3333,1,0.3333,3,0,5020,5012,29092,3549,1,0,0,113,1,2,0,0,2,0,0,0,0,0,0,0,0,0.0007,2,45.83,
K_Sav215,151,70,81,24,0.4636,57,70,53,17,0.2429,4,0.0571,107,38,1155,1133,78130,1713,1,1,0,113,31,131,15,56,11,1,54,177,0,0,0,0,0,0.0211,57,45.44,
lafillemalgard1,20,17,3,7,0.85,9,17,11,1,0.0588,6,0.3529,0,3,3622,3305,73852,5150,0,0,0,113,9,31,2,12,6,1,54,177,0,0,0,0,0,0.0033,9,45.41,
g_m_theo,17,14,3,6,0.8235,4,14,10,8,0.5714,4,0.2857,1,2,6346,5666,60050,4096,1,0,0,113,12,37,4,19,6,1,54,177,0,0,1,0,0,0.0015,4,45.25,
Electra306,4,4,0,3,1.0,3,4,4,1,0.25,1,0.25,0,0,5208,2752,133169,2237,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,3,45.0,
Realism_47,4,4,0,0,1.0,3,4,4,1,0.25,1,0.25,0,0,1237,4248,20301,1891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,3,45.0,
M_Efstathiou,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,2,0,366,502,7350,3392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
OratiosPoulos,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,4767,1233,55322,1720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
Savaso1955,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,110,351,880,973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
TDrodopoulou,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,206,145,5903,1152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
TetraLogiki,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,3096,1811,30338,2687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
communakios,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,1,4364,1119,52507,1576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
desevmoi,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,169,195,702,1095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
epaggelmatiassk,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,3542,2542,108818,2957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
leonidasHG,1,1,0,1,1.0,0,1,1,0,0.0,1,1.0,2,3,1139,1620,28630,5291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
loudovikos14os,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,447,343,22227,3943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45.0,
Placebo_0,20,14,6,2,0.7,14,14,14,2,0.1429,1,0.0714,4,0,6474,3500,326902,5163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,14,44.86,
FrankiKostas,3,3,0,0,1.0,1,3,3,1,0.3333,1,0.3333,0,1,2673,2326,55178,4046,1,0,0,113,3,6,0,3,2,0,0,0,0,0,0,0,0,0.0004,1,44.58,
L6sVita,3,3,0,0,1.0,2,3,2,0,0.0,2,0.6667,0,0,769,917,28736,3988,0,0,0,113,1,2,0,0,2,0,0,0,0,0,0,0,0,0.0007,2,44.17,
ledentiste2,15,11,4,3,0.7333,11,11,9,2,0.1818,2,0.1818,11,1,2590,3329,37669,2123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,11,43.96,
Agie2a,33,19,14,11,0.5758,11,19,11,10,0.5263,4,0.2105,9,11,4427,3346,82550,1507,1,0,1,113,11,32,2,12,4,0,0,0,0,0,0,0,0,0.0041,11,43.9,
aekzurich21,4,4,0,0,1.0,2,4,4,1,0.25,1,0.25,5,0,264,846,16627,1027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,43.75,
aikarerina,2,1,1,0,0.5,1,1,1,1,1.0,1,1.0,1,0,2569,3101,26581,1950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0004,1,43.75,
KVagos42117,10,9,1,0,0.9,8,9,7,0,0.0,2,0.2222,0,0,89,126,3552,1031,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.003,8,43.72,
zneraida,3,3,0,1,1.0,0,3,3,1,0.3333,1,0.3333,4,3,4317,466,144679,3920,1,0,0,113,2,5,0,3,3,1,54,177,0,0,0,0,0,0.0,0,43.33,
Volcom40893832,3,3,0,0,1.0,1,3,2,0,0.0,2,0.6667,0,4,835,837,13014,2576,1,0,0,113,5,10,0,1,2,0,0,0,0,0,0,0,0,0.0004,1,42.92,
DejaLogic,2,2,0,0,1.0,2,2,2,0,0.0,1,0.5,0,0,4612,3060,17627,1154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0007,2,42.5,
RGialama8386,2,2,0,1,1.0,2,2,2,0,0.0,1,0.5,0,0,96,390,1938,343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,42.5,
doubamari,2,1,1,0,0.5,0,1,1,1,1.0,1,1.0,0,0,6006,1647,197949,5331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,42.5,
jparthen,15,11,4,6,0.7333,9,11,8,2,0.1818,3,0.2727,0,6,553,476,46592,6047,0,0,0,113,4,8,0,3,2,0,0,0,0,0,1,0,0,0.0033,9,42.37,
evangelia_re,8,7,1,0,0.875,3,7,7,3,0.4286,1,0.1429,2,2,5605,4617,15210,6047,1,0,0,113,4,10,0,2,3,0,0,0,0,1,0,0,0,0.0011,3,42.23,
EoLaerte,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,1,1,497,772,7621,1604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,3,42.08,
Nikos2501,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,0,0,500,127,33816,1568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,3,42.08,
Protostatis,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,5,1,2258,1313,81106,5309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,3,42.08,
Ralia1Raily,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,0,0,588,634,16507,1704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,3,42.08,
ArisBJJ,21,16,5,7,0.7619,6,16,14,7,0.4375,2,0.125,7,3,3233,1346,16325,5460,0,0,1,113,12,40,5,19,8,1,54,177,0,0,0,0,0,0.0022,6,41.98,
vel_theGreek,7,6,1,1,0.8571,0,6,6,4,0.6667,1,0.1667,4,2,10188,4193,145180,2640,1,0,0,113,3,8,0,3,4,0,0,0,0,0,0,0,0,0.0,0,41.67,
EthanAnargyrous,7,6,1,1,0.8571,4,6,6,2,0.3333,1,0.1667,0,1,1169,962,40166,2834,1,0,0,113,3,8,0,2,3,0,0,0,0,1,0,0,0,0.0015,4,41.66,
foivos_trikkis_,21,14,7,6,0.6667,14,14,14,0,0.0,1,0.0714,5,2,1520,813,38707,2175,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0052,14,41.55,
KyrPantelis3,10,9,1,1,0.9,7,9,9,0,0.0,1,0.1111,1,0,393,2404,15110,1377,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0026,7,41.36,
Mrpresidentgr,10,9,1,3,0.9,3,9,9,3,0.3333,1,0.1111,4,1,3816,2976,54094,6178,1,0,1,113,7,16,1,4,4,0,0,0,0,0,0,1,0,0.0011,3,41.36,
AnnaDiEpifanio1,2,2,0,0,1.0,1,2,2,0,0.0,1,0.5,0,0,531,694,17857,2812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,41.25,
antonis_zen,2,2,0,0,1.0,1,2,2,0,0.0,1,0.5,0,0,939,1334,8610,1482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,41.25,
VforVolemenos,6,5,1,1,0.8333,3,5,5,2,0.4,1,0.2,6,9,6702,6380,40693,1520,1,0,1,113,1,2,0,0,2,0,0,0,0,0,0,0,0,0.0011,3,40.92,
dimitris7987,9,7,2,2,0.7778,5,7,6,2,0.2857,2,0.2857,1,4,915,546,38357,431,1,0,0,113,1,2,0,0,2,0,0,0,0,0,0,0,0,0.0019,5,40.62,
Klearxos8,2,2,0,0,1.0,0,2,2,0,0.0,1,0.5,0,1,1246,2678,27372,1795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,40.0,
harakont,2,2,0,0,1.0,0,2,2,0,0.0,1,0.5,2,3,330,426,2523,1615,1,0,0,113,3,6,0,0,2,0,0,0,0,0,0,0,0,0.0,0,40.0,
SagamoreMount,4,4,0,1,1.0,1,4,4,0,0.0,1,0.25,0,3,133,425,4114,598,1,0,0,113,3,7,1,6,3,1,54,177,0,0,0,0,0,0.0004,1,38.75,
InafiZinaf1,3,3,0,0,1.0,0,3,3,0,0.0,1,0.3333,0,0,557,173,1091,396,1,0,0,113,5,11,0,2,3,0,0,0,0,0,0,0,0,0.0,0,38.33,
anarchistdonkey,13,10,3,3,0.7692,8,10,10,0,0.0,1,0.1,6,0,5614,2372,160168,4489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003,8,37.92,
KosmidisStathis,6,5,1,0,0.8333,3,5,5,1,0.2,1,0.2,2,0,9687,5717,81668,4187,1,0,0,113,3,6,0,3,2,0,0,0,0,0,1,0,0,0.0011,3,37.92,
4lhc_athens,3,1,2,0,0.3333,1,1,1,1,1.0,1,1.0,1,2,234,244,3416,203,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0004,1,37.92,
57lista,16,9,7,7,0.5625,6,9,7,5,0.5556,2,0.2222,0,0,1650,1546,15838,1693,1,0,0,113,7,22,2,6,4,1,54,177,0,0,0,0,0,0.0022,6,37.74,
steiger_st28082,13,10,3,0,0.7692,7,10,9,0,0.0,2,0.2,0,8,2122,3165,130091,1123,1,0,0,113,9,19,2,10,3,0,0,0,1,0,0,0,0,0.0026,7,37.67,
kostasagg1965,9,6,3,3,0.6667,6,6,6,2,0.3333,1,0.1667,0,0,356,7209,34808,1448,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0022,6,37.5,
CMentat,6,5,1,3,0.8333,5,5,5,0,0.0,1,0.2,0,0,529,656,7106,583,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0019,5,37.42,
AnAthenianToLDN,20,13,7,7,0.65,8,13,13,3,0.2308,1,0.0769,1,0,22210,2365,229345,5440,0,0,0,113,4,9,3,4,3,0,0,0,0,0,1,0,0,0.003,8,36.98,
GP_74_,3,2,1,1,0.6667,0,2,2,1,0.5,1,0.5,0,1,1328,1022,18381,1057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,35.83,
Hlsn0iQdRGXJ7lw,5,3,2,0,0.6,1,3,3,2,0.6667,1,0.3333,5,1,1348,2099,42722,1721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,35.58,
seriousthreat98,5,4,1,3,0.8,4,4,4,0,0.0,1,0.25,3,1,812,427,13723,1191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,4,35.5,
DDeppied,6,5,1,2,0.8333,3,5,5,0,0.0,1,0.2,0,0,3799,2896,30952,3058,1,0,0,113,1,2,1,2,2,0,0,0,0,0,0,0,0,0.0011,3,34.92,
unico11226,6,5,1,1,0.8333,3,5,5,0,0.0,1,0.2,0,0,790,2131,7194,80,1,0,1,113,1,2,0,2,2,0,0,0,1,0,0,0,0,0.0011,3,34.92,
tazmanolis,9,6,3,2,0.6667,6,6,5,0,0.0,2,0.3333,0,15,14601,6089,361403,2435,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,6,34.17,
parodynews,13,9,4,4,0.6923,7,9,9,0,0.0,1,0.1111,0,1,3574,4099,180045,6000,0,0,0,113,1,3,0,0,3,0,0,0,0,0,1,0,0,0.0026,7,34.09,
MariaKoki3,7,5,2,1,0.7143,4,5,4,0,0.0,2,0.4,0,0,1402,753,123883,1202,1,0,0,113,2,4,0,1,2,0,0,0,1,0,0,0,0,0.0015,4,34.0,
EAdamopoulou,4,1,3,2,0.25,0,1,1,1,1.0,1,1.0,0,2,8669,1792,75881,5438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,33.75,
freemindspirits,6,4,2,2,0.6667,4,4,3,0,0.0,2,0.5,0,0,1438,3095,100941,5091,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0015,4,33.33,
nikos_aggelakis,10,6,4,5,0.6,3,6,5,2,0.3333,2,0.3333,1,5,554,1161,11604,5238,1,0,0,113,3,6,1,3,2,0,0,0,1,0,0,0,0,0.0011,3,33.08,
AthanasiouCccp,16,9,7,4,0.5625,6,9,7,2,0.2222,2,0.2222,0,2,6137,5379,145408,4864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0022,6,32.74,
amantomatimou,20,11,9,9,0.55,10,11,11,0,0.0,1,0.0909,2,1,5604,557,82663,5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0037,10,32.66,
dkDurcGYTIpZdKl,4,3,1,0,0.75,2,3,3,0,0.0,1,0.3333,3,4,3399,2364,97045,3200,1,0,0,113,3,6,0,1,2,0,0,0,0,0,1,0,0,0.0007,2,32.08,
Lalunaromantico,5,3,2,1,0.6,2,3,3,1,0.3333,1,0.3333,2,2,2036,1046,23948,4126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,31.83,
ippotech,5,3,2,1,0.6,2,3,3,1,0.3333,1,0.3333,0,3,3979,4566,81458,5497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,31.83,
giorgosgreen,3,2,1,0,0.6667,2,2,2,0,0.0,1,0.5,1,0,1121,557,10258,2641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,30.83,
hellaspecial,3,2,1,1,0.6667,2,2,2,0,0.0,1,0.5,2,0,5639,4362,162588,2813,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0007,2,30.83,
JSweetGR,13,9,4,4,0.6923,1,9,9,2,0.2222,1,0.1111,0,2,3254,2126,70975,6220,0,0,1,113,6,17,0,10,6,1,54,177,0,0,0,0,0,0.0004,1,29.92,
2eateras,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,6,0,692,2062,14777,2636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,28.75,
LosKarabou79397,2,1,1,2,0.5,1,1,1,0,0.0,1,1.0,2,0,256,283,890,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0004,1,28.75,
Manolo_math,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,3,0,1802,2290,11940,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,28.75,
PanosStayis,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,0,347,348,6839,1059,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0004,1,28.75,
VanaT66,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,1,1596,1623,40088,2459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,28.75,
VaragiosP,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,1,289,293,12912,1930,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0004,1,28.75,
bolltzmann,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,13397,5157,37441,4472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,28.75,
despica67766915,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,845,1153,17985,2389,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0004,1,28.75,
isidoragiou1,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,0,600,291,15266,3858,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0004,1,28.75,
lordos_noble,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,1318,983,108871,2189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,28.75,
pnevan11,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,620,1460,7991,3628,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0004,1,28.75,
kostasp194,2,1,1,0,0.5,0,1,1,0,0.0,1,1.0,0,0,3520,4117,47789,3419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,27.5,
packad__,2,1,1,1,0.5,0,1,1,0,0.0,1,1.0,1,2,165,607,8129,2352,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,27.5,
Abovelaw13,18,8,10,4,0.4444,8,8,8,0,0.0,1,0.125,29,8,1065,582,11036,1725,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.003,8,26.8,
phtochos1,6,2,4,0,0.3333,1,2,2,1,0.5,1,0.5,1,0,11076,9207,144540,1466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,25.42,
Philipos1991486,4,2,2,1,0.5,2,2,2,0,0.0,1,0.5,0,0,29,122,563,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0007,2,25.0,
aprosarmostos_,4,2,2,4,0.5,2,2,2,0,0.0,1,0.5,0,0,4339,3290,61962,3683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,25.0,
consue_banana_,4,2,2,0,0.5,2,2,2,0,0.0,1,0.5,1,3,3652,2365,27042,598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,25.0,
Athanasiosfara1,3,1,2,2,0.3333,1,1,1,0,0.0,1,1.0,0,0,2864,1821,191603,3743,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,22.92,
Veltsi_Legacy,10,4,6,3,0.4,1,4,4,1,0.25,1,0.25,0,1,1222,575,12790,940,1,0,1,113,2,4,1,1,2,0,0,0,0,0,0,0,0,0.0004,1,21.5,
Dv500x,4,1,3,3,0.25,1,1,1,0,0.0,1,1.0,0,0,575,322,17742,1799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0004,1,20.0,
RXRqdEgogik2Z9P,4,1,3,0,0.25,1,1,1,0,0.0,1,1.0,0,0,3534,1052,22445,2458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0004,1,20.0,
bobidion,4,1,3,0,0.25,1,1,1,0,0.0,1,1.0,3,0,5710,2893,51612,5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0004,1,20.0,
steliostso,6,2,4,1,0.3333,2,2,2,0,0.0,1,0.5,0,1,6022,5845,66762,5716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,19.17,
HRessed,4,1,3,4,0.25,0,1,1,0,0.0,1,1.0,0,0,437,435,5873,181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,18.75,
failosK,4,1,3,0,0.25,0,1,1,0,0.0,1,1.0,0,1,47465,2212,56828,5122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,18.75,
agnwstos_x_,5,1,4,0,0.2,1,1,1,0,0.0,1,1.0,4,0,4249,1617,45913,4414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0004,1,18.25,
Jan__Sobieski,44,9,35,32,0.2045,6,9,7,0,0.0,3,0.3333,2,7,1147,814,36645,2138,1,0,0,113,1,2,0,0,2,0,0,0,0,0,0,0,1,0.0022,6,17.99,
MAVROJOHN,7,2,5,0,0.2857,2,2,2,0,0.0,1,0.5,0,0,262,382,6385,5175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0007,2,17.5,
Greekprn,8,1,7,0,0.125,1,1,1,0,0.0,1,1.0,6,0,6049,3860,157877,5322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0004,1,15.62,
trescommeilfaut,9,1,8,0,0.1111,1,1,1,0,0.0,1,1.0,0,0,1736,846,11948,3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0004,1,15.14,
NodarasSpiros,26,4,22,22,0.1538,2,4,4,1,0.25,1,0.25,0,0,8696,2447,191100,4980,1,0,0,113,4,9,1,3,3,0,0,0,0,0,0,0,1,0.0007,2,14.13,
DvsDvs60195368,32,0,32,12,0.0,0,0,0,0,0.0,0,0.0,0,0,3470,3429,62532,1194,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
ellada24,17,0,17,0,0.0,0,0,0,0,0.0,0,0.0,1,0,29791,1448,89357,1749,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
MoudilosV,7,0,7,3,0.0,0,0,0,0,0.0,0,0.0,6,0,1880,1739,24639,6065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
olofwti_agapi,7,0,7,1,0.0,0,0,0,0,0.0,0,0.0,7,0,348,134,5599,1238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
John_Fletcher70,5,0,5,4,0.0,0,0,0,0,0.0,0,0.0,0,2,4247,955,118494,4663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
ObserverGr71726,5,0,5,0,0.0,0,0,0,0,0.0,0,0.0,5,0,460,358,16459,1060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
Wwwwww42362442,4,0,4,3,0.0,0,0,0,0,0.0,0,0.0,0,0,1978,3158,28032,3123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
gospodinmedvedd,4,0,4,2,0.0,0,0,0,0,0.0,0,0.0,1,1,340,369,4851,988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
2PAzkjh6oFRW77D,3,0,3,3,0.0,0,0,0,0,0.0,0,0.0,0,0,4579,2281,116067,2358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
Apstolos14616,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,0,0,143,169,2105,81,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
AstyMpekas,3,0,3,2,0.0,0,0,0,0,0.0,0,0.0,1,3,311,153,6990,555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
daenerys777777,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,0,0,703,567,8218,445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
hellasspecial,3,0,3,0,0.0,0,0,0,0,0.0,0,0.0,0,0,15885,9906,147791,3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
melambus,3,0,3,2,0.0,0,0,0,0,0.0,0,0.0,0,0,1486,2282,32045,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
n_palaiopanou,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,0,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
omadaalithias,3,0,3,0,0.0,0,0,0,0,0.0,0,0.0,0,0,110834,581,15859,4957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,
AChamouza,2,0,2,2,0.0,0,0,0,0,0.0,0,0.0,0,2,217,347,2801,1133,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,
