account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
ZbejVty,True,3,3,0,0,1.0,2,3,3,2,0.6667,ZbejVty,1,0.3333,0,3,4007,4985,151427,2021-09-23T22:50:34+03:00,True,False,False,el,50.83
aggelikiME25,True,14,13,1,2,0.9286,13,13,13,1,0.0769,OTemPoRaOmOreS7,1,0.0769,2,0,5546,1941,303694,2016-04-14T22:58:59+03:00,True,False,False,el,50.67
Fotinh5,True,2,2,0,0,1.0,2,2,2,1,0.5,iefimerida,1,0.5,1,0,3794,2942,62847,2021-10-21T19:55:21+03:00,True,False,False,,50.0
nilsholgerson_,True,3,3,0,1,1.0,1,3,3,2,0.6667,ThanosTzimeros,1,0.3333,0,0,4885,4524,29520,2013-08-04T23:50:47+03:00,True,False,False,el,49.58
IK25818385,True,4,4,0,0,1.0,4,4,3,1,0.25,Wolfman45042900,2,0.5,9,0,1045,3296,10624,2021-03-02T13:36:20+02:00,True,False,False,el,48.75
xariszak2,True,2,2,0,0,1.0,1,2,2,1,0.5,K_Sav215,1,0.5,0,0,237,309,16294,2019-11-07T20:50:06+02:00,True,True,False,,48.75
Agie2a,True,12,8,4,3,0.6667,6,8,5,6,0.75,__darcelX__,4,0.5,0,0,4423,3346,82467,2022-03-01T14:03:05+02:00,True,False,True,en,47.08
Nogate_T,True,1,1,0,1,1.0,1,1,1,0,0.0,LeonardTroland,1,1.0,0,0,9021,5403,98844,2015-02-13T13:10:01+02:00,True,False,False,el,46.25
OratiosPoulos,True,1,1,0,0,1.0,1,1,1,0,0.0,panta_tif,1,1.0,0,0,4767,1233,55318,2021-07-31T12:59:25+03:00,True,False,False,el,46.25
PiraeusStef,True,1,1,0,0,1.0,1,1,1,0,0.0,mariavellou,1,1.0,0,0,2057,2281,39747,2011-05-04T08:40:02+03:00,False,False,False,,46.25
RXRqdEgogik2Z9P,True,1,1,0,0,1.0,1,1,1,0,0.0,ntalaoura,1,1.0,0,0,3532,1051,22412,2019-07-24T09:22:59+03:00,True,False,False,el,46.25
SagamoreMount,True,1,1,0,1,1.0,1,1,1,0,0.0,michaeldweiss,1,1.0,0,0,134,425,4111,2024-08-26T17:13:12+03:00,True,False,False,en,46.25
akrokentrwos_2,True,1,1,0,0,1.0,1,1,1,0,0.0,Haberler,1,1.0,0,0,15197,1575,47270,2019-11-01T23:36:15+02:00,True,False,False,el,46.25
GiotaPapapetrou,True,3,3,0,1,1.0,2,3,3,1,0.3333,pavlospapadim,1,0.3333,1,0,4692,3427,457363,2021-01-15T01:08:56+02:00,True,False,False,,45.83
MenoEdo,True,22,18,4,7,0.8182,9,18,18,6,0.3333,Aristerotsolis,1,0.0556,1,6,2684,2007,178462,2021-03-28T11:42:30+03:00,True,False,False,el,45.44
KosmidisStathis,True,1,1,0,0,1.0,0,1,1,0,0.0,Johnnyhoston_2,1,1.0,0,0,9688,5717,81657,2014-10-29T18:47:30+02:00,True,False,False,el,45.0
QuercusLg,True,1,1,0,0,1.0,0,1,1,0,0.0,giorgoschris2,1,1.0,0,0,1072,1190,141997,2022-07-18T12:10:29+03:00,True,False,False,el,45.0
TsigkaEfi,True,1,1,0,0,1.0,0,1,1,0,0.0,Johnnyhoston_2,1,1.0,0,0,1013,568,25882,2022-09-10T15:11:44+03:00,True,False,False,,45.0
evangelia_re,True,1,1,0,0,1.0,0,1,1,0,0.0,gverikks,1,1.0,0,0,5606,4618,15197,2009-09-25T12:19:48+03:00,True,False,False,el,45.0
kostasp194,True,1,1,0,0,1.0,0,1,1,0,0.0,Mirsini1946041,1,1.0,0,0,3521,4118,47786,2016-12-05T11:36:31+02:00,True,False,False,,45.0
loudovikos14os,True,1,1,0,0,1.0,0,1,1,0,0.0,FootyHumour,1,1.0,0,0,447,343,22227,2015-06-30T19:46:57+03:00,True,False,False,el,45.0
tasoskar11,True,1,1,0,0,1.0,0,1,1,0,0.0,AdonisGeorgiadi,1,1.0,0,0,221,313,2636,2011-01-25T13:59:27+02:00,False,False,False,qst,45.0
