original_tweet_id,original_author_handle,original_created_at,retweet_count,unique_retweeter_count,first_retweeter,first_retweet_at,last_retweet_at,span_minutes,retweets_within_15m,retweets_within_60m,hashtags,mentions,retweeters,sample_text
2044260292184424541,Stainlessid,2026-04-15T03:43:28+00:00,1,1,RockRock222555,2026-04-15T20:48:11+00:00,2026-04-15T20:48:11+00:00,0,1,1,,,RockRock222555,"Καταλαβαίνουμε γιατί ο Πούτιν γράφει στα παπάρια του την ""Μ. Βρεττανία"" Σου λέει δεν μπορούν να σταματήσουν κάτι κωλοβαρκες που έρχονται λαθρομετανάστες,όταν φτάσουν βιάζουν τις Βρετανίδες στην μέση του δρόμου μέρα μεσημέρι και μετά ένας ανεκδιηγητος πρωθυπουργός τους αθωώνει."
2044198212190232713,Niw451,2026-04-14T23:36:47+00:00,1,1,Xeniaxe19580370,2026-04-15T20:48:31+00:00,2026-04-15T20:48:31+00:00,0,1,1,,,Xeniaxe19580370,🇺🇸Donald Trump:  “Creo que el islam nos odia.”  “Hay 'un tremendo odio' y que es muy difícil separar el 'islam radical' de la religión en sí.”  EL QUE NIEGUE ESTO MIENTE O ESTÁ CIEGO. https://t.co/GSCeX2Wdoy
2044381650973265999,csynnefo,2026-04-15T11:45:43+00:00,1,1,paliakaravana59,2026-04-15T20:49:07+00:00,2026-04-15T20:49:07+00:00,0,1,1,,,paliakaravana59,"Παραιτήθηκα μετά από 3 χρόνια εγκλωβισμού σε πολύ τοξικό κακό εργασιακό περιβάλλον.  Τα έχω λίγο χαμένα, προσπαθώ να χαρώ, δεν θέλω να πιστέψω πως ο φυλακισμένος κάποια στιγμή « αγαπάει» το κελί του. Φτου ξελευτερια στους δρόμους που έρχονται."
2044410881413365810,FoniLogikis_A_L,2026-04-15T13:41:52+00:00,1,1,IK25818385,2026-04-15T20:49:20+00:00,2026-04-15T20:49:20+00:00,0,1,1,λατινοπουλου,,IK25818385,Α. #Λατινοπούλου: “Να απελευθερωθούν άμεσα οι Έλληνες που άνοιξαν την ελληνική σημαία στην Αγία Σοφία”  https://t.co/JQhVXMhZur
2044505720255557976,ellada24,2026-04-15T19:58:43+00:00,1,1,46spiros,2026-04-15T20:49:31+00:00,2026-04-15T20:49:31+00:00,0,1,1,,,46spiros,Η Τεχεράνη πρότεινε να περνούν ανεμπόδιστα τα πλοία από το Ορμούζ από την πλευρά του Ομάν https://t.co/FjwOyD5kAv https://t.co/aeafoffOPw
2044514614407274967,Veltsi_Legacy,2026-04-15T20:34:03+00:00,1,1,hatz_patty,2026-04-15T20:49:36+00:00,2026-04-15T20:49:36+00:00,0,1,1,,,hatz_patty,Πιο χαζός νευροχειρουργός και από τον dr Ντρέικ Ραμόρε
2044151441892487202,amyjohsonwh,2026-04-14T20:30:56+00:00,1,1,paliakaravana59,2026-04-15T20:49:50+00:00,2026-04-15T20:49:50+00:00,0,1,1,,,paliakaravana59,"This guy brutally murdered Iryna Zarutska on the subway in a completely random, vicious attack and he already had a long criminal record.  She was just living her life. He took it from her.  Should he get the death penalty?  A. YES B. NO https://t.co/bI9nuBKfgL"
2043785583634596132,tpusafaith,2026-04-13T20:17:09+00:00,1,1,johnblandos,2026-04-15T20:50:19+00:00,2026-04-15T20:50:19+00:00,0,1,1,,stevedeaceshow,johnblandos,“When do you know if the science is wrong or right?” @SteveDeaceShow https://t.co/NbgQXmKoZS
2044490945698119811,HungaryBased,2026-04-15T19:00:00+00:00,1,1,Xeniaxe19580370,2026-04-15T20:50:48+00:00,2026-04-15T20:50:48+00:00,0,1,1,,,Xeniaxe19580370,"🇭🇺 HUGE! Magyar Péter REJECTS the EU Migration Pact:  ""Hungary will not accept any pact. In fact, I'm going to reinforce the border fence even more.""  Ursula's European Union cheered for nothing! https://t.co/qndVbTRkIf"
2044444973215486056,tadeefi2603,2026-04-15T15:57:20+00:00,1,1,G4Heron,2026-04-15T20:50:53+00:00,2026-04-15T20:50:53+00:00,0,1,1,,,G4Heron,Είμαι αυτή που δίνω καταπληκτικές συμβουλές κ στη δική μου ζωή τα κάνω όλα σκ@τ@
2044508987547144369,DvsDvs60195368,2026-04-15T20:11:42+00:00,1,1,Fotinh5,2026-04-15T20:51:19+00:00,2026-04-15T20:51:19+00:00,0,1,1,,,Fotinh5,Γκομενοδιορισμοι... https://t.co/48u0kpMupf
2044482304970535013,aekbcgr,2026-04-15T18:25:40+00:00,1,1,aekzurich21,2026-04-15T20:51:25+00:00,2026-04-15T20:51:25+00:00,0,1,1,aekbc|basketballcl,,aekzurich21,Η ΑΕΚΑΡΑ ΣΤΟ FINAL-4 ΤΟΥ BCL ΞΑΝΑ! 🟡⚫️  #aekbc #basketballcl https://t.co/VzZFaG0P0A
2044193400228889004,isaacrrr7,2026-04-14T23:17:40+00:00,1,1,RockRock222555,2026-04-15T20:51:52+00:00,2026-04-15T20:51:52+00:00,0,1,1,,,RockRock222555,"Terroristas de Hamás se presentan a trabajar en la ONU con fusiles en mano.  Luego, cambian sus AK-47 por chalecos azules de la UNRWA, suben a vehículos con la insignia de la ONU y comienzan sus jornadas laborales como empleados de la UNRWA. https://t.co/SKoeppwhGN"
2044486042342838330,Periklakkos,2026-04-15T18:40:31+00:00,1,1,K_Sav215,2026-04-15T20:51:57+00:00,2026-04-15T20:51:57+00:00,0,1,1,aekbc,,K_Sav215,#aekbc Το Ελληνικό μπάσκετ δεν έχει αναγνωρίσει την αξια σου ρε γερο https://t.co/8W6N9d2rcx
2044479879769407519,panta_tif,2026-04-15T18:16:02+00:00,1,1,46spiros,2026-04-15T20:52:15+00:00,2026-04-15T20:52:15+00:00,0,1,1,,,46spiros,Και η ΝΔ το ίδιο 🫶🏻
2044253159514906811,andreas_nigbur,2026-04-15T03:15:08+00:00,1,1,Anthology2026,2026-04-15T20:52:20+00:00,2026-04-15T20:52:20+00:00,0,1,1,,,Anthology2026,"The Oil Lie  Oil isn’t rare, it’s also not made from dead dinosaurs. It’s the 2nd most common liquid after water and is the Earth’s lifeblood. The scarcity myth was a Rockefeller lie to dramatically increase the oil price.  The system tells you that oil is liquefied dinosaurs (biotic theory) so you believe it's scarce and pay whatever they want. Lie. Oil is abiotic-a liquid mineral generated by the Earth's own engine through high-pressure and high-temperature processes in the mantle. It is the lubricant for tectonic plates. Depleted wells from the 70s have been found to be fuller today than before.  Why? Because the Earth's system pumps it from the subsoil. It doesn't run out; it regenerates. By extracting it on a massive scale, we are drying out the Earth's gears. This is why there are more earthquakes and creaking faults: we are stripping the oil from the engine.  The fossil theory (coined by the Rockefellers and the Smithsonian in the late 19th century) is the greatest economic hack in history. If oil came from organic matter, it would have a biological signature (nitrogen, phosphorus, etc.) that would degrade. Crude oil is pure polymeric hydrocarbon.  The Thomas Gold Thesis This expert (whom the system tried to discredit) proved that methane and oil rise from the depths of the mantle. Hydrocarbons are primordial constituents of the Earth's formation. By calling it fossil, they tell you it's a resource that's running out. If Humanity knew that oil is like tap water for the Earth, the geopolitics of the parasites would go down the drain in a single day."
2044458566564675772,WHLeavitt,2026-04-15T16:51:21+00:00,1,1,paliakaravana59,2026-04-15T20:52:27+00:00,2026-04-15T20:52:27+00:00,0,1,1,,,paliakaravana59,“Italian bus driver to niqab-wearing woman: ‘Uncover your face or get off.’  Driver: Can’t board like that 😳  Woman: It’s my religion  Driver: Rules are rules ⚡  He drove off.   Amid Georgia Meloni’s push for stricter burqa/niqab bans.”  Deport all Muslims?  A. Yes B. No. https://t.co/tmvYPT0RkV
2044374281669238933,MarketNewsgr,2026-04-15T11:16:26+00:00,1,1,K_Sav215,2026-04-15T20:52:54+00:00,2026-04-15T20:52:54+00:00,0,1,1,πορτοσαλτε|μυλωνακησ|υγεια|πολιτικη|επικαιροτητα|πιεση,,K_Sav215,Α. Πορτοσάλτε για Μυλωνάκη: «Ήταν πιεσμένος με το δημοσίευμα που τον ενέπλεξε σε ιστορία που διέψευσε»  #πορτοσαλτε #μυλωνακης #υγεια #πολιτικη #επικαιροτητα #πιεση https://t.co/THKz1cnfdo
2044324851427750139,MbarkCherguia,2026-04-15T08:00:00+00:00,1,1,paliakaravana59,2026-04-15T20:53:27+00:00,2026-04-15T20:53:27+00:00,0,1,1,,,paliakaravana59,Do drivers have the right to plow through protesters when roads are blocked and their cars are being attacked?   https://t.co/noX5U6VcrA
2044406551092326728,Veltsi_Legacy,2026-04-15T13:24:39+00:00,1,1,hatz_patty,2026-04-15T20:53:50+00:00,2026-04-15T20:53:50+00:00,0,1,1,,,hatz_patty,Χάιζεμπεργκ από τα πανέρια https://t.co/UJmdyL9Sfd
2044444055556309374,hellaspecial,2026-04-15T15:53:41+00:00,1,1,chrysib11,2026-04-15T20:54:32+00:00,2026-04-15T20:54:32+00:00,0,1,1,,,chrysib11,"Βέβαια, τα ιδιωτικά χρέη στα φάντς τα έδωσε ο Συριζα …"
2044079476414288098,EFischberger,2026-04-14T15:44:58+00:00,1,1,chrysib11,2026-04-15T20:56:24+00:00,2026-04-15T20:56:24+00:00,0,1,1,,,chrysib11,"Here's how Muslim-majority countries treat their Christian populations:  🇸🇴 SOMALIA No churches exist. Converts from Islam face death. Al-Shabaab is committed to eradicating Christianity entirely.  🇾🇪 YEMEN Christians can be imprisoned, tortured, or killed. Possessing a Bible in Houthi-controlled areas is dangerous. No legal protection for Christians exists.  🇸🇩 SUDAN Over 100 churches have been damaged or destroyed. Christians have been abducted and killed. Islamist extremists operate with impunity.  🇸🇾 SYRIA Now largely controlled by HTS - an Islamic extremist group with roots in Al-Qaeda. Christian population has collapsed from 1.5 million to 300,000.  🇳🇬 NIGERIA More Christians are killed for their faith in Nigeria than anywhere else in the world. Boko Haram, ISWAP, and Fulani militias operate freely. The government has largely failed to prosecute perpetrators.  🇵🇰 PAKISTAN 🔸 Christians are 1.8% of the population but absorb ~25% of blasphemy accusations - which carry a death sentence.  🔸 Mob lynchings of accused Christians are common. Entire Christian neighborhoods have been torched.  🔸 Christian girls are kidnapped, forcibly converted, and married off. Courts often back the perpetrators.  🇱🇾 LIBYA No functioning government to protect Christians. Foreign Christians are kidnapped and killed by Islamist groups. No legal protections exist.  🇮🇷 IRAN 🔸 96 Christians sentenced to 263 years in prison in 2024 alone - a sixfold increase year-over-year.  🔸 House churches are raided. Converts are charged with espionage and ""enmity against God.""  🔸 Apostasy is punishable by death. Government's stated goal: eradicate the Persian-speaking Church.  🇦🇫 AFGHANISTAN Christians face death if discovered. No public Christian communities exist. The Taliban is actively working to erase any Christian presence.  🇸🇦 SAUDI ARABIA 🔸 No churches allowed. No public Christian worship of any kind.  🔸 Apostasy and proselytizing are capital offenses under Sharia law.  🔸 Bibles are confiscated. Even private worship by expatriates can result in arrest and deportation.  🇲🇱 MALI / 🇧🇫 BURKINA FASO Pastors executed, churches burned, villages massacred. Governments have lost control of large swaths of territory to jihadist groups including Boko Haram and JNIM.  🇮🇶 IRAQ The Christian population has collapsed from 1.2 million in 2011 to just 120,000 in 2024 - driven by ISIS genocide. Christians are described as ""close to extinction.""  🇩🇿 ALGERIA All 47 Protestant evangelical churches in the country have been shut down. Converting Muslims is a criminal offense.  🇲🇷 MAURITANIA Apostasy is punishable by death. No churches exist for Mauritanian citizens.  🇲🇦 MOROCCO No public Christian worship permitted. Converting from Islam can result in prosecution. Foreign missionaries are expelled.  🇶🇦 QATAR 🔸 Apostasy: death penalty under Sharia law.  🔸 Proselytizing a Muslim: up to 5 years in prison.  🔸 Bringing Christian materials into the country: up to 2 years in prison.  🇹🇷 TURKEY 🔸 200+ Christian workers expelled since 2020, labeled ""national security threats.""  🔸 No legal training of clergy permitted. The historic Halki Seminary remains closed.  🔸 Christian population has collapsed from 20% to 0.2% over the past century."
2044463897193943201,SpotifyMexico,2026-04-15T17:12:32+00:00,1,1,madonnamaniac,2026-04-15T20:56:54+00:00,2026-04-15T20:56:54+00:00,0,1,1,,,madonnamaniac,"Después de varios años del último álbum de estudio de Madonna, hoy nos revela la fecha de lanzamiento de “Confessions On A Dance Floor: Part II” para el 3 de julio y, claro, ya se puede preguardar aquí: https://t.co/e0Rg0BcTm8"
2044516575982604389,OknewsGr,2026-04-15T20:41:51+00:00,1,1,K_Sav215,2026-04-15T20:57:03+00:00,2026-04-15T20:57:03+00:00,0,1,1,oknewsgr|αδωνισγεωργιαδησ|γιωργοσμυλωνακησ|οπεκεπε,,K_Sav215,"Άδωνις Γεωργιάδης: Ο Γιώργος Μυλωνάκης θα τα καταφέρει - H Πόπη Παπανδρέου έφερε τις δικογραφίες του ΟΠΕΚΕΠΕ ως ""εκβιασμό"" για ανανέωση της θητείας της - #OkNewsGr #ΆδωνιςΓεωργιάδης #ΓιώργοςΜυλωνάκης #ΟΠΕΚΕΠΕ https://t.co/WervxVzEtu"
2044515124124205535,K_Sav215,2026-04-15T20:36:05+00:00,1,1,chrysib11,2026-04-15T20:57:03+00:00,2026-04-15T20:57:03+00:00,0,1,1,,,chrysib11,❗Γεωργιάδης: Η ευρωπαία εισαγγελέας Πόπη Παπανδρέου έφερε τις δικογραφίες για τον ΟΠΕΚΕΠΕ για να εκβιάσει ανανέωση της θητείας της https://t.co/Ew61fMryPv
2044446182814916661,Recylopse,2026-04-15T16:02:08+00:00,1,1,madonnamaniac,2026-04-15T20:57:13+00:00,2026-04-15T20:57:13+00:00,0,1,1,,capitalofficial,madonnamaniac,Capital FM promoting Madonna’s comeback. We need mass playing and hopefully an interview/Summertime Ball appearance. @CapitalOfficial 🪩🙏 https://t.co/VPld8Ir0gf
2044475847655231995,iHeartRadio,2026-04-15T18:00:01+00:00,1,1,madonnamaniac,2026-04-15T20:57:31+00:00,2026-04-15T20:57:31+00:00,0,1,1,,,madonnamaniac,New Madonna album is coming! ❤️‍🔥  https://t.co/ta67v1a40h
2044361736136819059,MOSSADil,2026-04-15T10:26:34+00:00,1,1,nickthegreek5,2026-04-15T20:57:39+00:00,2026-04-15T20:57:39+00:00,0,1,1,,,nickthegreek5,"Turkish President Erdogan responds to reactions from Israeli politicians against him on social media:  ""I once again remind the baby killers who insult me and our country on social media. Turkey is not an ordinary country. No power in the world can preach morality to Turkey or to the president of Turkey.""  Any ethnic minorities in the region want to comment here?"
2044409628893528240,Cd_Julian_,2026-04-15T13:36:53+00:00,1,1,paliakaravana59,2026-04-15T20:57:44+00:00,2026-04-15T20:57:44+00:00,0,1,1,,,paliakaravana59,"Mi esposo fue un profesor de primaria amado por todos durante 40 años. Cuando murió, sus antiguos alumnos (ahora empresarios exitosos) hicieron una colecta de $50,000 para que yo, su viuda, pudiera vivir tranquila. Mi hijo, que nunca terminó la universidad y siempre despreció el trabajo de su padre, me convenció de 'invertir' ese dinero en su nueva empresa de criptomonedas. Hoy descubrí que se gastó todo en un apartamento para él y su novia, y me inscribió en una lista de espera para un asilo público.  No lloré. Fui al banco y recuperé el acceso a la cuenta de ahorros de mi esposo que mi hijo no conocía. He usado ese dinero para contratar al mejor abogado y demandar a mi hijo por abuso financiero a personas mayores. Mañana, la policía irá a su nuevo apartamento a desalojarlo porque el dinero de la 'inversión' fue rastreado como fraude. Mi hijo me ruega que retire la denuncia porque irá a la cárcel.  ¿Soy una mala madre por preferir que mi hijo aprenda la lección en prisión antes que dejar que me eche de mi propia vida?"
2044012249812005010,georgemilon,2026-04-14T11:17:50+00:00,1,1,MasenkaMm230158,2026-04-15T20:58:08+00:00,2026-04-15T20:58:08+00:00,0,1,1,,,MasenkaMm230158,"Από την πρώτη στιγμή που, άγνωστοι σε εμένα, προσπάθησαν να με εμπλέξουν σε αυτή τη σκοτεινή υπόθεση που ταλανίζει την πολιτική ζωή της Κύπρου, απευθύνθηκα αμέσως στην Ελληνική δικαιοσύνη προκειμένου να εντοπιστούν οι δράστες που με ψευδείς και συκοφαντικούς ισχυρισμούς και με κατασκευασμένα, δήθεν στοιχεία, επιχείρησαν να με συνδέσουν με την υπόθεση αυτή.   Οι όποιες αναφορές στο πρόσωπό μου,  στηρίζονται σε εμφανώς κατασκευασμένο υλικό το οποίο χωρίς καμία επιφύλαξη δημοσίευσε ο δημοσιογράφος και πλέον υποψήφιος με το κόμμα Volt Cyprus, κ. Μακάριος Δρουσιώτης.   Πριν από  τρεις ημέρες, δημοσίευσε βιντεοσκοπημένη συνομιλία ενός Κύπριου άνδρα που -κάνοντας προφανώς χρήση πολύ εξελιγμένων τεχνολογικών μεθόδων- εμφανίζεται να μπορεί να χρησιμοποιεί τον αριθμό τηλεφώνου μου, ενώ είναι ξεκάθαρο, από τη φωνή και μόνο, ότι το πρόσωπο που συνομιλεί δεν είμαι εγώ.   Στη νέα αυτή ανάρτηση, όταν το πρώτο ψέμα κατέρρευσε, αναφέρει ότι ο ομιλών πράγματι δεν είμαι εγώ, αλλά δήθεν κάποιο μέλος της προσωπικής μου ασφάλειας, γεγονός που επίσης είναι απολύτως ψευδές.   Μια απλή ηχητική σύγκριση της φωνής που ακούγεται με τη δική μου, αλλά και το αλλόκοτο περιεχόμενο της δήθεν συνομιλίας μου, αποκαλύπτουν την πρωτοφανή σκευωρία σε βάρος μου.  Πρόκειται για ένα από τα  στοιχεία που κατέθεσα ενώπιον των αρμοδίων εισαγγελικών αρχών μαζί με τη μηνυτήρια αναφορά μου κατά παντός υπευθύνου, προκειμένου να ερευνηθεί ποια σκοτεινά κέντρα κατασκεύασαν και εκτέλεσαν αυτή τη δολοφονία χαρακτήρα σε βάρος μου, τι παιχνίδια παίζονται και ποιους εξυπηρετούν.  Όποιος ακούσει τη δήθεν συνομιλία μου, αντιλαμβάνεται με το πρώτο άκουσμα την Κυπριακή προφορά του ανθρώπου που επιχειρεί να με υποδυθεί και γίνεται ξεκάθαρο ότι δεν είμαι εγώ. Οπως, επίσης, δεν είναι και δεν θα μπορούσε να είναι κανένα μέλος που δήθεν υπηρέτησε στην ασφάλεια μου, καθώς ουδέποτε συμμετείχε μέλος Κυπριακής καταγωγής.   Συνεπώς, χωρίς καμία αμφιβολία, το πρόσωπο που ακούγεται να με υποδύεται δεν είμαι εγώ και ουδεμία σχέση έχει μαζί μου.  Σε αυτή την εκστρατεία λάσπης σε βάρος μου, το ένα ψέμα, διαδέχεται, λοιπόν, το άλλο, αλλά έρχεται η αλήθεια πλέον να αποκαλυφθεί από τους ίδιους τους παρανομούντες που έδωσαν στη δημοσιότητα το εν λόγω βιντεοσκοπημένο ηχητικό το οποίο έχω ήδη θέσει υπόψη της Δικαιοσύνης από την οποία αναμένω να αναζητήσει και να βρει τους φυσικούς και ηθικούς αυτουργούς αυτής της τόσο νοσηρής κατασκευής που στόχο προφανώς δεν έχει μόνο εμένα, αλλά επιχειρεί εκ της θεσμικής ιδιότητάς μου να πλήξει και την Ελληνική κυβέρνηση.   Όταν ενημερώθηκα για την πρώτη ανάρτηση του κ. Δρουσιωτη  άμεσα του έστειλα γραπτό μήνυμα και επικοινώνησα μαζί του και τηλεφωνικά, εξηγώντας του ότι ουδεμία σχέση έχω με την υπόθεση, καθώς δεν γνωρίζω κανένα από τα πρόσωπα που περιγράφονται στην ανάρτησή του, ενώ αγνοούσα και αγνοώ την ύπαρξη περίεργων και μη «αδελφοτήτων».  Θεώρησα ότι μετά την επικοινωνία που είχα μαζί του θα ανασκεύαζε.  Όμως, όχι μόνο δεν ανασκεύασε, αλλά όταν το πρώτο ψέμα κατέρρευσε, επανήλθε με νέα ψέματα, τα οποία αναδημοσιεύτηκαν και στην Ελλάδα.  Για τον λόγο αυτό θα κινηθώ νομικά εναντίον τόσο του ίδιου όσο και εκείνων που επιχειρούν να θίξουν την τιμή και την υπόληψη μου, αναπαράγοντας τα κατασκευασμένα, αρρωστημένα και χυδαία ψεύδη του."
