account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,default_profile,default_profile_image,is_blue_verified,coordination_score,analyst_label
kostasp194,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,3521,4118,47786,1,0,0,45.0,
loudovikos14os,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,447,343,22227,1,0,0,45.0,
tasoskar11,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,221,313,2636,0,0,0,45.0,
MKioulafa,8,7,1,3,0.875,4,7,5,3,0.4286,2,0.2857,0,5,3280,4968,189210,1,0,0,44.91,
michael_exc,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,0,1,729,2077,11239,0,0,0,42.5,
EthanAnargyrous,2,2,0,0,1.0,2,2,2,0,0.0,1,0.5,0,0,1169,962,40139,1,0,0,42.5,
aekzurich21,2,2,0,0,1.0,2,2,2,0,0.0,1,0.5,2,0,263,846,16614,1,0,0,42.5,
themagus2022,2,2,0,0,1.0,2,2,2,0,0.0,1,0.5,0,0,242,482,17024,1,1,0,42.5,
HouseElisabeth_,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,2,0,488,1041,6145,0,0,0,42.08,
margko73,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,0,0,6166,1829,56266,0,0,0,42.08,
MariaKagia4603,4,4,0,1,1.0,3,4,4,0,0.0,1,0.25,1,0,120,339,3141,1,0,0,41.25,
chkls,2,2,0,1,1.0,1,2,2,0,0.0,1,0.5,0,0,1579,756,78080,1,0,0,41.25,
K_Sav215,15,12,3,1,0.8,9,12,9,0,0.0,2,0.1667,25,15,1149,1129,77849,1,1,0,40.92,
ArisBJJ,9,7,2,3,0.7778,5,7,6,2,0.2857,2,0.2857,0,2,3224,1346,16278,0,0,1,40.62,
greek_paris_13,7,6,1,5,0.8571,5,6,6,1,0.1667,1,0.1667,2,0,6880,2864,147397,0,0,0,40.42,
klikr,6,5,1,1,0.8333,5,5,5,1,0.2,1,0.2,1,3,1098,1189,44612,0,0,0,40.42,
AnAthenianToLDN,7,5,2,3,0.7143,4,5,5,2,0.4,1,0.2,1,0,22206,2364,229235,0,0,0,38.0,
g_m_theo,3,1,2,1,0.3333,0,1,1,1,1.0,1,1.0,0,1,6346,5665,60021,1,0,0,36.67,
JSweetGR,6,5,1,2,0.8333,1,5,5,1,0.2,1,0.2,0,2,3253,2123,70935,0,0,1,35.42,
amantomatimou,4,3,1,0,0.75,3,3,3,0,0.0,1,0.3333,0,0,5606,557,82646,0,0,0,33.33,
Mrpresidentgr,4,3,1,2,0.75,2,3,3,0,0.0,1,0.3333,2,1,3817,2976,54071,1,0,1,32.08,
KyrPantelis3,3,2,1,1,0.6667,2,2,2,0,0.0,1,0.5,0,0,394,2408,15084,1,0,0,30.83,
MariaKoki3,3,2,1,1,0.6667,2,2,2,0,0.0,1,0.5,0,0,1401,753,123802,1,0,0,30.83,
frel_elias,3,2,1,2,0.6667,2,2,2,0,0.0,1,0.5,4,0,1142,1676,57594,1,0,1,30.83,
jparthen,3,2,1,2,0.6667,2,2,2,0,0.0,1,0.5,0,0,552,475,46522,0,0,0,30.83,
