account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,cohort_count,cohort_max_size,cohort_max_cascade_count,role_retail_user,role_amplifier_suspect,role_media_business,role_journalist_public_figure,role_source_hub,first_retweeter_ratio,propagation_lead_count,coordination_score,analyst_label
ABCHeckles,48,48,0,8,1.0,37,48,34,22,0.4583,5,0.1042,3,6,5959,4330,205553,4904,1,0,0,135,33,112,6,28,13,1,64,217,0,1,0,0,0,0.01,37,82.92,
economi94461498,44,44,0,1,1.0,23,44,36,17,0.3864,4,0.0909,10,40,1356,332,226062,2319,1,0,0,135,24,88,7,7,12,1,64,217,0,1,0,0,0,0.0062,23,81.71,
46spiros,225,225,0,37,1.0,109,225,128,89,0.3956,9,0.04,91,84,1117,384,262341,4746,1,0,0,135,83,591,44,232,45,1,64,217,0,1,0,0,0,0.0296,109,81.33,
chrysib11,151,151,0,27,1.0,63,151,106,53,0.351,7,0.0464,19,53,3815,5569,465330,4446,1,0,0,135,68,407,49,183,27,1,64,217,0,1,0,0,0,0.0171,63,80.73,
Catps66,51,51,0,5,1.0,26,51,34,16,0.3137,4,0.0784,12,9,1057,2643,32131,1516,1,0,0,135,34,119,5,36,10,1,64,217,0,1,0,0,0,0.0071,26,80.49,
angie22gr,54,54,0,16,1.0,30,54,36,16,0.2963,5,0.0926,20,14,24467,15656,509036,5088,0,0,0,135,28,103,4,14,13,1,64,217,0,1,0,0,0,0.0081,30,80.37,
MasenkaMm230158,60,60,0,15,1.0,27,60,36,16,0.2667,7,0.1167,5,3,603,393,32886,1854,1,0,0,135,30,97,7,36,9,1,64,217,0,1,0,0,0,0.0073,27,80.17,
Myrtilo01,83,83,0,1,1.0,39,83,45,22,0.2651,8,0.0964,24,25,308,339,19855,5417,0,0,0,135,42,186,22,58,15,1,64,217,0,0,1,0,0,0.0106,39,79.94,
Loxagos_Mark,70,70,0,7,1.0,38,70,53,18,0.2571,4,0.0571,21,15,7007,7425,302021,4811,1,0,1,135,34,126,5,35,12,1,64,217,0,0,1,0,0,0.0103,38,79.43,
fifi_apostolou,62,62,0,16,1.0,53,62,42,14,0.2258,6,0.0968,38,13,5238,3895,618458,4740,0,0,0,135,7,23,7,14,7,1,64,217,0,1,0,0,0,0.0144,53,79.36,
PitSpencer,54,54,0,14,1.0,29,54,49,11,0.2037,3,0.0556,14,8,972,2005,51422,1198,1,0,0,135,32,111,3,14,12,1,41,4,0,1,0,0,0,0.0079,29,78.61,
galex1908,96,96,0,1,1.0,72,96,63,17,0.1771,8,0.0833,23,14,16210,17333,593219,4959,0,0,0,135,35,147,14,50,12,1,64,217,0,1,0,0,0,0.0195,72,78.49,
fanis_rc,46,46,0,2,1.0,38,46,38,8,0.1739,4,0.087,6,7,2027,7293,286071,1153,1,0,0,135,12,32,5,15,5,1,64,217,0,1,0,0,0,0.0103,38,78.48,
dinoskonstantin,100,100,0,12,1.0,79,100,71,12,0.12,8,0.08,24,10,2773,5004,79346,4571,0,0,0,135,17,54,0,6,6,1,41,4,0,1,0,0,0,0.0214,79,77.6,
NikosVsdl8,44,44,0,21,1.0,38,44,38,6,0.1364,2,0.0455,5,18,497,1413,39082,507,1,0,0,135,4,9,0,3,3,0,0,0,0,1,0,0,0,0.0103,38,77.5,
Aaagiiisss,35,35,0,10,1.0,20,35,27,3,0.0857,4,0.1143,8,2,716,1391,49611,3206,1,0,0,135,12,36,1,12,8,1,64,217,0,1,0,0,0,0.0054,20,77.43,
paliakaravana59,128,128,0,3,1.0,105,128,101,17,0.1328,5,0.0391,14,32,1704,203,342598,2320,1,0,0,135,20,82,7,32,14,1,64,217,0,1,0,0,0,0.0285,105,77.38,
xeniakan21,41,41,0,6,1.0,16,41,34,17,0.4146,3,0.0732,14,5,2676,2328,149266,5069,0,0,0,135,23,88,2,16,10,1,41,4,0,1,0,0,0,0.0043,16,76.95,
madonnamaniac,45,45,0,1,1.0,45,45,34,0,0.0,6,0.1333,14,20,3209,851,88545,5636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0122,45,76.33,
michael_exc,21,21,0,0,1.0,21,21,19,0,0.0,2,0.0952,3,1,728,2078,11329,4560,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0057,21,75.95,
zneraida,15,15,0,3,1.0,11,15,13,9,0.6,2,0.1333,11,5,4325,468,144868,3925,1,0,0,135,6,16,1,6,4,1,64,217,0,1,0,0,0,0.003,11,74.08,
Xeniaxe19580370,23,23,0,0,1.0,17,23,21,0,0.0,2,0.087,1,1,739,39,16770,1685,1,0,0,135,4,11,1,7,3,1,64,217,0,1,0,0,0,0.0046,17,72.12,
TsigkaEfi,31,31,0,3,1.0,10,31,23,17,0.5484,4,0.129,22,20,1016,570,26318,1319,1,0,0,135,32,104,8,35,13,1,64,217,0,1,0,0,0,0.0027,10,72.02,
kokkoriss,21,21,0,0,1.0,15,21,18,3,0.1429,2,0.0952,4,11,608,2763,33442,5106,1,0,0,135,12,31,2,12,4,1,41,4,0,1,0,0,0,0.0041,15,71.85,
Nogate_T,26,26,0,8,1.0,12,26,19,9,0.3462,4,0.1538,3,6,9035,5399,99006,4086,1,0,0,135,24,85,5,26,7,1,64,217,0,1,0,0,0,0.0033,12,71.73,
margko73,15,15,0,0,1.0,15,15,12,0,0.0,3,0.2,0,2,6178,1832,56339,4955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0041,15,70.75,
Track11John,224,219,5,75,0.9777,143,219,78,124,0.5662,66,0.3014,43,44,899,739,195402,1453,1,0,0,135,35,226,33,111,26,1,64,217,0,0,0,0,0,0.0388,143,70.73,
Valiadistinct,6,6,0,0,1.0,6,6,4,3,0.5,3,0.5,2,0,1216,381,77176,2916,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0016,6,70.0,
Aristerotsolis,5,5,0,0,1.0,4,5,3,3,0.6,3,0.6,3,3,676,1149,6186,117,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0011,4,70.0,
Fay82776914F,17,17,0,4,1.0,10,17,16,7,0.4118,2,0.1176,2,1,1532,1420,49310,3508,1,0,0,135,17,47,4,12,7,1,41,4,0,1,0,0,0,0.0027,10,69.85,
Fotinh5,23,23,0,2,1.0,8,23,17,12,0.5217,4,0.1739,2,8,3806,2947,63186,1643,1,0,0,135,15,53,6,32,7,1,64,217,0,1,0,0,0,0.0022,8,69.56,
LGkvas,29,29,0,0,1.0,8,29,23,14,0.4828,3,0.1034,12,6,972,1364,8122,3340,1,0,0,135,20,65,6,21,15,1,64,217,0,1,0,0,0,0.0022,8,68.28,
teo_ntaleki,15,15,0,3,1.0,12,15,15,2,0.1333,1,0.0667,2,1,702,1671,27498,1093,1,0,0,135,4,8,1,4,2,1,41,4,0,1,0,0,0,0.0033,12,67.67,
angelikitsakani,160,158,2,39,0.9875,58,158,90,76,0.481,8,0.0506,34,30,3171,3857,132214,5212,1,0,0,135,68,496,32,176,34,1,64,217,0,0,0,0,0,0.0157,58,67.28,
NickDanny99,14,14,0,3,1.0,13,14,14,0,0.0,1,0.0714,1,1,1718,1213,17560,4223,0,0,0,135,1,2,0,1,2,0,0,0,0,1,0,0,0,0.0035,13,66.96,
xariszak2,12,12,0,0,1.0,8,12,10,4,0.3333,2,0.1667,1,2,238,309,16319,2357,1,1,0,135,3,6,1,1,2,1,41,4,0,1,0,0,0,0.0022,8,66.67,
hatz_patty,93,89,4,35,0.957,56,89,34,42,0.4719,7,0.0787,7,21,9023,6069,285872,5384,0,0,0,135,42,182,18,84,21,1,64,217,0,0,0,0,0,0.0152,56,66.36,
cavodoro,11,11,0,1,1.0,5,11,10,6,0.5455,2,0.1818,3,3,808,1063,19681,5916,1,0,0,135,7,19,0,2,5,0,0,0,0,1,0,0,0,0.0014,5,66.25,
VIVITV5,7,7,0,0,1.0,5,7,7,4,0.5714,1,0.1429,2,1,2013,4240,25231,2898,1,0,0,135,2,4,0,1,2,0,0,0,0,1,0,0,0,0.0014,5,66.25,
BatorGr,26,26,0,1,1.0,8,26,24,9,0.3462,2,0.0769,14,11,1209,926,70040,1158,1,0,0,135,19,65,4,16,7,1,64,217,0,1,0,0,0,0.0022,8,65.96,
ptableart,13,13,0,1,1.0,8,13,11,3,0.2308,3,0.2308,2,2,362,209,16194,657,1,0,0,135,12,31,3,10,4,1,64,217,0,1,0,0,0,0.0022,8,65.77,
mpantazo,81,79,2,13,0.9753,33,79,60,32,0.4051,4,0.0506,29,29,2476,1357,180363,4334,0,0,0,135,50,241,23,105,18,1,64,217,0,0,0,0,0,0.009,33,65.72,
Tina5996,9,9,0,0,1.0,5,9,9,5,0.5556,1,0.1111,1,1,160,186,12137,1397,1,0,0,135,4,11,0,1,4,0,0,0,0,1,0,0,0,0.0014,5,65.69,
sinakatsarou,115,110,5,25,0.9565,55,110,76,48,0.4364,5,0.0455,14,35,7729,1976,215155,2673,1,0,0,135,44,233,24,99,23,1,64,217,0,0,0,0,0,0.0149,55,65.48,
L6sVita,8,8,0,0,1.0,4,8,6,4,0.5,2,0.25,2,1,768,917,28774,3993,0,0,0,135,8,18,0,1,3,0,0,0,0,1,0,0,0,0.0011,4,65.0,
Mirsini1946041,65,62,3,13,0.9538,41,62,38,22,0.3548,7,0.1129,13,14,4998,2858,189476,906,1,0,0,135,17,90,14,42,12,1,64,217,1,0,0,0,0,0.0111,41,64.83,
Anastasia7882,15,15,0,2,1.0,10,15,13,1,0.0667,2,0.1333,4,2,861,871,48939,1301,1,0,0,135,7,17,1,2,4,1,41,4,0,1,0,0,0,0.0027,10,64.83,
giannMak,87,83,4,10,0.954,30,83,60,32,0.3855,4,0.0482,29,20,6828,6711,174562,4084,0,0,0,135,42,237,21,95,26,1,64,217,0,0,0,0,0,0.0081,30,64.65,
nickthegreek5,285,281,4,18,0.986,88,281,150,87,0.3096,11,0.0391,52,78,6419,2511,386413,5468,0,0,0,135,99,838,69,303,45,1,64,217,0,0,1,0,0,0.0239,88,64.55,
MariaDecokeke,98,97,1,22,0.9898,42,97,53,25,0.2577,7,0.0722,15,17,6650,3297,294247,4035,1,0,0,135,55,256,26,121,18,1,64,217,0,0,1,0,0,0.0114,42,64.23,
DonConsclavios,64,62,2,13,0.9688,41,62,24,15,0.2419,8,0.129,36,41,308,827,6762,1023,1,0,1,135,24,85,10,36,7,1,64,217,1,0,0,0,0,0.0111,41,63.83,
Marios59885699,11,11,0,1,1.0,6,11,8,3,0.2727,2,0.1818,3,1,411,420,168844,2346,1,0,0,135,2,4,0,1,2,0,0,0,0,1,0,0,0,0.0016,6,63.41,
lidakis_manos,23,23,0,6,1.0,6,23,21,7,0.3043,3,0.1304,10,5,745,672,29896,1352,1,0,0,135,19,68,2,20,9,1,64,217,0,1,0,0,0,0.0016,6,63.37,
ZafiriaF,20,20,0,2,1.0,7,20,16,4,0.2,3,0.15,0,2,11237,6689,62252,5347,1,0,0,135,12,38,1,5,9,1,41,4,0,0,1,0,0,0.0019,7,63.25,
B2hBk3gFaa2fH4W,7,7,0,0,1.0,7,7,5,0,0.0,3,0.4286,0,5,1639,2412,7139,2277,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0019,7,63.04,
PITT1742510,5,5,0,1,1.0,4,5,5,2,0.4,1,0.2,0,0,82,290,2270,85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0011,4,63.0,
ixnilatis1,9,9,0,0,1.0,8,9,9,1,0.1111,1,0.1111,0,0,443,2043,14301,3445,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0022,8,62.78,
nilsholgerson_,9,9,0,1,1.0,4,9,9,4,0.4444,1,0.1111,1,0,4899,4528,29638,4643,1,0,0,135,4,9,0,6,3,1,41,4,0,1,0,0,0,0.0011,4,62.78,
MenoEdo,121,113,8,25,0.9339,43,113,84,34,0.3009,6,0.0531,18,11,2704,2011,179526,1851,1,0,0,135,56,304,13,77,31,1,64,217,0,0,0,0,0,0.0117,43,62.73,
MKioulafa,81,70,11,23,0.8642,47,70,38,26,0.3714,10,0.1429,27,33,3286,4973,189789,2459,1,0,0,135,30,124,24,73,12,1,64,217,0,0,0,0,0,0.0128,47,62.25,
bananarchyson,10,10,0,1,1.0,9,10,10,0,0.0,1,0.1,0,0,4353,2264,362731,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0024,9,62.25,
GiotaPapapetrou,193,190,3,5,0.9845,179,190,99,18,0.0947,20,0.1053,26,23,4690,3426,457712,1923,1,0,0,135,20,74,11,36,8,1,64,217,1,0,0,0,0,0.0486,179,61.93,
Chaos_kreator,6,6,0,0,1.0,2,6,6,3,0.5,1,0.1667,3,4,680,766,34064,5445,0,0,0,135,8,17,0,5,3,1,41,4,0,1,0,0,0,0.0005,2,61.67,
JimyWis,6,6,0,0,1.0,4,6,6,2,0.3333,1,0.1667,0,2,657,1735,16211,1841,1,0,0,135,3,7,1,3,3,0,0,0,0,1,0,0,0,0.0011,4,61.67,
2Harvard2,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,574,1149,11037,5964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,1,61.25,
AndriotGreg,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,1276,1278,9394,2994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,1,61.25,
ChrisDarko39,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,1,0,3769,3937,15511,5460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,1,61.25,
pOURc3ero9j906K,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,3083,2310,5065,1715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,1,61.25,
johnblandos,73,65,8,6,0.8904,44,65,49,19,0.2923,3,0.0462,14,15,1960,2952,157009,4538,1,0,0,135,35,120,10,46,15,1,64,217,0,0,0,0,0,0.0119,44,61.01,
chkls,10,10,0,4,1.0,7,10,9,0,0.0,2,0.2,2,0,1585,757,78243,5505,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0019,7,60.75,
aekzurich21,8,8,0,0,1.0,6,8,8,1,0.125,1,0.125,5,1,266,850,16693,1033,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0016,6,60.62,
AgelisDimitris,205,181,24,55,0.8829,90,181,90,49,0.2707,11,0.0608,34,40,2180,2288,189826,2189,1,0,0,135,70,429,36,161,44,1,64,217,0,0,0,0,0,0.0244,90,60.57,
CharilaosPapad1,5,5,0,2,1.0,2,5,5,2,0.4,1,0.2,0,0,359,384,12865,1598,1,0,0,135,2,4,1,3,2,1,41,4,0,1,0,0,0,0.0005,2,60.5,
G4Heron,69,64,5,15,0.9275,60,64,49,10,0.1562,4,0.0625,4,9,10245,6921,294882,4059,0,0,0,2,1,3,0,2,3,0,0,0,0,0,1,0,0,0.0163,60,60.43,
thanosvz,6,6,0,1,1.0,3,6,6,2,0.3333,1,0.1667,2,0,2204,3121,38878,5878,0,0,0,135,2,4,0,0,2,0,0,0,0,1,0,0,0,0.0008,3,60.42,
Leniw_Lenia,8,8,0,0,1.0,6,8,7,0,0.0,2,0.25,5,2,544,530,17445,1558,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0016,6,60.0,
Torquem21743459,8,8,0,2,1.0,3,8,7,2,0.25,2,0.25,6,9,527,1418,15780,2863,1,0,0,135,4,8,0,1,2,0,0,0,0,1,0,0,0,0.0008,3,60.0,
NikosMichael6,2,2,0,0,1.0,0,2,1,2,1.0,2,1.0,0,0,28980,4069,50620,1835,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,60.0,
Anna_Moun,1,1,0,1,1.0,0,1,1,1,1.0,1,1.0,0,0,1438,1367,22322,3169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
Daedalus_theG,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,928,893,6379,227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
Perdim1,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,707,869,14563,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
moonshinegr,1,1,0,1,1.0,0,1,1,1,1.0,1,1.0,0,0,546,400,24545,4004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
temporasmores,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,7970,220,58827,6137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,60.0,
zzografo,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,545,523,18719,1144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60.0,
vythos70,146,129,17,5,0.8836,98,129,95,25,0.1938,10,0.0775,26,78,10526,10486,392128,1968,1,0,0,135,30,130,12,48,19,1,64,217,0,0,0,0,0,0.0266,98,59.61,
aggelikiME25,115,110,5,6,0.9565,106,110,84,3,0.0273,7,0.0636,74,11,5557,1944,304493,3659,1,0,0,135,1,2,1,2,2,1,41,4,0,0,0,0,0,0.0288,106,59.52,
knock88082182,6,6,0,1,1.0,4,6,6,1,0.1667,1,0.1667,0,0,498,1143,33700,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0011,4,59.17,
HouseElisabeth_,7,7,0,0,1.0,6,7,7,0,0.0,1,0.1429,3,0,490,1047,6214,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0016,6,58.93,
tasoskar11,9,9,0,1,1.0,0,9,8,4,0.4444,2,0.2222,5,5,226,316,2686,5565,0,0,0,135,18,49,1,13,7,1,41,4,0,1,0,0,0,0.0,0,58.89,
klikr,38,33,5,6,0.8684,21,33,21,1,0.0303,10,0.303,4,11,1105,1194,44762,5408,0,0,0,135,15,57,13,36,8,1,64,217,0,0,0,0,0,0.0057,21,58.88,
MariaKagia4603,7,7,0,1,1.0,4,7,7,1,0.1429,1,0.1429,2,0,122,339,3178,467,1,0,0,135,4,8,3,4,2,1,41,4,0,1,0,0,0,0.0011,4,58.57,
silaserafim,24,23,1,3,0.9583,19,23,23,1,0.0435,1,0.0435,5,4,40749,2207,449471,5653,0,0,0,135,2,5,1,4,3,0,0,0,0,0,1,0,0,0.0052,19,58.38,
ScroogeKifissia,45,40,5,13,0.8889,40,40,30,2,0.05,6,0.15,4,7,22653,21890,55274,1679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0109,40,58.36,
Protostatis,5,5,0,0,1.0,5,5,5,0,0.0,1,0.2,5,1,2264,1316,81145,5314,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0014,5,58.25,
QuercusLg,34,28,6,4,0.8235,24,28,23,5,0.1786,4,0.1429,3,5,1083,1202,142688,1374,1,0,0,2,1,3,0,2,3,0,0,0,1,0,0,0,0,0.0065,24,57.93,
Nikos2501,6,6,0,0,1.0,3,6,6,1,0.1667,1,0.1667,0,0,502,127,33858,1573,1,0,0,135,3,6,0,0,2,0,0,0,0,1,0,0,0,0.0008,3,57.92,
AnnaDiEpifanio1,5,5,0,0,1.0,2,5,5,1,0.2,1,0.2,2,1,532,695,17882,2817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,2,57.5,
loukasspetses13,2,2,0,0,1.0,2,2,2,2,1.0,1,0.5,0,1,177,261,7953,521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,2,57.5,
Ah_riman,29,27,2,11,0.931,14,27,11,8,0.2963,8,0.2963,3,7,9213,8776,98270,3290,0,0,1,135,25,98,9,44,8,1,64,217,0,0,0,0,0,0.0038,14,57.49,
greek_paris_13,34,32,2,15,0.9412,17,32,24,4,0.125,4,0.125,13,8,6908,2864,147737,5301,0,0,0,135,21,56,5,26,5,1,64,217,0,0,0,0,0,0.0046,17,57.32,
TheMadoula,40,37,3,7,0.925,14,37,25,14,0.3784,6,0.1622,15,28,3087,3675,64492,5886,0,0,0,135,41,142,10,42,15,1,64,217,0,0,0,0,0,0.0038,14,57.17,
SenzakiKamo,36,34,2,7,0.9444,14,34,29,12,0.3529,3,0.0882,14,7,549,411,55593,4078,1,0,0,135,26,97,5,27,12,1,64,217,1,0,0,0,0,0.0038,14,56.73,
GeorgiadouL,10,10,0,3,1.0,2,10,8,1,0.1,2,0.2,4,6,4628,3916,104149,4009,0,0,0,135,6,14,1,3,3,1,41,4,0,1,0,0,0,0.0005,2,56.0,
Briassulis,195,140,55,75,0.7179,68,140,72,46,0.3286,11,0.0786,48,81,1819,1175,269735,1924,1,0,0,135,58,316,27,129,26,1,64,217,0,0,0,0,0,0.0185,68,55.84,
RockRock222555,78,57,21,34,0.7308,33,57,41,17,0.2982,4,0.0702,14,14,1737,1852,67503,1861,1,0,0,135,28,126,15,63,15,1,64,217,0,0,0,0,0,0.009,33,55.75,
Anthology2026,115,95,20,11,0.8261,76,95,85,6,0.0632,4,0.0421,10,10,300,2670,431,56,1,0,0,135,14,37,1,9,5,1,41,4,1,0,0,0,0,0.0206,76,55.28,
phtochos1,47,39,8,0,0.8298,36,39,29,1,0.0256,3,0.0769,5,8,11132,9230,145040,1471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,36,55.2,
anasiropiastos,32,27,5,7,0.8438,17,27,10,1,0.037,10,0.3704,12,5,350,291,7722,311,1,0,0,135,10,27,4,19,5,1,64,217,1,0,0,0,0,0.0046,17,55.04,
JtfYiannis,2,2,0,1,1.0,0,2,2,2,1.0,1,0.5,2,0,2386,3359,12399,3676,0,0,0,135,3,6,1,3,2,1,41,4,0,0,0,0,0,0.0,0,55.0,
Kon_Dalaoura,2,2,0,0,1.0,0,2,2,2,1.0,1,0.5,5,0,31,132,1368,703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,55.0,
le1li,20,19,1,1,0.95,14,19,18,4,0.2105,2,0.1053,15,8,756,932,6325,5306,0,0,0,135,1,2,0,1,2,0,0,0,0,1,0,0,0,0.0038,14,54.96,
BananaJoeReload,58,48,10,11,0.8276,40,48,42,1,0.0208,3,0.0625,4,8,6531,7380,358423,3198,1,0,0,135,1,2,1,2,2,1,41,4,0,0,0,0,0,0.0109,40,54.9,
ZbejVty,26,20,6,1,0.7692,14,20,14,9,0.45,6,0.3,5,10,4024,4992,151954,1671,1,0,0,135,4,8,1,4,2,1,41,4,0,0,0,0,0,0.0038,14,54.17,
unico11226,23,20,3,2,0.8696,15,20,16,5,0.25,2,0.1,16,3,819,2189,7718,85,1,0,1,135,7,15,2,9,3,1,41,4,1,0,0,0,0,0.0041,15,53.94,
