component_id,node_count,edge_count,density,total_shared_retweets,total_within_15m,total_within_60m,top_accounts
1,135,1103,0.1219,4768,406,1752,nickthegreek5|46spiros|angelikitsakani|AgelisDimitris|chrysib11|Briassulis|MenoEdo|MariaDecokeke|mpantazo|giannMak
2,2,1,1.0,3,0,2,G4Heron|QuercusLg
