account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
K_Sav215,Mirsini1946041,8,0.0523,0,7
K_Sav215,mpantazo,8,0.0471,0,4
K_Sav215,sinakatsarou,8,0.0398,0,2
Loxagos_Mark,MenoEdo,8,0.0457,0,2
Loxagos_Mark,angelikitsakani,8,0.0364,0,4
MariaDecokeke,klikr,8,0.0656,0,8
MenoEdo,PitSpencer,8,0.0503,0,0
MenoEdo,chrysib11,8,0.0312,0,1
NonameTZ,nickthegreek5,8,0.0278,0,3
angie22gr,nickthegreek5,8,0.0245,0,0
angie22gr,sinakatsarou,8,0.0513,0,0
giannMak,hatz_patty,8,0.0488,0,3
MKioulafa,klikr,7,0.0729,7,7
46spiros,ThanosTzimeros,7,0.0288,4,7
46spiros,Fotinh5,7,0.029,2,3
AgelisDimitris,Ah_riman,7,0.0348,2,4
Mirsini1946041,fifi_apostolou,7,0.0598,2,5
galex1908,mpantazo,7,0.0417,2,4
paliakaravana59,vythos70,7,0.028,2,4
46spiros,PitSpencer,7,0.0257,1,2
DonConsclavios,Myrtilo01,7,0.0507,1,3
GiotaPapapetrou,galex1908,7,0.0251,1,6
MariaDecokeke,Myrtilo01,7,0.0405,1,1
MariaDecokeke,mpantazo,7,0.0414,1,1
Nogate_T,nickthegreek5,7,0.0233,1,2
RockRock222555,Track11John,7,0.026,1,7
ThanosTzimeros,nickthegreek5,7,0.0234,1,5
46spiros,Ah_riman,7,0.0286,0,1
46spiros,BatorGr,7,0.0287,0,1
46spiros,TheMadoula,7,0.0275,0,3
46spiros,dkDurcGYTIpZdKl,7,0.0308,0,1
46spiros,economi94461498,7,0.0267,0,0
46spiros,g_m_theo,7,0.0297,0,4
AgelisDimitris,ArisBJJ,7,0.0359,0,1
AgelisDimitris,TheMadoula,7,0.0332,0,1
AgelisDimitris,TsigkaEfi,7,0.0341,0,1
AgelisDimitris,angie22gr,7,0.0307,0,2
Ah_riman,MariaDecokeke,7,0.0598,0,3
Ah_riman,angelikitsakani,7,0.0393,0,4
Ah_riman,klikr,7,0.1321,0,7
Briassulis,vythos70,7,0.0267,0,1
Fay82776914F,nickthegreek5,7,0.0241,0,1
Fotinh5,chrysib11,7,0.0419,0,5
GiotaPapapetrou,vythos70,7,0.0224,0,2
MenoEdo,lidakis_manos,7,0.0543,0,0
Nogate_T,angelikitsakani,7,0.0395,0,1
RockRock222555,chrysib11,7,0.0348,0,2
angelikitsakani,lidakis_manos,7,0.0402,0,1
angelikitsakani,vythos70,7,0.025,0,3
