account_handle,first_retweeter_count,unique_targets_first,top_target_author,top_target_count,target_hhi,median_lag_to_second_retweet_sec,role_label,cohort_ids,component_id
knock88082182,4,4,Panizachi,1,0.25,,amplifier_suspect,,
nilsholgerson_,4,4,P0eMPieDinges,1,0.25,1598,amplifier_suspect,2,1
seriousthreat98,4,4,iamvossgr,1,0.25,15235,mixed_behavior,,
DDeppied,3,3,CharaKara,1,0.3333,8017,mixed_behavior,2,1
DejaLogic,3,3,thanosdimadis,1,0.3333,2995,media_business,,
Electra306,3,3,Voice75848495,1,0.3333,4030,mixed_behavior,,
ElinaKoliop,3,3,xa_xa_xa_xo_xo,1,0.3333,,mixed_behavior,,
EoLaerte,3,3,Mirsini1946041,1,0.3333,4964,mixed_behavior,,
KosmidisStathis,3,3,Mirsini1946041,1,0.3333,1720,media_business,2,1
MAVROJOHN,3,3,BatmanTweetzz,1,0.3333,,retail_user,,
Nikos2501,3,3,Tiana_Celine_23,1,0.3333,,amplifier_suspect,,1
NonameTZ,3,3,zneraida,1,0.3333,2611,amplifier_suspect,1,1
Ralia1Raily,3,3,RealHellenist,1,0.3333,5106,mixed_behavior,,
Realism_47,3,3,Inevitablewest,1,0.3333,1535,mixed_behavior,,
Torquem21743459,3,3,n_palaiopanou,1,0.3333,15271,amplifier_suspect,,1
chrisvwgolf,3,3,isaacrrr7,1,0.3333,,mixed_behavior,,
dkDurcGYTIpZdKl,3,3,MARKOPOULODIMI2,1,0.3333,1706,media_business,2,1
evangelia_re,3,3,JSweetGR,1,0.3333,4081,amplifier_suspect,1,1
ippotech,3,3,patobonato,1,0.3333,2859,mixed_behavior,,1
kontologis,3,3,wintax3,1,0.3333,2145,mixed_behavior,,
nikos_aggelakis,3,3,Rena_Rethymno,1,0.3333,7795,retail_user,2,1
thanosvz,3,3,HamasAtrocities,1,0.3333,,amplifier_suspect,,1
4lhc_athens,2,1,G4Heron,2,1.0,1319,retail_user,,
MatrimC110073,2,1,LinconOsiris2,2,1.0,,mixed_behavior,,
lordos_noble,2,1,toumvas,2,1.0,,mixed_behavior,,
0nyxas,2,2,AITWLOS,1,0.5,,mixed_behavior,,
AnnaDiEpifanio1,2,2,Osint613,1,0.5,17060,mixed_behavior,,
Asmoudis13,2,2,not_buford,1,0.5,,unknown,,
Chaos_kreator,2,2,doubamari,1,0.5,4009,amplifier_suspect,2,1
CharilaosPapad1,2,2,ivoutsas,1,0.5,4062,amplifier_suspect,2,1
GeorgiadouL,2,2,AnaMalamas,1,0.5,11420,amplifier_suspect,2,1
IvanZak13,2,2,OutlawsPoetic,1,0.5,,unknown,,
LosKarabou79397,2,2,panta_tif,1,0.5,2284,retail_user,,
Melbourne57,2,2,xa_xa_xa_xo_xo,1,0.5,6554,retail_user,,
RGialama8386,2,2,tzon_t,1,0.5,,unknown,,
ThanosKten,2,2,antileftis91560,1,0.5,1783,mixed_behavior,,
akrato,2,2,Magician_Zastro,1,0.5,,unknown,,
antileftis91560,2,2,pan017585811348,1,0.5,3960,mixed_behavior,,
aprosarmostos_,2,2,Technomagos,1,0.5,1928,mixed_behavior,,
bobidion,2,2,realMaalouf,1,0.5,2901,mixed_behavior,,
bolltzmann,2,2,mpoumpivol2,1,0.5,,mixed_behavior,,
georgekouts62,2,2,Notorio_rbg,1,0.5,13096,mixed_behavior,,1
giorgosgreen,2,2,fasistogavros88,1,0.5,,mixed_behavior,,
hellaspecial,2,2,PlakoudasSpyros,1,0.5,2512,media_business,,
lavidaloca51932,2,2,Spyros21833575,1,0.5,,retail_user,,
loukasspetses13,2,2,hellasspecial,1,0.5,1228,unknown,,
milinimaria,2,2,BasketNews_com,1,0.5,,unknown,,
