account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
Marria198,True,1,1,0,0,1.0,1,1,1,0,0.0,tomanifesto,1,1.0,0,1,1057,973,10229,2023-07-05T11:30:17+03:00,True,False,False,el,46.25
Masprixate,True,1,1,0,0,1.0,1,1,1,0,0.0,panta_tif,1,1.0,0,0,1173,1252,12716,2016-05-13T11:22:46+03:00,True,False,False,el,46.25
Pia_Soun,True,1,1,0,0,1.0,1,1,1,0,0.0,ArchBradley,1,1.0,1,3,559,554,44035,2012-05-21T22:25:03+03:00,True,False,False,en,46.25
PiraeusStef,True,1,1,0,0,1.0,1,1,1,0,0.0,mariavellou,1,1.0,0,0,2058,2281,39844,2011-05-04T08:40:02+03:00,False,False,False,,46.25
Yiorgos4115671,True,1,1,0,0,1.0,1,1,1,0,0.0,Alpha_Wanted,1,1.0,0,1,319,1968,28803,2024-10-29T03:13:48+02:00,True,True,False,,46.25
alexpretti1312,True,1,1,0,0,1.0,1,1,1,0,0.0,steph2monaco,1,1.0,0,3,180,299,1621,2026-01-27T11:22:24+02:00,True,False,False,el,46.25
blackadder_3rd,True,1,1,0,0,1.0,1,1,1,0,0.0,AdonisGeorgiadi,1,1.0,0,0,1632,1183,30583,2012-05-10T14:12:17+03:00,True,False,False,en,46.25
correll_caus,True,1,1,0,0,1.0,1,1,1,0,0.0,maybeshewill21,1,1.0,0,0,209,254,5917,2024-04-10T12:30:08+03:00,True,False,False,el,46.25
gaou__biou,True,1,1,0,0,1.0,1,1,1,0,0.0,dobos21,1,1.0,1,0,1065,921,31357,2020-08-31T23:22:29+03:00,True,False,False,en,46.25
mystical_hell,True,1,1,0,0,1.0,1,1,1,0,0.0,AnA_podo_radiki,1,1.0,0,0,86,124,2216,2023-12-03T21:19:55+02:00,True,False,False,,46.25
papa_vaso,True,1,1,0,0,1.0,1,1,1,0,0.0,Eman_8282,1,1.0,0,0,1322,1352,25309,2015-03-11T13:58:20+02:00,False,False,False,und,46.25
sokpap,True,1,1,0,0,1.0,1,1,1,0,0.0,Stam_Pittas,1,1.0,1,2,191,285,5548,2011-06-09T08:58:49+03:00,True,False,False,el,46.25
t_thalatta,True,1,1,0,0,1.0,1,1,1,0,0.0,qasireu,1,1.0,0,0,37,133,498,2024-10-02T00:28:31+03:00,True,False,False,en,46.25
vagelis_ts,True,1,1,0,0,1.0,1,1,1,0,0.0,Votsarinho,1,1.0,0,0,54,180,1666,2021-08-07T22:12:56+03:00,True,False,False,,46.25
anastassios2401,True,10,9,1,1,0.9,8,9,9,2,0.2222,jurgen_nauditt,1,0.1111,1,0,7554,5669,123355,2012-11-23T11:38:38+02:00,True,False,False,el,45.94
georgekouts62,True,3,3,0,1,1.0,2,3,3,1,0.3333,4fABkkc5xTv2aek,1,0.3333,3,0,5029,5012,29109,2016-07-28T20:17:55+03:00,True,False,False,,45.83
