cluster_id,account_count,mean_coordination_score,mean_retweet_ratio,mean_network_weighted_degree,top_accounts
1,263,30.3417,0.5706,0.8023,michael_exc|margko73|Aristerotsolis|Valiadistinct|NickDanny99|VIVITV5|Tina5996|L6sVita|Marios59885699|B2hBk3gFaa2fH4W
2,104,59.995,0.8998,89.7212,ABCHeckles|economi94461498|46spiros|chrysib11|Catps66|angie22gr|MasenkaMm230158|Myrtilo01|Loxagos_Mark|fifi_apostolou
