cohort_id,member_count,cascade_count,median_time_tightness_sec,target_concentration_hhi,top_target_author,top_target_count,unique_targets,component_ids,members,top_cascade_tweet_id,top_cascade_member_share,cohort_score
1,64,217,2980,0.0194,ellada24,12,107,1,46spiros|57lista|ABCHeckles|Aaagiiisss|AgelisDimitris|Agie2a|Ah_riman|ArisBJJ|BatorGr|Briassulis|Catps66|DonConsclavios|Fotinh5|FrankiKostas|GiotaPapapetrou|JSweetGR|K_Sav215|LGkvas|Loxagos_Mark|MKioulafa|MariaDecokeke|MasenkaMm230158|MenoEdo|Mirsini1946041|Myrtilo01|Nogate_T|NonameTZ|RockRock222555|SagamoreMount|SenzakiKamo|ThanosTzimeros|TheMadoula|Track11John|TsigkaEfi|VforVolemenos|Xeniaxe19580370|anasiropiastos|angelikitsakani|angie22gr|chrysib11|communakios|doubamari|economi94461498|evangelia_re|fanis_rc|fifi_apostolou|g_m_theo|galex1908|giannMak|greek_paris_13|hatz_patty|johnblandos|jparthen|klikr|lafillemalgard1|lidakis_manos|maus_miny|mpantazo|nickthegreek5|paliakaravana59|ptableart|sinakatsarou|vythos70|zneraida,2044844673395487139,0.2031,52.9347
2,41,4,2022,0.25,Mirsini1946041,1,4,1,AnAthenianToLDN|Anastasia7882|Anthology2026|ArgirNik|AthanasiouCccp|BananaJoeReload|Chaos_kreator|CharilaosPapad1|DDeppied|Evitel_|Fay82776914F|GeorgiadouL|JtfYiannis|KosmidisStathis|Lalunaromantico|MariaKagia4603|MariaKoki3|Mrpresidentgr|NodarasSpiros|PitSpencer|Rena_Rethymno|Theodoros674021|Veltsi_Legacy|ZafiriaF|ZbejVty|aggelikiME25|dimitris7987|dinoskonstantin|dkDurcGYTIpZdKl|kimosampe|kokkoriss|nikos_aggelakis|nilsholgerson_|stefanakiir3|steiger_st28082|tasoskar11|teo_ntaleki|unico11226|vel_theGreek|xariszak2|xeniakan21,2046830910977495455,0.122,39.624
