account_handle,role_label,role_confidence,is_member,signals,followers_count,friends_count,followers_friends_ratio,listed_count,description_language,description_length,is_blue_verified,default_profile,account_age_days,retweet_ratio,original_count,cohort_ids
KosmidisStathis,media_business,0.5,True,listed_count>=50(73)|default_profile|zero_or_single_original|first_retweeter_count>=3(3)|cohort_member(1),9701,5719,1.6963,73,el,122,False,True,4192,0.8333,1,2
LKleitou,media_business,0.5,True,description_journalist_keyword|listed_count>=50(82)|default_profile,14872,1836,8.1002,82,und,10,False,True,2794,0.0,1,
MariaDecokeke,media_business,0.5,True,listed_count>=50(57)|default_profile|retweet_ratio>=0.85(0.99)|zero_or_single_original|first_retweeter_count>=3(42)|cohort_member(1),6650,3297,2.017,57,und,0,False,True,4035,0.9898,1,1
ScroogeKifissia,media_business,0.5,True,listed_count>=50(53)|default_profile|retweet_ratio>=0.85(0.89)|first_retweeter_count>=3(40),22653,21890,1.0349,53,el,77,False,True,1679,0.8889,5,
ZafiriaF,media_business,0.5,True,listed_count>=50(71)|default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(7)|cohort_member(1),11237,6689,1.6799,71,el,52,False,True,5347,1.0,0,2
aikarerina,media_business,0.5,True,listed_count>=50(52)|default_profile,2572,3104,0.8286,52,el,18,False,True,1955,0.5,1,
akrokentrwos_2,media_business,0.5,True,listed_count>=50(69)|default_profile,15228,1575,9.6686,69,el,90,False,True,2363,1.0,0,
amantomatimou,media_business,0.5,True,description_journalist_keyword|description_public_figure_keyword|listed_count>=50(57)|first_retweeter_count>=3(12),5609,558,10.052,57,,157,False,False,5538,0.5652,10,
anarchistdonkey,media_business,0.5,True,listed_count>=50(92)|first_retweeter_count>=3(8),5624,2370,2.373,92,el,22,False,False,4494,0.7692,3,
anastassios2401,media_business,0.5,True,listed_count>=50(62)|default_profile|retweet_ratio>=0.85(0.90)|zero_or_single_original|first_retweeter_count>=3(8),7554,5669,1.3325,62,el,160,False,True,4898,0.9,1,
bananarchyson,media_business,0.5,True,listed_count>=50(86)|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(9),4353,2264,1.9227,86,en,66,False,False,3822,1.0,0,
dkDurcGYTIpZdKl,media_business,0.5,True,listed_count>=50(50)|default_profile|retweet_ratio>=0.85(0.90)|zero_or_single_original|first_retweeter_count>=3(3)|cohort_member(1),3438,2374,1.4482,50,el,114,False,True,3206,0.9,1,2
doubamari,media_business,0.5,True,listed_count>=50(54)|cohort_member(1),6022,1657,3.6343,54,el,66,False,False,5337,0.7778,2,1
g_m_theo,media_business,0.5,True,description_public_figure_keyword|listed_count>=50(70)|default_profile|first_retweeter_count>=3(7)|cohort_member(1),6361,5677,1.1205,70,el,66,False,True,4101,0.7826,5,1
hellaspecial,media_business,0.5,True,listed_count>=50(59)|blue_verified|default_profile,5657,4362,1.2969,59,el,39,True,True,2818,0.75,1,
kikirik_nik,media_business,0.5,True,listed_count>=50(55)|followers_friends_ratio>=25(34.2),3759,110,34.1727,55,el,2,False,False,4346,0.0,1,
nickthegreek5,media_business,0.5,True,listed_count>=50(57)|retweet_ratio>=0.85(0.99)|first_retweeter_count>=3(88)|cohort_member(1),6419,2511,2.5564,57,el,89,False,False,5468,0.986,4,1
nikglykos,media_business,0.5,True,listed_count>=50(71),7947,6409,1.24,71,el,66,False,False,5345,0.5714,3,
temporasmores,media_business,0.5,True,listed_count>=50(73)|followers_friends_ratio>=25(36.2),7970,220,36.2273,73,el,15,False,False,6137,1.0,0,
Mrpresidentgr,journalist_public_figure,0.95,True,description_public_figure_keyword|blue_verified|default_profile|first_retweeter_count>=3(4)|cohort_member(1),3843,2987,1.2866,30,,138,True,True,6184,0.7692,3,2
46spiros,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(109)|cohort_member(1),1117,384,2.9089,8,und,0,False,True,4746,1.0,0,1
ABCHeckles,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(37)|cohort_member(1),5959,4330,1.3762,26,el,39,False,True,4904,1.0,0,1
Aaagiiisss,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(20)|cohort_member(1),716,1391,0.5147,16,el,28,False,True,3206,1.0,0,1
Anastasia7882,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(10)|cohort_member(1),861,871,0.9885,6,en,105,False,True,1301,1.0,0,2
Aristerotsolis,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(4)|top_amplified_share>=0.6(0.60),676,1149,0.5883,13,el,105,False,True,117,1.0,0,
BatorGr,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(8)|cohort_member(1),1209,926,1.3056,13,,19,False,True,1158,1.0,0,1
Catps66,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(26)|cohort_member(1),1057,2643,0.3999,13,en,131,False,True,1516,1.0,0,1
Fay82776914F,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(10)|cohort_member(1),1532,1420,1.0789,33,el,74,False,True,3508,1.0,0,2
Fotinh5,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(8)|cohort_member(1),3806,2947,1.2915,6,,0,False,True,1643,1.0,0,1
LGkvas,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(8)|cohort_member(1),972,1364,0.7126,6,und,0,False,True,3340,1.0,0,1
MariaKagia4603,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(4)|cohort_member(1),122,339,0.3599,1,,0,False,True,467,1.0,0,2
MasenkaMm230158,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(27)|cohort_member(1),603,393,1.5344,2,,0,False,True,1854,1.0,0,1
Nogate_T,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(12)|cohort_member(1),9035,5399,1.6735,39,el,10,False,True,4086,1.0,0,1
PitSpencer,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(29)|cohort_member(1),972,2005,0.4848,10,,0,False,True,1198,1.0,0,2
TsigkaEfi,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(10)|cohort_member(1),1016,570,1.7825,17,,0,False,True,1319,1.0,0,1
Valiadistinct,amplifier_suspect,0.9,True,blue_verified|default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(6),1216,381,3.1916,3,,32,True,True,2916,1.0,0,
Xeniaxe19580370,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(17)|cohort_member(1),739,39,18.9487,8,,4,False,True,1685,1.0,0,1
angie22gr,amplifier_suspect,0.9,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(30)|cohort_member(1),24467,15656,1.5628,44,el,120,False,False,5088,1.0,0,1
chrysib11,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(63)|cohort_member(1),3815,5569,0.685,25,und,0,False,True,4446,1.0,0,1
dinoskonstantin,amplifier_suspect,0.9,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(79)|cohort_member(1),2773,5004,0.5542,13,,0,False,False,4571,1.0,0,2
economi94461498,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(23)|cohort_member(1),1356,332,4.0843,7,,0,False,True,2319,1.0,0,1
fanis_rc,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(38)|cohort_member(1),2027,7293,0.2779,26,en,114,False,True,1153,1.0,0,1
fifi_apostolou,amplifier_suspect,0.9,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(53)|cohort_member(1),5238,3895,1.3448,19,und,0,False,False,4740,1.0,0,1
galex1908,amplifier_suspect,0.9,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(72)|cohort_member(1),16210,17333,0.9352,46,el,90,False,False,4959,1.0,0,1
kokkoriss,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(15)|cohort_member(1),608,2763,0.2201,10,,0,False,True,5106,1.0,0,2
lidakis_manos,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(6)|cohort_member(1),745,672,1.1086,16,,0,False,True,1352,1.0,0,1
nilsholgerson_,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(4)|cohort_member(1),4899,4528,1.0819,38,el,89,False,True,4643,1.0,0,2
paliakaravana59,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(105)|cohort_member(1),1704,203,8.3941,40,,0,False,True,2320,1.0,0,1
ptableart,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(8)|cohort_member(1),362,209,1.7321,26,,0,False,True,657,1.0,0,1
teo_ntaleki,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(12)|cohort_member(1),702,1671,0.4201,16,el,106,False,True,1093,1.0,0,2
xariszak2,amplifier_suspect,0.9,True,default_profile|default_profile_image|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(8)|cohort_member(1),238,309,0.7702,13,,0,False,True,2357,1.0,0,2
xeniakan21,amplifier_suspect,0.9,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(16)|cohort_member(1),2676,2328,1.1495,19,und,0,False,False,5069,1.0,0,2
zneraida,amplifier_suspect,0.9,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(11)|cohort_member(1),4325,468,9.2415,34,und,0,False,True,3925,1.0,0,1
Chaos_kreator,amplifier_suspect,0.85,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|cohort_member(1),680,766,0.8877,11,en,47,False,False,5445,1.0,0,2
CharilaosPapad1,amplifier_suspect,0.85,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|cohort_member(1),359,384,0.9349,4,el,83,False,True,1598,1.0,0,2
GeorgiadouL,amplifier_suspect,0.85,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|cohort_member(1),4628,3916,1.1818,14,und,55,False,False,4009,1.0,0,2
tasoskar11,amplifier_suspect,0.85,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|cohort_member(1),226,316,0.7152,5,qst,1,False,False,5565,1.0,0,2
B2hBk3gFaa2fH4W,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(7),1639,2412,0.6795,5,el,10,False,True,2277,1.0,0,
HouseElisabeth_,amplifier_suspect,0.8,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(6),490,1047,0.468,7,,15,False,False,3418,1.0,0,
JimyWis,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(4),657,1735,0.3787,8,el,94,False,True,1841,1.0,0,
L6sVita,amplifier_suspect,0.8,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(4),768,917,0.8375,10,el,41,False,False,3993,1.0,0,
Leniw_Lenia,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(6),544,530,1.0264,2,,0,False,True,1558,1.0,0,
Marios59885699,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(6),411,420,0.9786,1,,0,False,True,2346,1.0,0,
NickDanny99,amplifier_suspect,0.8,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(13),1718,1213,1.4163,16,en,32,False,False,4223,1.0,0,
Nikos2501,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(3),502,127,3.9528,9,,0,False,True,1573,1.0,0,
NikosVsdl8,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(38),497,1413,0.3517,16,,12,False,True,507,1.0,0,
PITT1742510,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(4),82,290,0.2828,1,,0,False,True,85,1.0,0,
Protostatis,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(5),2264,1316,1.7204,21,el,84,False,True,5314,1.0,0,
Tina5996,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(5),160,186,0.8602,3,de,73,False,True,1397,1.0,0,
Torquem21743459,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(3),527,1418,0.3717,11,el,91,False,True,2863,1.0,0,
VIVITV5,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(5),2013,4240,0.4748,14,el,124,False,True,2898,1.0,0,
aekzurich21,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(6),266,850,0.3129,3,en,160,False,True,1033,1.0,0,
cavodoro,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(5),808,1063,0.7601,3,und,0,False,True,5916,1.0,0,
chkls,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(7),1585,757,2.0938,12,el,48,False,True,5505,1.0,0,
ixnilatis1,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(8),443,2043,0.2168,3,und,0,False,True,3445,1.0,0,
knock88082182,amplifier_suspect,0.8,True,default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(4),498,1143,0.4357,5,,0,False,True,1986,1.0,0,
madonnamaniac,amplifier_suspect,0.8,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(45),3209,851,3.7709,45,en,152,False,False,5636,1.0,0,
margko73,amplifier_suspect,0.8,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(15),6178,1832,3.3723,11,el,91,False,False,4955,1.0,0,
michael_exc,amplifier_suspect,0.8,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(21),728,2078,0.3503,1,und,0,False,False,4560,1.0,0,
thanosvz,amplifier_suspect,0.8,True,retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(3),2204,3121,0.7062,21,,0,False,False,5878,1.0,0,
NonameTZ,amplifier_suspect,0.7,True,retweet_ratio>=0.85(0.94)|zero_or_single_original|first_retweeter_count>=3(3)|cohort_member(1),500,602,0.8306,5,en,31,False,False,5451,0.9375,1,1
Theodoros674021,amplifier_suspect,0.7,True,default_profile|retweet_ratio>=0.85(0.92)|zero_or_single_original|first_retweeter_count>=3(7)|cohort_member(1),605,507,1.1933,1,el,152,False,True,896,0.9167,1,2
evangelia_re,amplifier_suspect,0.7,True,default_profile|retweet_ratio>=0.85(0.89)|zero_or_single_original|first_retweeter_count>=3(3)|cohort_member(1),5622,4619,1.2171,12,el,158,False,True,6053,0.8889,1,1
le1li,amplifier_suspect,0.7,True,retweet_ratio>=0.85(0.95)|zero_or_single_original|first_retweeter_count>=3(14),756,932,0.8112,5,el,157,False,False,5306,0.95,1,
vel_theGreek,amplifier_suspect,0.65,True,default_profile|retweet_ratio>=0.85(0.86)|zero_or_single_original|cohort_member(1),10210,4194,2.4344,48,el,144,False,True,2646,0.8571,1,2
CMentat,amplifier_suspect,0.6,True,default_profile|retweet_ratio>=0.85(0.86)|zero_or_single_original|first_retweeter_count>=3(6),531,660,0.8045,9,,101,False,True,588,0.8571,1,
EthanAnargyrous,amplifier_suspect,0.6,True,default_profile|retweet_ratio>=0.85(0.86)|zero_or_single_original|first_retweeter_count>=3(4),1171,962,1.2173,13,el,83,False,True,2839,0.8571,1,
KVagos42117,amplifier_suspect,0.6,True,default_profile|retweet_ratio>=0.85(0.90)|zero_or_single_original|first_retweeter_count>=3(8),90,126,0.7143,1,,0,False,True,1037,0.9,1,
KyrPantelis3,amplifier_suspect,0.6,True,default_profile|retweet_ratio>=0.85(0.93)|zero_or_single_original|first_retweeter_count>=3(11),392,2410,0.1627,7,en,44,False,True,1382,0.9286,1,
Local_Bureau,amplifier_suspect,0.6,True,retweet_ratio>=0.85(0.88)|zero_or_single_original|first_retweeter_count>=3(4),9377,1294,7.2465,36,el,38,False,False,3900,0.875,1,
theatropoios,amplifier_suspect,0.6,True,default_profile|retweet_ratio>=0.85(0.92)|zero_or_single_original|first_retweeter_count>=3(11),636,2099,0.303,9,en,98,False,True,831,0.9167,1,
themagus2022,amplifier_suspect,0.6,True,default_profile|default_profile_image|retweet_ratio>=0.85(0.92)|zero_or_single_original|first_retweeter_count>=3(9),243,482,0.5041,3,,0,False,True,1337,0.9167,1,
4lhc_athens,retail_user,0.6,True,default_profile,239,251,0.9522,1,,83,False,True,208,0.5,2,
AChamouza,retail_user,0.6,True,default_profile,224,359,0.624,5,,0,False,True,1138,0.0,2,
Abovelaw13,retail_user,0.6,True,blue_verified|default_profile|first_retweeter_count>=3(8),1071,612,1.75,9,en,74,True,True,1731,0.4444,10,
AnnaMaria_1538,retail_user,0.6,True,default_profile,3232,2433,1.3284,6,,0,False,True,1327,0.0,1,
Annis2350561782,retail_user,0.6,True,default_profile|first_retweeter_count>=3(60),1071,1745,0.6138,4,,110,False,True,755,0.7625,19,
Anthology2026,retail_user,0.6,True,default_profile|first_retweeter_count>=3(76)|cohort_member(1),300,2670,0.1124,1,el,123,False,True,56,0.8261,20,2
ArgirNik,retail_user,0.6,True,default_profile|first_retweeter_count>=3(11)|cohort_member(1),831,514,1.6167,1,el,22,False,True,5328,0.7273,6,2
BaboonTje,retail_user,0.6,True,default_profile,333,419,0.7947,7,en,121,False,True,2240,0.0,2,
Captain_Sparos,retail_user,0.6,True,,589,690,0.8536,7,el,124,False,False,5894,0.0,1,
DonConsclavios,retail_user,0.6,True,blue_verified|default_profile|retweet_ratio>=0.85(0.97)|first_retweeter_count>=3(41)|cohort_member(1),308,827,0.3724,2,el,128,True,True,1023,0.9688,2,1
GiotaPapapetrou,retail_user,0.6,True,default_profile|retweet_ratio>=0.85(0.98)|first_retweeter_count>=3(179)|cohort_member(1),4690,3426,1.3689,3,,0,False,True,1923,0.9845,3,1
Griniazw,retail_user,0.6,True,blue_verified|default_profile,34,78,0.4359,2,el,34,True,True,1432,0.0,1,
HRessed,retail_user,0.6,True,default_profile,438,442,0.991,8,el,111,False,True,187,0.3333,4,
Iliserp,retail_user,0.6,True,blue_verified|default_profile,418,1283,0.3258,2,en,152,True,True,3808,0.0,1,
LosKarabou79397,retail_user,0.6,True,default_profile,276,304,0.9079,5,qht,15,False,True,58,0.6667,1,
MAVROJOHN,retail_user,0.6,True,default_profile|first_retweeter_count>=3(3),261,381,0.685,4,,27,False,True,5180,0.375,5,
MariaKoki3,retail_user,0.6,True,default_profile|retweet_ratio>=0.85(0.86)|first_retweeter_count>=3(15)|cohort_member(1),1415,753,1.8792,5,,56,False,True,1207,0.8636,3,2
Melbourne57,retail_user,0.6,True,,1686,1950,0.8646,5,und,0,False,False,5181,0.5,3,
