account_handle,role_label,role_confidence,is_member,signals,followers_count,friends_count,followers_friends_ratio,listed_count,description_language,description_length,is_blue_verified,default_profile,account_age_days,retweet_ratio,original_count,cohort_ids
AlexGavriilidis,source_hub,0.9,True,listed_count>=50(65),4859,525,9.2552,65,el,84,False,False,3175,0.0,4,
Apstolos14616,source_hub,0.9,True,blue_verified|default_profile|default_profile_image,152,170,0.8941,10,el,31,True,True,87,0.0,3,
AstyMpekas,source_hub,0.9,True,default_profile,311,153,2.0327,15,qst,6,False,True,560,0.0,5,
BeardedChad1995,source_hub,0.9,True,default_profile,86,72,1.1944,6,el,97,False,True,19,0.0,14,
DIOND97782043,source_hub,0.9,True,default_profile,137,99,1.3838,1,el,75,False,True,1265,0.0,12,
Dv500x,source_hub,0.9,True,default_profile,588,323,1.8204,5,,6,False,True,1804,0.2,4,
DvsDvs60195368,source_hub,0.9,True,blue_verified|default_profile,3491,3437,1.0157,25,el,107,True,True,1199,0.0164,60,
EAdamopoulou,source_hub,0.9,True,blue_verified,8700,1793,4.8522,30,,126,True,False,5443,0.2,4,
FotisMagnisia,source_hub,0.9,True,,2024,1216,1.6645,43,,59,False,False,5474,0.0,3,
GeorghyZhukov,source_hub,0.9,True,listed_count>=50(129)|followers_friends_ratio>=25(29.0)|blue_verified,37864,1307,28.9702,129,,0,True,False,6189,0.0,3,
Greekprn,source_hub,0.9,True,listed_count>=50(99),6060,3862,1.5691,99,en,32,False,False,5327,0.2222,7,
Jan__Sobieski,source_hub,0.9,True,default_profile|first_retweeter_count>=3(6),1165,818,1.4242,7,el,88,False,True,2143,0.1607,47,
John_Fletcher70,source_hub,0.9,True,listed_count>=50(69),4259,956,4.455,69,en,78,False,False,4668,0.0,5,
MoudilosV,source_hub,0.9,True,blue_verified,1887,1740,1.0845,8,el,108,True,False,6070,0.0,7,
NodarasSpiros,source_hub,0.9,True,listed_count>=50(104)|default_profile|first_retweeter_count>=3(6)|cohort_member(1),8706,2446,3.5593,104,el,145,False,True,4985,0.2308,30,2
ObserverGr71726,source_hub,0.9,True,default_profile,467,357,1.3081,19,,0,False,True,1065,0.0,5,
RXRqdEgogik2Z9P,source_hub,0.9,True,listed_count>=50(52)|default_profile|first_retweeter_count>=3(7)|top_amplified_share>=0.6(0.71),3606,1053,3.4245,52,el,158,False,True,2464,0.28,18,
Wwwwww42362442,source_hub,0.9,True,listed_count>=50(51)|default_profile,1992,3168,0.6288,51,el,159,False,True,3128,0.0,8,
__darcelX__,source_hub,0.9,True,followers_friends_ratio>=25(26.5)|default_profile,9156,346,26.4624,42,,32,False,True,1691,0.0,3,
agnwstos_x_,source_hub,0.9,True,default_profile,4262,1619,2.6325,13,en,6,False,True,4419,0.1,9,
daenerys777777,source_hub,0.9,True,default_profile,722,577,1.2513,9,,115,False,True,451,0.0,3,
el39984,source_hub,0.9,True,default_profile,664,222,2.991,12,,0,False,True,263,0.0,8,
ellada24,source_hub,0.9,True,listed_count>=50(134)|blue_verified|default_profile,29885,1449,20.6246,134,,23,True,True,1754,0.0,33,
failosK,source_hub,0.9,True,description_journalist_keyword|listed_count>=50(240)|default_profile,47600,2218,21.4608,240,el,137,False,True,5128,0.25,3,
gospodinmedvedd,source_hub,0.9,True,default_profile,346,370,0.9351,10,en,41,False,True,993,0.0,6,
hellasspecial,source_hub,0.9,True,,15926,9914,1.6064,49,el,34,False,False,3757,0.0,7,
melambus,source_hub,0.9,True,default_profile,1480,2275,0.6505,24,el,113,False,True,2226,0.0,3,
n_palaiopanou,source_hub,0.9,False,,,,,,,0,,,,0.0,3,
olofwti_agapi,source_hub,0.9,True,default_profile,347,135,2.5704,4,el,92,False,True,1243,0.0,7,
omadaalithias,source_hub,0.9,True,listed_count>=50(226)|followers>=100k(111055)|followers_friends_ratio>=25(191.1)|blue_verified,111055,581,191.1446,226,el,21,True,False,4963,0.0,6,
steliostso,source_hub,0.9,True,,6034,5850,1.0315,28,el,35,False,False,5722,0.2857,5,
tasS_O_S,source_hub,0.9,True,listed_count>=50(86),8296,1865,4.4483,86,el,52,False,False,5361,0.0,3,
trescommeilfaut,source_hub,0.9,True,,1739,849,2.0483,8,el,16,False,False,3075,0.0909,10,
AthanasiouCccp,media_business,0.7,True,description_media_keyword|listed_count>=50(94)|default_profile|first_retweeter_count>=3(8)|cohort_member(1),6153,5376,1.1445,94,en,48,False,True,4870,0.72,7,2
LitsaXarou,media_business,0.7,True,description_media_keyword|default_profile|retweet_ratio>=0.85(0.93)|zero_or_single_original|first_retweeter_count>=3(12),13018,12667,1.0277,48,el,103,False,True,4091,0.9286,1,
Myrtilo01,media_business,0.7,True,description_media_keyword|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(39)|cohort_member(1),308,339,0.9086,1,en,158,False,False,5417,1.0,0,1
SZacharos,media_business,0.7,True,description_media_keyword|listed_count>=50(95),10808,1037,10.4224,95,,52,False,False,6151,0.0,1,
StavrosKol9528,media_business,0.7,True,description_media_keyword|blue_verified|default_profile,302,128,2.3594,1,en,114,True,True,535,0.0,1,
jparthen,media_business,0.7,True,description_media_keyword|first_retweeter_count>=3(10)|cohort_member(1),559,485,1.1526,20,en,32,False,False,6052,0.7778,4,1
matrixneo1979,media_business,0.7,True,description_media_keyword|description_journalist_keyword|default_profile|first_retweeter_count>=3(17),3297,1654,1.9933,40,,41,False,True,3013,0.8261,4,
parodynews,media_business,0.7,True,description_media_keyword|description_journalist_keyword|listed_count>=50(94)|first_retweeter_count>=3(9),3576,4100,0.8722,94,en,62,False,False,6005,0.6875,5,
AnAthenianToLDN,media_business,0.65,True,listed_count>=50(108)|first_retweeter_count>=3(15)|cohort_member(1),22274,2366,9.4142,108,el,70,False,False,5446,0.5882,14,2
Loxagos_Mark,media_business,0.65,True,listed_count>=50(105)|blue_verified|default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(38)|cohort_member(1),7007,7425,0.9437,105,el,159,True,True,4811,1.0,0,1
NikosMichael6,media_business,0.65,True,listed_count>=50(123)|blue_verified|default_profile,28980,4069,7.1221,123,en,98,True,True,1835,1.0,0,
ThanosTzimeros,media_business,0.65,True,listed_count>=50(423)|followers_friends_ratio>=25(40.3)|default_profile|first_retweeter_count>=3(13)|cohort_member(1),68634,1702,40.3255,423,el,157,False,True,5288,0.7143,10,1
silaserafim,media_business,0.65,True,listed_count>=50(266)|retweet_ratio>=0.85(0.96)|zero_or_single_original|first_retweeter_count>=3(19),40749,2207,18.4635,266,en,107,False,False,5653,0.9583,1,
DejaLogic,media_business,0.5,True,listed_count>=50(52)|default_profile|first_retweeter_count>=3(3),4630,3070,1.5081,52,el,157,False,True,1159,0.75,1,
G4Heron,media_business,0.5,True,listed_count>=50(70)|retweet_ratio>=0.85(0.93)|first_retweeter_count>=3(60),10245,6921,1.4803,70,el,139,False,False,4059,0.9275,5,
Harhalas,media_business,0.5,True,listed_count>=50(65)|default_profile,16123,3203,5.0337,65,el,17,False,True,3025,1.0,0,
