account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
PitSpencer,2,104,0.4981,70,3.0419,6.7808,-0.7752,78.61,1.0,111
steiger_st28082,2,104,0.4975,71,4.8051,3.1407,-0.3389,40.71,0.7647,22
MariaKagia4603,2,104,0.4967,72,5.5067,1.6506,-1.353,58.57,1.0,8
Mirsini1946041,2,104,0.4967,73,4.0181,8.1463,-0.8335,64.83,0.9538,90
g_m_theo,2,104,0.4956,74,4.2956,5.3613,0.4126,45.03,0.7826,60
ZafiriaF,2,104,0.4956,75,4.8536,3.8446,1.2914,63.25,1.0,38
TheocharousH,1,263,0.4952,76,7.01,-4.9827,-6.0726,0.0,0.0,0
vel_theGreek,2,104,0.4944,77,5.82,1.9002,0.8951,41.67,0.8571,8
amantomatimou,1,263,0.4932,78,6.0398,0.3835,1.2194,35.55,0.5652,0
Evitel_,1,263,0.4932,79,6.2801,0.8335,0.4922,45.0,1.0,17
nikos_aggelakis,2,104,0.4921,80,5.6166,1.6401,-0.6165,26.18,0.5455,8
LitsaXarou,1,263,0.4916,81,5.5887,0.1,3.2025,52.12,0.9286,0
matrixneo1979,1,263,0.4914,82,5.9937,1.4652,1.5065,52.53,0.8261,2
le1li,2,104,0.4912,83,5.6707,2.1572,0.0499,54.96,0.95,2
57lista,2,104,0.4911,84,4.2293,3.6763,-0.6336,38.77,0.6316,31
xeniakan21,2,104,0.4905,85,3.275,6.1735,-0.1832,76.95,1.0,88
Placebo_0,1,263,0.4903,86,5.8626,1.2126,1.5166,51.13,0.697,0
VforVolemenos,2,104,0.4901,87,4.4752,4.2639,0.2274,49.17,0.8571,8
HRessed,1,263,0.4894,88,4.1477,-1.5653,-0.872,16.67,0.3333,4
parodynews,1,263,0.4893,89,5.8759,0.8141,1.5062,36.22,0.6875,3
MasenkaMm230158,2,104,0.4883,90,3.3201,7.2895,-1.2428,80.17,1.0,97
KosmidisStathis,1,263,0.488,91,5.9442,1.4206,1.5708,40.92,0.8333,6
MoudilosV,1,263,0.4879,92,5.8774,-3.0731,0.427,0.0,0.0,0
johnblandos,2,104,0.4878,93,3.3473,8.1753,-0.8242,61.01,0.8904,120
RockRock222555,2,104,0.4875,94,4.1248,8.2586,-1.4566,55.75,0.7308,126
SenzakiKamo,2,104,0.4875,95,3.4088,6.3239,-1.3878,56.73,0.9444,97
economi94461498,2,104,0.4874,96,3.4518,6.9959,-0.9603,81.71,1.0,88
NonameTZ,2,104,0.4865,97,3.7301,4.8014,-1.4741,41.9,0.9375,50
dimitris7987,2,104,0.4862,98,3.1972,4.9534,-1.1781,46.27,0.8621,105
zneraida,2,104,0.4862,99,3.5451,4.6607,0.0286,74.08,1.0,16
ArgirNik,2,104,0.4861,100,3.6744,4.5096,-0.6736,46.71,0.7273,44
evangelia_re,2,104,0.4857,101,4.6715,3.1466,0.2573,43.61,0.8889,19
AthanasiouCccp,2,104,0.4857,102,4.6299,3.6653,1.105,40.48,0.72,8
themagus2022,1,263,0.4853,103,8.3043,-0.2593,0.3368,45.61,0.9167,0
kimosampe,1,263,0.4848,104,4.7019,-0.2629,0.3023,43.33,1.0,2
agapornis_mask,1,263,0.4843,105,4.0366,-0.24,0.2808,48.75,1.0,6
trescommeilfaut,1,263,0.4842,106,4.7735,-3.0174,0.7542,14.43,0.0909,0
temporasmores,1,263,0.4842,107,5.7343,-2.6216,2.4182,60.0,1.0,0
maus_miny,2,104,0.4841,108,3.0749,6.5317,-0.8007,52.31,0.9231,124
InafiZinaf1,1,263,0.4834,109,3.801,-1.174,-0.6409,43.33,1.0,11
4lhc_athens,1,263,0.4832,110,4.9018,-1.9713,-0.0358,45.0,0.5,0
Local_Bureau,1,263,0.4828,111,4.7337,0.5867,1.3205,42.05,0.875,2
lafillemalgard1,2,104,0.4817,112,3.4792,4.8978,-0.1126,53.03,0.8846,36
GeorgiadouL,2,104,0.4816,113,4.7607,2.7575,0.3098,56.0,1.0,14
michael_exc,1,263,0.4811,114,5.3915,0.4075,0.993,75.95,1.0,0
LGkvas,2,104,0.4809,115,3.6373,5.834,-0.9625,68.28,1.0,65
communakios,2,104,0.4797,116,5.539,1.7141,-0.0654,39.25,0.8,7
Chaos_kreator,2,104,0.4779,117,5.5013,2.0517,-0.3491,61.67,1.0,17
CharilaosPapad1,1,263,0.4774,118,5.2326,1.106,-0.3861,60.5,1.0,4
StavrosKol9528,1,263,0.4772,119,5.2851,-4.0434,-0.4239,0.0,0.0,0
fanis_rc,2,104,0.4772,120,2.919,6.6079,-0.0393,78.48,1.0,32
Tina5996,1,263,0.4766,121,5.1494,0.8827,-0.2961,65.69,1.0,11
agnwstos_x_,1,263,0.4765,122,4.9897,-2.2939,1.5074,14.75,0.1,0
ZbejVty,2,104,0.4757,123,3.4441,4.1925,0.5648,54.17,0.7692,8
MariaKoki3,2,104,0.4756,124,4.0568,3.7543,-0.5793,50.82,0.8636,11
Drifter_1066,1,263,0.4755,125,7.0433,-5.0311,-6.0969,0.0,0.0,0
IriniPapad26550,1,263,0.4755,126,7.0433,-5.0311,-6.0969,0.0,0.0,0
SpyrosSpyropou7,1,263,0.4755,127,7.0433,-5.0311,-6.0969,0.0,0.0,0
XmLdl,1,263,0.4755,128,7.0433,-5.0311,-6.0969,0.0,0.0,0
spfotis,1,263,0.4755,129,7.0433,-5.0311,-6.0969,0.0,0.0,0
starick878,1,263,0.4755,130,7.0433,-5.0311,-6.0969,0.0,0.0,0
NickDanny99,1,263,0.4749,131,5.2535,0.9889,0.5827,66.96,1.0,2
ABCHeckles,2,104,0.4747,132,3.2733,7.6777,0.1158,82.92,1.0,112
ptableart,2,104,0.4745,133,3.9002,3.8666,-1.3437,65.77,1.0,31
Greekprn,1,263,0.4744,134,4.7434,-2.1331,1.5022,14.03,0.2222,0
tazmanolis,1,263,0.4739,135,5.6563,0.2398,2.1629,39.5,0.7143,0
Torquem21743459,1,263,0.4738,136,4.987,1.2524,0.3516,60.0,1.0,8
margko73,1,263,0.4735,137,5.1263,0.0902,1.6969,70.75,1.0,0
omadaalithias,1,263,0.4733,138,6.021,-3.5848,0.9837,0.0,0.0,0
Aristerotsolis,1,263,0.4729,139,4.3146,-0.7121,0.5863,70.0,1.0,0
L6sVita,1,263,0.4729,140,5.302,1.1117,0.4224,65.0,1.0,18
harakont,1,263,0.4723,141,3.7327,-1.1133,-0.0617,47.5,1.0,8
Valiadistinct,1,263,0.4721,142,5.0813,-0.5947,1.8718,70.0,1.0,0
greek_paris_13,2,104,0.472,143,2.7917,6.2996,-0.3996,57.32,0.9412,56
Theodoros674021,2,104,0.471,144,3.6868,3.3294,-0.6568,47.65,0.9167,20
FrankiKostas,1,263,0.471,145,5.7746,1.5066,0.4465,46.25,1.0,8
kokkoriss,2,104,0.4708,146,3.5736,4.3225,-0.2106,71.85,1.0,31
MatrimC110073,1,263,0.4705,147,4.8869,-1.7599,1.0451,30.0,0.5,0
Catps66,2,104,0.4701,148,2.8867,7.2882,-0.9577,80.49,1.0,119
nilsholgerson_,2,104,0.47,149,5.2003,2.2806,0.8794,62.78,1.0,9
hellasspecial,1,263,0.4698,150,5.2721,-3.3925,1.2295,0.0,0.0,0
lavidaloca51932,1,263,0.4697,151,4.5288,-3.0552,-2.4789,30.83,0.6667,0
freemindspirits,1,263,0.4686,152,4.592,-0.5771,1.8383,41.04,0.6923,0
failosK,1,263,0.4682,153,4.6627,-2.968,2.2392,18.75,0.25,0
JimyWis,1,263,0.4682,154,4.6006,0.6468,0.3971,61.67,1.0,7
John_Fletcher70,1,263,0.4682,155,4.9747,-3.1605,0.3283,0.0,0.0,0
DDeppied,1,263,0.4677,156,4.5977,0.7604,0.5918,34.92,0.8333,2
stefanakiir3,1,263,0.4674,157,4.6009,0.1711,0.2372,43.33,1.0,2
teo_ntaleki,2,104,0.4671,158,4.2502,2.9365,-0.2216,67.67,1.0,8
Volcom40893832,1,263,0.4666,159,3.6922,-0.2252,0.5205,45.0,1.0,10
oldfileles,1,263,0.466,160,5.3991,-2.1031,2.6902,37.92,0.3333,0
Aaagiiisss,2,104,0.4655,161,3.0483,5.6245,-0.4412,77.43,1.0,36
KVagos42117,1,263,0.4655,162,3.9079,-1.1823,-0.1137,43.72,0.9,0
BatorGr,2,104,0.4651,163,3.1445,5.5861,-0.9697,65.96,1.0,65
GeorghyZhukov,1,263,0.4637,164,5.781,-3.5373,1.1896,0.0,0.0,0
Nogate_T,2,104,0.4637,165,2.9138,6.2084,0.18,71.73,1.0,85
doumpalis,1,263,0.4633,166,8.0902,-3.9353,-0.6504,0.0,0.0,0
Philipos1991486,1,263,0.4629,167,4.0334,-2.0443,-1.8096,25.0,0.5,0
SZacharos,1,263,0.4628,168,4.7914,-3.6658,0.8387,0.0,0.0,0
foivos_trikkis_,1,263,0.4628,169,5.318,0.3544,0.5674,43.96,0.6667,0
steliostso,1,263,0.4627,170,4.4091,-2.1368,1.5136,17.5,0.2857,0
PITT1742510,1,263,0.4626,171,3.8218,-1.4741,-0.5001,63.0,1.0,0
Griniazw,1,263,0.4614,172,5.044,-4.2308,-1.457,0.0,0.0,0
consue_banana_,1,263,0.4614,173,3.9837,0.6619,0.3017,35.0,0.6667,7
cavodoro,2,104,0.4609,174,5.5165,1.9709,0.5904,66.25,1.0,19
Wwwwww42362442,1,263,0.46,175,4.9037,-3.094,0.5089,0.0,0.0,0
Fotinh5,2,104,0.46,176,3.2313,5.6984,-0.2706,69.56,1.0,53
Kon_Dalaoura,1,263,0.4597,177,4.387,-2.4228,-0.2344,55.0,1.0,0
hellaspecial,1,263,0.459,178,5.0096,-1.3684,2.6766,37.08,0.75,0
frel_elias,1,263,0.4589,179,5.257,0.3352,1.6101,49.8,0.8824,0
kostasp194,1,263,0.4588,180,4.1613,-0.1523,1.2638,38.33,0.6667,2
AstyMpekas,1,263,0.4584,181,4.6092,-3.3547,-1.1758,0.0,0.0,0
anarchistdonkey,1,263,0.4582,182,5.2361,-0.2083,1.8678,37.92,0.7692,0
aikarerina,1,263,0.4579,183,5.1751,-2.2732,2.3972,43.75,0.5,0
kikirik_nik,1,263,0.4577,184,4.7131,-3.8126,0.1742,0.0,0.0,0
DIOND97782043,1,263,0.4562,185,4.8685,-3.8581,-1.0774,0.0,0.0,0
ippotech,1,263,0.4559,186,4.2123,0.3064,1.1616,35.39,0.7,2
EthanAnargyrous,1,263,0.4558,187,4.253,0.4424,0.5682,39.17,0.8571,8
Fay82776914F,2,104,0.4554,188,3.3805,4.4647,-0.1096,69.85,1.0,47
lidakis_manos,2,104,0.4553,189,3.0514,5.3761,-1.0964,63.37,1.0,68
Anastasia7882,2,104,0.4551,190,4.0271,3.1721,-0.2638,64.83,1.0,17
GP_74_,1,263,0.4545,191,3.5165,-0.3754,0.0792,30.0,0.7143,10
thanosvz,1,263,0.4537,192,4.6118,0.2517,1.1446,60.42,1.0,4
Lalunaromantico,2,104,0.4534,193,4.6071,1.9809,0.2304,43.33,0.75,4
theatropoios,1,263,0.4525,194,4.2887,-0.1377,0.9651,47.65,0.9167,0
Tiramolas_,1,263,0.4521,195,4.0931,-3.8384,-1.9594,0.0,0.0,0
VIVITV5,1,263,0.452,196,4.8613,0.781,1.2309,66.25,1.0,4
bananarchyson,1,263,0.452,197,5.1423,-0.6516,2.2125,62.25,1.0,0
anastassios2401,1,263,0.4512,198,4.8215,-0.2585,2.6013,45.94,0.9,0
Marios59885699,1,263,0.4504,199,4.8108,1.1103,0.6477,63.41,1.0,4
el39984,1,263,0.4503,200,4.6144,-3.876,-0.8683,0.0,0.0,0
olofwti_agapi,1,263,0.4501,201,4.7348,-3.4366,-0.9141,0.0,0.0,0
B2hBk3gFaa2fH4W,1,263,0.4486,202,4.098,-0.7152,1.3375,63.04,1.0,0
nikglykos,1,263,0.4479,203,4.5521,-1.2372,2.0847,25.0,0.5714,0
CMentat,1,263,0.4478,204,3.4815,-1.1983,0.3587,39.17,0.8571,0
LKleitou,1,263,0.4476,205,4.606,-3.5858,1.2372,0.0,0.0,0
Harhalas,1,263,0.4475,206,4.7434,-2.8083,3.1186,45.0,1.0,0
vxaz_79,1,263,0.4474,207,4.6873,-3.0648,2.013,27.5,0.5,0
tasS_O_S,1,263,0.4474,208,4.9083,-3.4156,0.8035,0.0,0.0,0
KyrPantelis3,1,263,0.4473,209,4.2377,-0.3805,0.9073,47.02,0.9286,0
Guson653566,1,263,0.4469,210,7.0191,-5.1026,-6.0467,0.0,0.0,0
HFirstpriest,1,263,0.4469,211,7.0191,-5.1026,-6.0467,0.0,0.0,0
IoannisAro98223,1,263,0.4469,212,7.0191,-5.1026,-6.0467,0.0,0.0,0
Jocoon5,1,263,0.4469,213,7.0191,-5.1026,-6.0467,0.0,0.0,0
Lollos1242232,1,263,0.4469,214,7.0191,-5.1026,-6.0467,0.0,0.0,0
Pi8kiavlozampis,1,263,0.4469,215,7.0191,-5.1026,-6.0467,0.0,0.0,0
XMulwna,1,263,0.4469,216,7.0191,-5.1026,-6.0467,0.0,0.0,0
antonispoulas,1,263,0.4469,217,7.0191,-5.1026,-6.0467,0.0,0.0,0
christoskostaki,1,263,0.4469,218,7.0191,-5.1026,-6.0467,0.0,0.0,0
gabrielubr,1,263,0.4469,219,7.0191,-5.1026,-6.0467,0.0,0.0,0
makis585,1,263,0.4469,220,7.0191,-5.1026,-6.0467,0.0,0.0,0
myga_tse,1,263,0.4469,221,7.0191,-5.1026,-6.0467,0.0,0.0,0
paristzina,1,263,0.4469,222,7.0191,-5.1026,-6.0467,0.0,0.0,0
Dv500x,1,263,0.4467,223,4.2148,-2.9247,0.6392,18.25,0.2,0
nesgrego,1,263,0.4462,224,4.5473,-1.8707,2.0248,44.17,0.75,0
chkls,1,263,0.4461,225,4.2706,-0.2904,1.5859,60.75,1.0,0
Nikos2501,1,263,0.446,226,4.2055,-0.3314,0.1799,57.92,1.0,6
FotisMagnisia,1,263,0.4459,227,4.6777,-3.582,0.345,0.0,0.0,0
IK25818385,1,263,0.4457,228,4.0526,0.0333,1.1498,47.67,0.8333,0
ObserverGr71726,1,263,0.4449,229,4.5181,-3.5695,-0.4734,0.0,0.0,0
gospodinmedvedd,1,263,0.4448,230,4.541,-3.3877,-0.8259,0.0,0.0,0
AlexGavriilidis,1,263,0.4446,231,4.6828,-3.6367,0.1794,0.0,0.0,0
kostasagg1965,1,263,0.4437,232,4.3017,-0.7028,0.8914,34.88,0.5833,0
Rinokeros2023,1,263,0.4425,233,4.0315,-3.9918,-1.5527,0.0,0.0,0
ledentiste2,1,263,0.442,234,4.4973,0.5953,1.2934,46.86,0.7647,0
georgekouts62,1,263,0.439,235,3.4842,-0.5619,1.6496,45.83,1.0,2
