component_id,node_count,edge_count,density,total_shared_retweets,total_within_15m,total_within_60m,top_accounts
1,113,798,0.1261,3467,314,1402,nickthegreek5|46spiros|AgelisDimitris|angelikitsakani|chrysib11|MenoEdo|giannMak|Track11John|Briassulis|sinakatsarou
2,2,1,1.0,2,0,1,G4Heron|QuercusLg
