account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
Aaagiiisss,Anthology2026,2,0.0247,0,0
Aaagiiisss,PitSpencer,2,0.0455,0,0
Aaagiiisss,RockRock222555,2,0.0267,0,1
Aaagiiisss,Xeniaxe19580370,2,0.0444,0,2
Aaagiiisss,angelikitsakani,2,0.0167,0,0
Aaagiiisss,giannMak,2,0.0187,0,1
Aaagiiisss,teo_ntaleki,2,0.0513,0,2
AgelisDimitris,Anastasia7882,2,0.0119,0,0
AgelisDimitris,ArgirNik,2,0.0115,0,0
AgelisDimitris,EthanAnargyrous,2,0.0122,0,1
AgelisDimitris,InafiZinaf1,2,0.0124,0,1
AgelisDimitris,KosmidisStathis,2,0.0123,0,0
AgelisDimitris,Loxagos_Mark,2,0.0103,0,0
AgelisDimitris,MKioulafa,2,0.0098,0,1
AgelisDimitris,Myrtilo01,2,0.0102,0,1
AgelisDimitris,NodarasSpiros,2,0.0123,0,0
AgelisDimitris,Theodoros674021,2,0.012,0,0
AgelisDimitris,ZafiriaF,2,0.0117,0,0
AgelisDimitris,dinoskonstantin,2,0.0105,0,2
AgelisDimitris,dkDurcGYTIpZdKl,2,0.0124,0,0
AgelisDimitris,economi94461498,2,0.0111,0,0
AgelisDimitris,tasoskar11,2,0.0123,0,0
Agie2a,chrysib11,2,0.0168,0,1
Agie2a,nilsholgerson_,2,0.1,0,2
Agie2a,teo_ntaleki,2,0.0625,0,1
Ah_riman,ArisBJJ,2,0.0488,0,1
Ah_riman,Rena_Rethymno,2,0.0465,0,0
Ah_riman,TheMadoula,2,0.0323,0,0
Ah_riman,galex1908,2,0.0187,0,0
Ah_riman,sinakatsarou,2,0.0148,0,0
Ah_riman,xeniakan21,2,0.0408,0,0
AnAthenianToLDN,MariaDecokeke,2,0.026,0,0
Anastasia7882,Loxagos_Mark,2,0.0455,0,0
Anastasia7882,greek_paris_13,2,0.05,0,0
Anthology2026,Jan__Sobieski,2,0.0312,0,0
Anthology2026,PitSpencer,2,0.0267,0,1
Anthology2026,ThanosTzimeros,2,0.0253,0,0
Anthology2026,cavodoro,2,0.0303,0,1
Anthology2026,chrysib11,2,0.0127,0,0
Anthology2026,giannMak,2,0.0145,0,0
Anthology2026,le1li,2,0.0278,0,1
ArgirNik,Briassulis,2,0.018,0,0
ArgirNik,Catps66,2,0.0308,0,0
ArgirNik,MasenkaMm230158,2,0.0274,0,0
ArgirNik,hatz_patty,2,0.0194,0,0
ArgirNik,johnblandos,2,0.0294,0,0
ArgirNik,sinakatsarou,2,0.0161,0,0
ArisBJJ,Catps66,2,0.0308,0,0
ArisBJJ,MKioulafa,2,0.0328,0,2
ArisBJJ,MenoEdo,2,0.0159,0,1
ArisBJJ,g_m_theo,2,0.0714,0,0
BatorGr,Catps66,2,0.027,0,0
BatorGr,K_Sav215,2,0.0215,0,0
BatorGr,Loxagos_Mark,2,0.0339,0,0
BatorGr,MariaDecokeke,2,0.0225,0,0
BatorGr,MasenkaMm230158,2,0.0244,0,1
BatorGr,evangelia_re,2,0.0667,0,0
BatorGr,galex1908,2,0.019,0,1
BatorGr,giannMak,2,0.0189,0,0
BatorGr,sinakatsarou,2,0.015,0,1
Briassulis,Catps66,2,0.0137,0,1
Briassulis,GiotaPapapetrou,2,0.007,0,0
Briassulis,L6sVita,2,0.0204,0,0
Briassulis,LGkvas,2,0.0169,0,0
Briassulis,Theodoros674021,2,0.0194,0,2
Briassulis,TsigkaEfi,2,0.0169,0,0
Briassulis,ptableart,2,0.0187,0,0
Briassulis,steiger_st28082,2,0.019,0,2
Catps66,Fotinh5,2,0.0303,0,1
Catps66,K_Sav215,2,0.0168,0,1
Catps66,MKioulafa,2,0.0208,0,2
Catps66,MariaDecokeke,2,0.0174,0,1
Catps66,Nogate_T,2,0.0312,0,0
Catps66,TheMadoula,2,0.0233,0,0
Catps66,g_m_theo,2,0.0317,0,1
Catps66,giannMak,2,0.0152,0,0
Catps66,jparthen,2,0.0333,0,0
Catps66,maus_miny,2,0.0274,0,1
Chaos_kreator,Myrtilo01,2,0.0513,0,2
CharilaosPapad1,nickthegreek5,2,0.0071,0,2
DonConsclavios,johnblandos,2,0.0244,0,0
DonConsclavios,mpantazo,2,0.0247,0,2
Fay82776914F,MariaDecokeke,2,0.0256,0,0
Fay82776914F,TheMadoula,2,0.0408,0,1
Fay82776914F,TsigkaEfi,2,0.0571,0,1
Fay82776914F,chrysib11,2,0.0175,0,1
Fay82776914F,mpantazo,2,0.0308,0,0
Fotinh5,MariaDecokeke,2,0.0247,0,2
Fotinh5,Theodoros674021,2,0.087,0,2
Fotinh5,galex1908,2,0.0206,0,1
FrankiKostas,hatz_patty,2,0.0222,0,1
FrankiKostas,maus_miny,2,0.08,0,0
FrankiKostas,nickthegreek5,2,0.0072,0,2
G4Heron,QuercusLg,2,0.0339,0,1
GeorgiadouL,Theodoros674021,2,0.1538,0,1
GeorgiadouL,angie22gr,2,0.0741,0,1
GiotaPapapetrou,MenoEdo,2,0.0067,0,0
GiotaPapapetrou,chrysib11,2,0.0069,0,0
GiotaPapapetrou,giannMak,2,0.0074,0,0
GiotaPapapetrou,greek_paris_13,2,0.0091,0,1
InafiZinaf1,chrysib11,2,0.0194,0,1
InafiZinaf1,giannMak,2,0.0238,0,0
InafiZinaf1,hatz_patty,2,0.0222,0,0
JSweetGR,MariaKoki3,2,0.1667,0,0
JSweetGR,MasenkaMm230158,2,0.0303,0,2
JSweetGR,chrysib11,2,0.0183,0,1
JimyWis,nickthegreek5,2,0.0071,0,0
JtfYiannis,MasenkaMm230158,2,0.0339,0,0
JtfYiannis,nickthegreek5,2,0.0072,0,1
K_Sav215,LGkvas,2,0.022,0,0
K_Sav215,MKioulafa,2,0.0174,0,2
K_Sav215,Mrpresidentgr,2,0.026,0,0
K_Sav215,tasoskar11,2,0.0274,0,2
K_Sav215,vythos70,2,0.0115,0,2
KosmidisStathis,MasenkaMm230158,2,0.0323,0,1
KosmidisStathis,TsigkaEfi,2,0.0769,0,2
LGkvas,NonameTZ,2,0.0588,0,1
LGkvas,giannMak,2,0.0192,0,2
LGkvas,harakont,2,0.087,0,0
Loxagos_Mark,MasenkaMm230158,2,0.0215,0,0
Loxagos_Mark,Mrpresidentgr,2,0.0465,0,1
Loxagos_Mark,chrysib11,2,0.0147,0,0
Loxagos_Mark,dinoskonstantin,2,0.0303,0,0
Loxagos_Mark,greek_paris_13,2,0.0303,0,1
Loxagos_Mark,hatz_patty,2,0.0163,0,0
Loxagos_Mark,mpantazo,2,0.023,0,1
MKioulafa,greek_paris_13,2,0.026,0,0
MariaDecokeke,Myrtilo01,2,0.0194,0,0
MariaDecokeke,NonameTZ,2,0.026,0,0
MariaDecokeke,giannMak,2,0.0136,0,1
MariaDecokeke,hatz_patty,2,0.0131,0,1
MariaDecokeke,johnblandos,2,0.0169,0,2
MariaDecokeke,ptableart,2,0.0263,0,0
MariaDecokeke,steiger_st28082,2,0.027,0,0
MariaDecokeke,xeniakan21,2,0.0227,0,0
MariaKoki3,MasenkaMm230158,2,0.0323,0,1
MasenkaMm230158,Track11John,2,0.0072,0,2
MasenkaMm230158,Volcom40893832,2,0.0333,0,0
MasenkaMm230158,anasiropiastos,2,0.0241,0,1
MasenkaMm230158,georgekouts62,2,0.0333,0,0
MasenkaMm230158,giannMak,2,0.0143,0,0
MenoEdo,Mrpresidentgr,2,0.0168,0,0
MenoEdo,Nogate_T,2,0.016,0,0
MenoEdo,Veltsi_Legacy,2,0.0175,0,0
MenoEdo,ZafiriaF,2,0.0163,0,0
MenoEdo,anasiropiastos,2,0.0147,0,1
MenoEdo,greek_paris_13,2,0.0141,0,0
MenoEdo,johnblandos,2,0.0122,0,1
MenoEdo,xeniakan21,2,0.0149,0,1
Mrpresidentgr,angelikitsakani,2,0.0194,0,0
Mrpresidentgr,maus_miny,2,0.0645,0,1
Myrtilo01,SenzakiKamo,2,0.0282,0,1
Myrtilo01,TheMadoula,2,0.027,0,0
Myrtilo01,TsigkaEfi,2,0.0333,0,0
Myrtilo01,chrysib11,2,0.0144,0,0
Myrtilo01,evangelia_re,2,0.0455,0,0
Myrtilo01,hatz_patty,2,0.0159,0,1
Myrtilo01,maus_miny,2,0.0328,0,0
Myrtilo01,mpantazo,2,0.0222,0,0
NikosVsdl8,cavodoro,2,0.0588,0,1
NikosVsdl8,nickthegreek5,2,0.0066,0,1
NodarasSpiros,hatz_patty,2,0.022,0,1
Nogate_T,TheMadoula,2,0.04,0,0
Nogate_T,angelikitsakani,2,0.0183,0,1
Nogate_T,chrysib11,2,0.0174,0,0
NonameTZ,RockRock222555,2,0.0323,0,2
NonameTZ,TheMadoula,2,0.0417,0,1
NonameTZ,TsigkaEfi,2,0.0588,0,1
NonameTZ,angelikitsakani,2,0.0187,0,2
PitSpencer,RockRock222555,2,0.029,0,2
PitSpencer,ZafiriaF,2,0.0645,0,0
PitSpencer,klikr,2,0.04,0,0
Rena_Rethymno,greek_paris_13,2,0.0417,0,0
Rena_Rethymno,mpantazo,2,0.029,0,0
Rena_Rethymno,nickthegreek5,2,0.0068,0,2
Rena_Rethymno,sinakatsarou,2,0.0159,0,0
RockRock222555,TsigkaEfi,2,0.0278,0,0
SagamoreMount,Track11John,2,0.009,0,1
SenzakiKamo,ThanosTzimeros,2,0.0357,0,1
SenzakiKamo,g_m_theo,2,0.0435,0,0
SenzakiKamo,galex1908,2,0.0175,0,2
SenzakiKamo,giannMak,2,0.0174,0,1
SenzakiKamo,lidakis_manos,2,0.0377,0,0
SenzakiKamo,sinakatsarou,2,0.0141,0,1
TheMadoula,Torquem21743459,2,0.05,0,0
TheMadoula,agapornis_mask,2,0.0526,0,0
TheMadoula,greek_paris_13,2,0.0299,0,1
TheMadoula,paliakaravana59,2,0.0138,0,1
TheMadoula,ptableart,2,0.0426,0,0
TheMadoula,sinakatsarou,2,0.0138,0,1
TheMadoula,vel_theGreek,2,0.0488,0,0
Theodoros674021,vythos70,2,0.0179,0,0
Torquem21743459,TsigkaEfi,2,0.0769,0,0
Torquem21743459,nickthegreek5,2,0.0071,0,0
Track11John,Volcom40893832,2,0.0091,0,0
Track11John,dimitris7987,2,0.0089,0,0
Track11John,klikr,2,0.008,0,1
Track11John,steiger_st28082,2,0.0088,0,1
Track11John,tasoskar11,2,0.009,0,2
TsigkaEfi,chrysib11,2,0.0163,0,2
TsigkaEfi,maus_miny,2,0.0444,0,0
TsigkaEfi,mpantazo,2,0.027,0,0
VIVITV5,nickthegreek5,2,0.0071,0,0
Volcom40893832,hatz_patty,2,0.0222,0,1
Volcom40893832,nickthegreek5,2,0.0072,0,0
Xeniaxe19580370,paliakaravana59,2,0.0155,0,1
ZafiriaF,cavodoro,2,0.0909,0,0
ZafiriaF,chrysib11,2,0.0177,0,0
ZbejVty,vythos70,2,0.0167,0,1
anasiropiastos,angelikitsakani,2,0.0167,0,1
anasiropiastos,johnblandos,2,0.0256,0,1
anasiropiastos,vythos70,2,0.0154,0,2
angelikitsakani,fanis_rc,2,0.0198,0,0
angelikitsakani,ptableart,2,0.0189,0,2
angelikitsakani,vel_theGreek,2,0.02,0,1
angie22gr,dinoskonstantin,2,0.0385,0,1
angie22gr,lidakis_manos,2,0.0488,0,1
cavodoro,chrysib11,2,0.018,0,0
chrysib11,kokkoriss,2,0.0185,0,1
dkDurcGYTIpZdKl,nickthegreek5,2,0.0072,0,0
g_m_theo,mpantazo,2,0.0308,0,1
galex1908,johnblandos,2,0.0149,0,1
galex1908,paliakaravana59,2,0.0105,0,0
galex1908,vythos70,2,0.0108,0,0
giannMak,kokkoriss,2,0.0225,0,1
giannMak,steiger_st28082,2,0.022,0,0
giannMak,teo_ntaleki,2,0.0208,0,0
greek_paris_13,lafillemalgard1,2,0.0426,0,0
greek_paris_13,sinakatsarou,2,0.0143,0,2
harakont,maus_miny,2,0.0833,0,0
harakont,nickthegreek5,2,0.0072,0,0
hatz_patty,lidakis_manos,2,0.0185,0,0
hatz_patty,mpantazo,2,0.0143,0,0
hatz_patty,ptableart,2,0.0202,0,1
hatz_patty,vythos70,2,0.0104,0,1
jparthen,mpantazo,2,0.0323,0,2
jparthen,nickthegreek5,2,0.007,0,0
klikr,xariszak2,2,0.0476,0,0
kokkoriss,maus_miny,2,0.0667,0,1
kokkoriss,tasoskar11,2,0.1818,0,0
lafillemalgard1,nickthegreek5,2,0.0068,0,1
lidakis_manos,ptableart,2,0.0645,0,0
lidakis_manos,vythos70,2,0.016,0,0
lidakis_manos,xeniakan21,2,0.0465,0,0
maus_miny,mpantazo,2,0.0267,0,1
mpantazo,xeniakan21,2,0.0267,0,0
nickthegreek5,unico11226,2,0.0071,0,2
nickthegreek5,zneraida,2,0.0072,0,0
paliakaravana59,xeniakan21,2,0.0152,0,2
steiger_st28082,vythos70,2,0.0175,0,2
vythos70,xeniakan21,2,0.0156,0,0
