account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
MenoEdo,giannMak,6,0.0317,2,3
galex1908,mpantazo,6,0.0465,2,4
paliakaravana59,vythos70,6,0.0286,2,3
46spiros,MasenkaMm230158,6,0.0226,1,4
Ah_riman,lafillemalgard1,6,0.1579,1,2
Catps66,sinakatsarou,6,0.0387,1,2
K_Sav215,giannMak,6,0.0408,1,3
MariaDecokeke,SenzakiKamo,6,0.0638,1,2
MenoEdo,hatz_patty,6,0.0308,1,3
Nogate_T,nickthegreek5,6,0.0209,1,2
46spiros,ABCHeckles,6,0.0236,0,0
46spiros,BatorGr,6,0.0259,0,1
46spiros,SenzakiKamo,6,0.0249,0,1
46spiros,g_m_theo,6,0.0271,0,3
46spiros,vythos70,6,0.0192,0,2
AgelisDimitris,ArisBJJ,6,0.0353,0,1
Ah_riman,MKioulafa,6,0.0882,0,6
Ah_riman,angelikitsakani,6,0.0513,0,4
Briassulis,angelikitsakani,6,0.0321,0,1
Briassulis,mpantazo,6,0.0417,0,5
Fay82776914F,nickthegreek5,6,0.021,0,1
JSweetGR,nickthegreek5,6,0.0214,0,4
K_Sav215,chrysib11,6,0.0361,0,2
MariaDecokeke,Rena_Rethymno,6,0.0769,0,2
MasenkaMm230158,hatz_patty,6,0.0423,0,2
MenoEdo,SenzakiKamo,6,0.0429,0,1
MenoEdo,maus_miny,6,0.0462,0,5
SenzakiKamo,angelikitsakani,6,0.0484,0,0
SenzakiKamo,chrysib11,6,0.0462,0,1
ThanosTzimeros,nickthegreek5,6,0.0203,0,4
Track11John,johnblandos,6,0.0225,0,3
galex1908,sinakatsarou,6,0.0323,0,2
AgelisDimitris,MasenkaMm230158,5,0.0234,2,2
K_Sav215,maus_miny,5,0.0562,2,4
chrysib11,greek_paris_13,5,0.0388,2,5
chrysib11,vythos70,5,0.0246,2,3
AgelisDimitris,GiotaPapapetrou,5,0.0145,1,3
AgelisDimitris,maus_miny,5,0.0279,1,2
BatorGr,MenoEdo,5,0.0379,1,3
Briassulis,DonConsclavios,5,0.041,1,2
Briassulis,johnblandos,5,0.0342,1,3
Catps66,MenoEdo,5,0.0316,1,2
Catps66,galex1908,5,0.0391,1,5
Catps66,hatz_patty,5,0.037,1,3
K_Sav215,hatz_patty,5,0.0325,1,1
MariaDecokeke,mpantazo,5,0.0439,1,1
Track11John,vythos70,5,0.0156,1,1
g_m_theo,nickthegreek5,5,0.0174,1,4
giannMak,mpantazo,5,0.0382,1,1
klikr,lafillemalgard1,5,0.1136,1,1
lidakis_manos,nickthegreek5,5,0.017,1,3
46spiros,GiotaPapapetrou,5,0.0126,0,2
46spiros,NonameTZ,5,0.0226,0,3
46spiros,TsigkaEfi,5,0.0216,0,2
46spiros,lidakis_manos,5,0.0218,0,4
Aaagiiisss,nickthegreek5,5,0.0167,0,5
AgelisDimitris,LGkvas,5,0.0281,0,0
AgelisDimitris,NonameTZ,5,0.0298,0,3
AgelisDimitris,SenzakiKamo,5,0.0265,0,1
BatorGr,angelikitsakani,5,0.0431,0,1
BatorGr,nickthegreek5,5,0.0168,0,1
Briassulis,MariaDecokeke,5,0.0316,0,0
Briassulis,MenoEdo,5,0.0245,0,0
Briassulis,hatz_patty,5,0.0276,0,2
Briassulis,maus_miny,5,0.0431,0,1
Catps66,Track11John,5,0.0189,0,0
Catps66,angelikitsakani,5,0.0352,0,3
Fay82776914F,MasenkaMm230158,5,0.0735,0,2
Fotinh5,nickthegreek5,5,0.0172,0,1
K_Sav215,MenoEdo,5,0.0282,0,0
K_Sav215,mpantazo,5,0.0424,0,2
MariaDecokeke,galex1908,5,0.035,0,0
MariaDecokeke,greek_paris_13,5,0.0538,0,3
MenoEdo,PitSpencer,5,0.0394,0,0
MenoEdo,mpantazo,5,0.0312,0,0
PitSpencer,nickthegreek5,5,0.0171,0,1
RockRock222555,angelikitsakani,5,0.0352,0,0
RockRock222555,chrysib11,5,0.0338,0,2
cavodoro,nickthegreek5,5,0.0176,0,0
chrysib11,g_m_theo,5,0.045,0,2
chrysib11,hatz_patty,5,0.0269,0,4
klikr,nickthegreek5,5,0.0164,0,0
K_Sav215,TheMadoula,4,0.0388,3,3
Myrtilo01,galex1908,4,0.0342,3,3
angelikitsakani,klikr,4,0.0323,3,4
Briassulis,RockRock222555,4,0.0278,2,2
46spiros,Myrtilo01,4,0.0161,1,1
ArgirNik,maus_miny,4,0.1111,1,1
Briassulis,NonameTZ,4,0.0377,1,1
DonConsclavios,hatz_patty,4,0.0348,1,2
Fotinh5,K_Sav215,4,0.0482,1,3
GiotaPapapetrou,anasiropiastos,4,0.0189,1,4
GiotaPapapetrou,hatz_patty,4,0.0145,1,2
MKioulafa,giannMak,4,0.0317,1,3
Myrtilo01,sinakatsarou,4,0.0276,1,1
TheMadoula,maus_miny,4,0.0702,1,2
anasiropiastos,nickthegreek5,4,0.0133,1,3
greek_paris_13,nickthegreek5,4,0.0131,1,3
46spiros,57lista,4,0.0183,0,1
46spiros,Agie2a,4,0.0175,0,0
46spiros,ArgirNik,4,0.0178,0,2
46spiros,Mrpresidentgr,4,0.0183,0,0
46spiros,Nogate_T,4,0.0179,0,1
46spiros,Theodoros674021,4,0.0184,0,0
46spiros,ZafiriaF,4,0.018,0,1
46spiros,greek_paris_13,4,0.0166,0,1
46spiros,maus_miny,4,0.0172,0,1
57lista,AgelisDimitris,4,0.0242,0,1
57lista,angelikitsakani,4,0.0396,0,0
ABCHeckles,Briassulis,4,0.0286,0,2
ABCHeckles,Catps66,4,0.0426,0,1
ABCHeckles,MasenkaMm230158,4,0.0392,0,0
ABCHeckles,chrysib11,4,0.0276,0,0
AgelisDimitris,Catps66,4,0.0193,0,2
AgelisDimitris,angie22gr,4,0.0225,0,2
AgelisDimitris,xeniakan21,4,0.0222,0,0
Agie2a,angelikitsakani,4,0.036,0,2
Agie2a,nickthegreek5,4,0.0137,0,1
Ah_riman,chrysib11,4,0.032,0,0
Anastasia7882,MenoEdo,4,0.0339,0,0
Anthology2026,nickthegreek5,4,0.0121,0,0
ArgirNik,MenoEdo,4,0.0323,0,0
ArgirNik,nickthegreek5,4,0.0138,0,0
BatorGr,maus_miny,4,0.0889,0,0
Briassulis,K_Sav215,4,0.0245,0,3
Briassulis,Loxagos_Mark,4,0.031,0,0
Briassulis,TheMadoula,4,0.0308,0,0
Briassulis,galex1908,4,0.0229,0,2
Briassulis,sinakatsarou,4,0.0197,0,1
Catps66,Myrtilo01,4,0.0465,0,1
Catps66,mpantazo,4,0.04,0,2
DonConsclavios,MenoEdo,4,0.029,0,0
DonConsclavios,Track11John,4,0.0163,0,4
DonConsclavios,chrysib11,4,0.0312,0,0
DonConsclavios,nickthegreek5,4,0.0132,0,3
GiotaPapapetrou,TheMadoula,4,0.0179,0,2
K_Sav215,johnblandos,4,0.0333,0,2
Loxagos_Mark,angelikitsakani,4,0.0312,0,2
Loxagos_Mark,maus_miny,4,0.0714,0,0
MKioulafa,Rena_Rethymno,4,0.0656,0,1
MKioulafa,lafillemalgard1,4,0.0667,0,0
MariaDecokeke,lafillemalgard1,4,0.0506,0,4
MariaDecokeke,maus_miny,4,0.0465,0,2
MasenkaMm230158,MenoEdo,4,0.024,0,1
MasenkaMm230158,RockRock222555,4,0.0377,0,2
MasenkaMm230158,johnblandos,4,0.0367,0,2
MenoEdo,TheMadoula,4,0.0276,0,0
MenoEdo,TsigkaEfi,4,0.0305,0,1
MenoEdo,dinoskonstantin,4,0.0286,0,1
MenoEdo,galex1908,4,0.0211,0,0
MenoEdo,vel_theGreek,4,0.0351,0,2
MenoEdo,vythos70,4,0.0187,0,2
RockRock222555,paliakaravana59,4,0.0255,0,1
SenzakiKamo,mpantazo,4,0.0482,0,2
SenzakiKamo,xeniakan21,4,0.0741,0,1
TheMadoula,Track11John,4,0.0159,0,0
TheMadoula,angelikitsakani,4,0.031,0,1
