cluster_id,account_count,mean_coordination_score,mean_retweet_ratio,mean_network_weighted_degree,top_accounts
1,156,30.0325,0.5924,0.6346,madonnamaniac|IK25818385|silaserafim|Myrtilo01|AndriotGreg|ChrisDarko39|pOURc3ero9j906K|LitsaXarou|BananaJoeReload|CharilaosPapad1
2,41,62.8607,0.9309,51.1951,angelikitsakani|46spiros|chrysib11|nickthegreek5|MasenkaMm230158|paliakaravana59|Catps66|ABCHeckles|PitSpencer|Track11John
