account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
panagitsma78169,1,156,0.4231,143,3.246,-3.3772,-1.7362,0.0,0.0,0
HouseElisabeth_,1,156,0.4199,144,2.8894,-0.9638,0.4516,42.5,1.0,0
Konstan18155165,1,156,0.4187,145,3.2301,-2.5598,-0.5895,46.25,1.0,0
isidoragiou1,1,156,0.4184,146,2.4797,-2.191,0.4029,28.75,0.5,0
ArgirNik,1,156,0.417,147,2.5829,-1.8155,0.9616,22.92,0.3333,0
nikos_aggelakis,1,156,0.4167,148,2.9698,-2.7298,-0.5096,0.0,0.0,0
maus_miny,1,156,0.4127,149,3.0156,-2.8734,0.1683,0.0,0.0,0
RGialama8386,1,156,0.4126,150,2.8167,-2.4069,-0.1112,46.25,1.0,0
dkDurcGYTIpZdKl,1,156,0.4116,151,2.4572,-1.7778,1.4811,28.75,0.5,0
michael_exc,1,156,0.411,152,2.8498,-0.9449,0.7962,42.5,1.0,0
PanosStayis,1,156,0.4109,153,2.0418,-2.2513,0.0988,28.75,0.5,0
QuercusLg,1,156,0.41,154,2.6775,-0.5555,1.259,43.75,1.0,0
GP_74_,1,156,0.4097,155,1.5169,-1.5976,0.3672,28.33,0.6667,0
aikarerina,1,156,0.4097,156,2.9508,-2.9197,0.1576,0.0,0.0,0
Nogate_T,1,156,0.4093,157,2.9945,-1.8986,2.5328,45.0,1.0,0
Torquem21743459,1,156,0.4092,158,2.2754,-1.4557,0.7912,41.25,1.0,0
consue_banana_,1,156,0.4089,159,2.9792,-2.9719,-0.1113,0.0,0.0,0
aekzurich21,1,156,0.4085,160,2.1735,-1.7883,0.4821,40.0,1.0,0
kostasagg1965,1,156,0.4071,161,1.9004,-1.4329,0.8776,30.83,0.6667,0
lafillemalgard1,1,156,0.4069,162,2.8139,-0.71,1.2999,35.5,0.8,0
4lhc_athens,1,156,0.4063,163,3.1439,-3.5195,-1.6594,0.0,0.0,0
failosK,1,156,0.406,164,3.5073,-2.8792,1.0346,0.0,0.0,0
Sunflower19731,1,156,0.4056,165,3.0247,-3.2593,-1.2175,0.0,0.0,0
communakios,1,156,0.4056,166,2.6243,-2.0982,1.6505,45.0,1.0,0
Anastasia7882,1,156,0.403,167,2.5354,-0.672,0.6553,42.5,1.0,0
Dv500x,1,156,0.4023,168,2.8241,-3.1116,-0.7295,0.0,0.0,0
economi94461498,1,156,0.4018,169,2.6569,-1.9855,1.5508,46.25,1.0,0
bobidion,1,156,0.4017,170,3.0705,-2.0503,2.1551,46.25,1.0,0
margko73,1,156,0.4001,171,3.0067,-0.9344,1.5735,42.5,1.0,0
KyrPantelis3,1,156,0.3985,172,1.5061,-1.6177,0.5054,29.58,0.6667,0
lordos_noble,1,156,0.396,173,2.915,-3.0853,0.0681,0.0,0.0,0
PhunkD14,1,156,0.3958,174,2.8667,-3.3127,-0.7677,0.0,0.0,0
le1li,1,156,0.3952,175,2.8385,-2.3058,1.1951,46.25,1.0,0
kefalaiouxos,1,156,0.3932,176,2.8888,-3.2918,-0.7105,0.0,0.0,0
pnevan11,1,156,0.3918,177,2.0586,-2.256,0.9102,28.75,0.5,0
PiraeusStef,1,156,0.3912,178,2.9351,-2.1192,1.876,46.25,1.0,0
pJNs4ACgiayAknX,1,156,0.3907,179,2.9059,-3.0823,0.1763,0.0,0.0,0
giorgosgreen,1,156,0.3896,180,2.8167,-3.234,-0.4068,0.0,0.0,0
despica67766915,1,156,0.3856,181,1.9793,-2.2327,0.9422,28.75,0.5,0
papa_vaso,1,156,0.384,182,2.8167,-2.203,1.5346,46.25,1.0,0
NickDanny99,1,156,0.3836,183,2.8175,-2.2146,1.512,46.25,1.0,0
agapornis_mask,1,156,0.3835,184,2.5969,-2.3492,0.9537,46.25,1.0,0
akrokentrwos_2,1,156,0.3833,185,2.7851,-2.0265,2.1889,46.25,1.0,0
RXRqdEgogik2Z9P,1,156,0.3826,186,2.0808,-2.1624,1.2341,28.75,0.5,0
kostasp194,1,156,0.3825,187,2.7501,-2.1699,2.2052,45.0,1.0,0
loudovikos14os,1,156,0.3825,188,2.5565,-2.4247,1.168,45.0,1.0,0
Leniw_Lenia,1,156,0.3821,189,2.3938,-2.1486,1.001,46.25,1.0,0
OratiosPoulos,1,156,0.3804,190,2.6197,-2.2446,1.8522,45.0,1.0,0
CMentat,1,156,0.3799,191,2.4339,-2.3803,0.736,46.25,1.0,0
kokkoriss,1,156,0.3784,192,2.5847,-2.1213,1.8257,46.25,1.0,0
TetraLogiki,1,156,0.3757,193,2.5808,-2.2532,1.8698,45.0,1.0,0
DDeppied,1,156,0.3749,194,2.6067,-2.0646,2.0584,46.25,1.0,0
FrankiKostas,1,156,0.3735,195,2.6053,-2.0495,2.0954,46.25,1.0,0
Kostas18748292,1,156,0.3717,196,2.3816,-2.2543,1.2576,46.25,1.0,0
matrixneo1979,1,156,0.3689,197,2.5197,-2.1055,1.8877,46.25,1.0,0
