account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,default_profile,default_profile_image,is_blue_verified,coordination_score,analyst_label
G4Heron,16,15,1,3,0.9375,15,15,14,2,0.1333,2,0.1333,0,1,10219,6912,294388,0,0,0,54.89,
RockRock222555,72,51,21,32,0.7083,30,51,38,14,0.2745,4,0.0784,13,12,1734,1847,66987,1,0,0,54.69,
Briassulis,55,38,17,22,0.6909,21,38,27,10,0.2632,4,0.1053,14,19,1787,1146,266396,1,0,0,54.18,
greek_paris_13,17,16,1,7,0.9412,12,16,14,3,0.1875,3,0.1875,5,3,6880,2864,147397,0,0,0,52.63,
K_Sav215,56,38,18,11,0.6786,31,38,31,5,0.1316,4,0.1053,39,25,1149,1129,77849,1,1,0,51.78,
klikr,17,16,1,2,0.9412,13,16,14,1,0.0625,2,0.125,2,4,1098,1189,44612,0,0,0,51.38,
MKioulafa,11,10,1,4,0.9091,7,10,7,5,0.5,2,0.2,0,5,3280,4968,189210,1,0,0,50.07,
ptableart,4,4,0,0,1.0,4,4,4,2,0.5,1,0.25,0,0,359,207,15893,1,0,0,50.0,
nilsholgerson_,3,3,0,1,1.0,1,3,3,2,0.6667,1,0.3333,0,0,4885,4524,29520,1,0,0,49.58,
VIVITV5,2,2,0,0,1.0,1,2,2,1,0.5,1,0.5,0,0,2012,4243,25125,1,0,0,48.75,
tasoskar11,3,3,0,0,1.0,0,3,3,2,0.6667,1,0.3333,1,0,221,313,2636,0,0,0,48.33,
MenoEdo,35,31,4,10,0.8857,10,31,31,9,0.2903,1,0.0323,1,8,2684,2007,178462,1,0,0,48.18,
theatropoios,12,11,1,3,0.9167,11,11,10,0,0.0,2,0.1818,3,0,638,2099,23455,1,0,0,47.65,
JimyWis,3,3,0,0,1.0,3,3,3,1,0.3333,1,0.3333,0,0,656,1732,16172,1,0,0,47.08,
mpantazo,13,12,1,0,0.9231,4,12,12,7,0.5833,1,0.0833,1,3,2453,1352,179295,0,0,0,46.89,
Anthology2026,19,15,4,0,0.7895,14,15,15,1,0.0667,1,0.0667,0,2,300,2396,244,1,0,0,46.8,
Agie2a,22,15,7,6,0.6818,8,15,9,10,0.6667,4,0.2667,4,2,4423,3346,82467,1,0,1,46.53,
Asmoudis13,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,3,0,51,563,2123,1,0,0,46.25,
CMentat,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,532,656,7087,1,0,0,46.25,
DDeppied,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,3802,2897,30944,1,0,0,46.25,
DimitrisP69501,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,40,240,825,1,0,0,46.25,
FrankiKostas,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,2675,2327,55165,1,0,0,46.25,
Kabamaru__n,1,1,0,1,1.0,1,1,1,0,0.0,1,1.0,0,0,11,4,486,1,0,0,46.25,
Konstan18155165,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,35,193,528,1,0,0,46.25,
Kostas18748292,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,604,811,19558,1,0,0,46.25,
Leniw_Lenia,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,543,527,17354,1,0,0,46.25,
NickDanny99,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,1718,1209,17369,0,0,0,46.25,
PiraeusStef,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,2057,2281,39747,0,0,0,46.25,
RGialama8386,1,1,0,1,1.0,1,1,1,0,0.0,1,1.0,0,0,92,381,1877,1,0,0,46.25,
agapornis_mask,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,187,462,6707,1,0,0,46.25,
akrokentrwos_2,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,15197,1575,47270,1,0,0,46.25,
bobidion,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,5706,2890,51583,0,0,0,46.25,
bolltzmann,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,13394,5155,37426,0,0,1,46.25,
economi94461498,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,1353,327,225180,1,0,0,46.25,
kokkoriss,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,601,2756,33185,1,0,0,46.25,
le1li,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,756,932,6263,0,0,0,46.25,
matrixneo1979,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,3271,1644,28912,1,0,0,46.25,
papa_vaso,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,1319,1352,25290,0,0,0,46.25,
xariszak2,3,3,0,0,1.0,2,3,3,1,0.3333,1,0.3333,0,0,237,309,16294,1,1,0,45.83,
ThanosTzimeros,22,16,6,7,0.7273,12,16,14,4,0.25,2,0.125,2,0,68543,1701,41405,1,0,0,45.46,
Nogate_T,1,1,0,1,1.0,0,1,1,0,0.0,1,1.0,0,0,9021,5403,98844,1,0,0,45.0,
OratiosPoulos,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,4767,1233,55318,1,0,0,45.0,
TetraLogiki,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,3097,1811,30338,1,0,0,45.0,
communakios,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,1,4360,1119,52467,1,0,0,45.0,
kostasp194,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,3521,4118,47786,1,0,0,45.0,
loudovikos14os,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,447,343,22227,1,0,0,45.0,
ScroogeKifissia,10,9,1,2,0.9,9,9,9,0,0.0,1,0.1111,1,0,22583,21851,55002,1,0,0,43.86,
QuercusLg,4,4,0,1,1.0,3,4,3,0,0.0,2,0.5,2,0,1072,1190,141997,1,0,0,43.75,
phtochos1,2,1,1,0,0.5,1,1,1,1,1.0,1,1.0,0,0,11073,9207,144466,1,0,0,43.75,
Volcom40893832,3,3,0,0,1.0,1,3,2,0,0.0,2,0.6667,0,4,835,837,13001,1,0,0,42.92,
Anastasia7882,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,2,1,854,866,48650,1,0,0,42.5,
HouseElisabeth_,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,2,0,488,1041,6145,0,0,0,42.5,
margko73,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,0,0,6166,1829,56266,0,0,0,42.5,
michael_exc,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,0,1,729,2077,11239,0,0,0,42.5,
hellaspecial,2,2,0,0,1.0,2,2,2,0,0.0,1,0.5,2,0,5639,4361,162537,1,0,1,42.5,
ArisBJJ,13,10,3,3,0.7692,6,10,9,4,0.4,2,0.2,0,2,3224,1346,16278,0,0,1,42.42,
ZbejVty,6,5,1,0,0.8333,4,5,5,2,0.4,1,0.2,0,3,4007,4985,151427,1,0,0,42.17,
evangelia_re,4,3,1,0,0.75,2,3,3,2,0.6667,1,0.3333,1,0,5606,4618,15197,1,0,0,42.08,
dimitris7987,3,3,0,1,1.0,3,3,3,0,0.0,1,0.3333,1,1,908,546,38231,1,0,0,42.08,
themagus2022,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,0,0,242,482,17024,1,1,0,42.08,
anastassios2401,7,6,1,1,0.8571,6,6,6,1,0.1667,1,0.1667,0,0,7547,5666,123293,1,0,0,41.67,
anarchistdonkey,10,9,1,2,0.9,7,9,9,0,0.0,1,0.1111,3,0,5612,2372,160157,0,0,0,41.36,
MariaKagia4603,4,4,0,1,1.0,3,4,4,0,0.0,1,0.25,1,0,120,339,3141,1,0,0,41.25,
Torquem21743459,2,2,0,0,1.0,1,2,2,0,0.0,1,0.5,0,3,528,1417,15716,1,0,0,41.25,
InafiZinaf1,2,2,0,0,1.0,0,2,2,0,0.0,1,0.5,0,0,557,173,1078,1,0,0,40.0,
aekzurich21,2,2,0,0,1.0,0,2,2,0,0.0,1,0.5,2,0,263,846,16614,1,0,0,40.0,
ledentiste2,5,4,1,1,0.8,4,4,4,1,0.25,1,0.25,2,0,2588,3328,37639,1,0,0,39.25,
SagamoreMount,4,4,0,1,1.0,1,4,4,0,0.0,1,0.25,0,3,134,425,4111,1,0,0,38.75,
MariaKoki3,5,4,1,1,0.8,4,4,3,0,0.0,2,0.5,0,0,1401,753,123802,1,0,0,38.0,
EthanAnargyrous,4,3,1,1,0.75,2,3,3,1,0.3333,1,0.3333,0,1,1169,962,40139,1,0,0,37.08,
EAdamopoulou,3,1,2,1,0.3333,0,1,1,1,1.0,1,1.0,0,2,8667,1792,75832,0,0,1,36.67,
g_m_theo,3,1,2,1,0.3333,0,1,1,1,1.0,1,1.0,0,1,6346,5665,60021,1,0,0,36.67,
