account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,coordination_score,analyst_label
AgelisDimitris,81,72,9,18,0.8889,39,72,51,21,0.2917,4,0.0556,10,17,2169,2274,188756,2183,1,0,0,61,24,113,13,57,17,61.04,
LitsaXarou,5,5,0,0,1.0,4,5,3,0,0.0,3,0.6,0,0,13010,12665,180673,4085,1,0,0,0,0,0,0,0,0,61.0,
johnblandos,40,35,5,2,0.875,24,35,27,11,0.3143,2,0.0571,8,12,1950,2953,156490,4531,1,0,0,61,10,40,3,17,9,60.91,
BananaJoeReload,6,6,0,0,1.0,6,6,5,0,0.0,2,0.3333,1,1,6511,7360,357893,3191,1,0,0,0,0,0,0,0,0,60.83,
Xeniaxe19580370,13,13,0,0,1.0,8,13,13,0,0.0,1,0.0769,1,0,741,163,16430,1679,1,0,0,61,4,9,1,7,3,60.77,
CharilaosPapad1,5,5,0,2,1.0,2,5,5,2,0.4,1,0.2,0,0,358,385,12693,1592,1,0,0,61,2,4,1,3,2,60.5,
LGkvas,12,12,0,0,1.0,2,12,11,5,0.4167,2,0.1667,1,0,969,1364,8090,3334,1,0,0,61,7,18,3,10,5,60.42,
teo_ntaleki,6,6,0,1,1.0,3,6,6,2,0.3333,1,0.1667,2,0,701,1665,27224,1087,1,0,0,61,4,8,1,4,2,60.42,
Anna_Moun,1,1,0,1,1.0,0,1,1,1,1.0,1,1.0,0,0,1434,1365,22304,3163,1,0,0,0,0,0,0,0,0,60.0,
Evitel_,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,2496,1278,49558,5530,0,0,1,0,0,0,0,0,0,60.0,
Realism_47,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,1237,4248,20293,1890,1,0,0,0,0,0,0,0,0,60.0,
ThanosKten,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,674,636,6541,467,1,0,1,0,0,0,0,0,0,60.0,
Tina5996,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,159,186,12010,1391,1,0,0,0,0,0,0,0,0,60.0,
moonshinegr,1,1,0,1,1.0,0,1,1,1,1.0,1,1.0,0,0,544,399,24518,3998,1,0,0,0,0,0,0,0,0,60.0,
JtfYiannis,2,2,0,1,1.0,0,2,2,2,1.0,1,0.5,2,0,2383,3357,12378,3670,0,0,0,61,3,6,1,3,2,55.0,
G4Heron,16,15,1,3,0.9375,15,15,14,2,0.1333,2,0.1333,0,1,10219,6912,294388,4053,0,0,0,0,0,0,0,0,0,54.89,
RockRock222555,72,51,21,32,0.7083,30,51,38,14,0.2745,4,0.0784,13,12,1734,1847,66987,1855,1,0,0,61,22,90,14,61,12,54.69,
Briassulis,55,38,17,22,0.6909,21,38,27,10,0.2632,4,0.1053,14,19,1787,1146,266396,1917,1,0,0,61,15,75,9,45,26,54.18,
greek_paris_13,17,16,1,7,0.9412,12,16,14,3,0.1875,3,0.1875,5,3,6880,2864,147397,5295,0,0,0,61,1,2,0,1,2,52.63,
K_Sav215,56,38,18,11,0.6786,31,38,31,6,0.1579,4,0.1053,39,25,1149,1129,77849,1712,1,1,0,61,18,51,4,23,6,52.17,
klikr,17,16,1,2,0.9412,13,16,14,1,0.0625,2,0.125,2,4,1098,1189,44612,5402,0,0,0,61,7,15,1,4,3,51.38,
MKioulafa,11,10,1,4,0.9091,7,10,7,5,0.5,2,0.2,0,5,3280,4968,189210,2453,1,0,0,61,4,10,2,6,4,50.07,
